window,query_id,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
in_distribution,999.5,0.9993500000000001,16205.496666503906,8421.047878295898,84.4205,200.402,2102.329,220.1015,200.402,0.0,36.243,28.8225,19.355,0.0,0.0
mild_drift,999.5,0.9987999999999999,16156.180033203125,8871.498504638672,82.531,200.436,2097.597,232.2995,200.436,0.0,34.8075,28.3485,19.375,0.0,0.0
moderate_drift,999.5,0.9984,16248.557342285156,8986.25648461914,83.5755,200.502,2112.3415,235.4975,200.502,0.0,35.4895,28.701,19.385,0.0,0.0
large_drift,999.5,0.9987,16240.893396484375,8763.72917199707,83.5815,200.386,2078.8515,231.05,200.386,0.0,36.309,27.7975,19.475,0.0,0.0
