strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,500,0.0,0.9969,15943.5276,6411.3639,134.19,34.995,501.207,6072.587,630.35,1000
no_adaptation,500,1.0,0.9961,16012.1529,6430.7185,134.136,35.107,501.666,6096.185,636.949,1000
no_adaptation,500,2.0,0.995,16160.2778,6666.6199,131.865,33.626,502.695,6144.725,650.071,1000
no_adaptation,500,3.0,0.9942,16387.9023,6958.2982,131.697,33.891,504.188,6211.935,669.002,1000
no_adaptation,500,4.0,0.9888,16695.0265,7392.0703,130.101,33.536,505.986,6311.637,696.632,1000
no_adaptation,500,6.0,0.9787,17547.7739,8343.1921,127.594,32.872,508.839,6533.624,752.778,1000
no_adaptation,500,8.0,0.9538,18718.5199,9454.1849,124.482,32.546,513.487,6890.746,824.58,1000
no_adaptation,500,10.0,0.917,20207.2644,10734.7306,120.803,30.748,513.616,7219.889,882.439,1000
no_adaptation,500,12.0,0.8695,22014.0076,12107.804,120.676,30.28,512.223,7608.293,943.939,1000
no_adaptation,500,16.0,0.8068,26581.4898,15354.1489,117.199,29.796,510.021,8350.058,1030.08,1000
poolAndRewire,10,0.0,0.8426,15943.5276,6411.3639,134.19,34.995,13.509,274.288,36.94,1000
poolAndRewire,10,1.0,0.834,16012.1529,6430.7185,134.136,35.107,13.499,274.385,36.796,1000
poolAndRewire,10,2.0,0.8101,16160.2778,6666.6199,131.865,33.626,13.713,278.836,37.271,1000
poolAndRewire,10,3.0,0.7849,16387.9023,6958.2982,131.697,33.891,13.944,285.509,37.653,1000
poolAndRewire,10,4.0,0.755,16695.0265,7392.0703,130.101,33.536,14.564,300.357,38.145,1000
poolAndRewire,10,6.0,0.6797,17547.7739,8343.1921,127.594,32.872,14.919,310.775,38.834,1000
poolAndRewire,10,8.0,0.5843,18718.5199,9454.1849,124.482,32.546,15.795,333.663,39.301,1000
poolAndRewire,10,10.0,0.5262,17379.7265,10357.2695,109.869,29.866,15.459,333.164,36.094,1000
poolAndRewire,10,12.0,0.4285,17887.5862,11524.7716,101.097,27.234,15.063,331.238,33.311,1000
poolAndRewire,10,16.0,0.3157,19276.2059,14379.1793,85.774,23.016,14.448,329.826,31.037,1000
poolAndRewire,20,0.0,0.9094,15943.5276,6411.3639,134.19,34.995,23.325,447.846,60.328,1000
poolAndRewire,20,1.0,0.9048,16012.1529,6430.7185,134.136,35.107,23.289,447.694,60.265,1000
poolAndRewire,20,2.0,0.8886,16160.2778,6666.6199,131.865,33.626,23.632,455.715,61.884,1000
poolAndRewire,20,3.0,0.8724,16387.9023,6958.2982,131.697,33.891,24.068,467.549,63.674,1000
poolAndRewire,20,4.0,0.8439,16695.0265,7392.0703,130.101,33.536,24.577,481.327,66.042,1000
poolAndRewire,20,6.0,0.7853,17547.7739,8343.1921,127.594,32.872,25.769,511.902,69.284,1000
poolAndRewire,20,8.0,0.6959,18718.5199,9454.1849,124.482,32.546,26.472,534.424,71.992,1000
poolAndRewire,20,10.0,0.6279,17379.7265,10357.2695,109.869,29.866,26.824,555.981,68.48,1000
poolAndRewire,20,12.0,0.545,17887.5862,11524.7716,101.097,27.234,26.725,567.265,65.399,1000
poolAndRewire,20,16.0,0.4207,19276.2059,14379.1793,85.774,23.016,26.612,587.926,62.212,1000
poolAndRewire,50,0.0,0.9617,15943.5276,6411.3639,134.19,34.995,52.654,913.688,111.957,1000
