condition,edge_count,ef,epoch,mean_hardonly_static_dist,mean_source_query_dist,mean_static_topk_dist,recall
adaptive_improved,32340,32,0,255.37949885154256,255.3649153936477,214.6728973388672,0.9006000000000002
adaptive_improved,32340,64,0,255.37949885154256,255.3649153936477,214.6728973388672,0.9590000000000001
adaptive_improved,32340,128,0,255.37949885154256,255.3649153936477,214.6728973388672,0.9888000000000001
adaptive_improved,58062,32,1,254.66961135212173,254.60172669500366,210.248046875,0.8964000000000001
adaptive_improved,58062,64,1,254.66961135212173,254.60172669500366,210.248046875,0.9586000000000001
adaptive_improved,58062,128,1,254.66961135212173,254.60172669500366,210.248046875,0.9902000000000001
adaptive_improved,81642,32,2,256.33408963238753,256.23953812210647,210.2071075439453,0.9168000000000001
adaptive_improved,81642,64,2,256.33408963238753,256.23953812210647,210.2071075439453,0.9682000000000001
adaptive_improved,81642,128,2,256.33408963238753,256.23953812210647,210.2071075439453,0.9913999999999998
adaptive_improved,110696,32,3,259.72008279212434,259.5039123305701,213.4532928466797,0.8978
adaptive_improved,110696,64,3,259.72008279212434,259.5039123305701,213.4532928466797,0.9576
adaptive_improved,110696,128,3,259.72008279212434,259.5039123305701,213.4532928466797,0.9855999999999999
adaptive_improved,136124,32,4,257.1722733815511,256.9489491780599,211.0316925048828,0.8986000000000001
adaptive_improved,136124,64,4,257.1722733815511,256.9489491780599,211.0316925048828,0.9622
adaptive_improved,136124,128,4,257.1722733815511,256.9489491780599,211.0316925048828,0.9876
adaptive_improved,163132,32,5,256.126990234375,255.91365808105468,210.75259399414062,0.9054000000000001
adaptive_improved,163132,64,5,256.126990234375,255.91365808105468,210.75259399414062,0.9618
adaptive_improved,163132,128,5,256.126990234375,255.91365808105468,210.75259399414062,0.9892000000000001
adaptive_improved,190376,32,6,272.89783925858757,272.73184858049666,232.87026977539062,0.9008000000000002
adaptive_improved,190376,64,6,272.89783925858757,272.73184858049666,232.87026977539062,0.9646
adaptive_improved,190376,128,6,272.89783925858757,272.73184858049666,232.87026977539062,0.989
adaptive_improved,219310,32,7,312.5456738827834,312.37709022635846,284.83990478515625,0.8776000000000002
adaptive_improved,219310,64,7,312.5456738827834,312.37709022635846,284.83990478515625,0.9486000000000001
adaptive_improved,219310,128,7,312.5456738827834,312.37709022635846,284.83990478515625,0.9832000000000001
adaptive_improved,254647,32,8,372.7277983683019,372.48821478533597,350.1708679199219,0.8192
adaptive_improved,254647,64,8,372.7277983683019,372.48821478533597,350.1708679199219,0.9128
adaptive_improved,254647,128,8,372.7277983683019,372.48821478533597,350.1708679199219,0.9658000000000001
adaptive_improved,297593,32,9,432.93725769963095,432.58219227239715,416.3681945800781,0.747
adaptive_improved,297593,64,9,432.93725769963095,432.58219227239715,416.3681945800781,0.8566
adaptive_improved,297593,128,9,432.93725769963095,432.58219227239715,416.3681945800781,0.9304000000000001
adaptive_improved,344524,32,10,430.27147316721687,429.5801663018961,417.15911865234375,0.7732
adaptive_improved,344524,64,10,430.27147316721687,429.5801663018961,417.15911865234375,0.8778
adaptive_improved,344524,128,10,430.27147316721687,429.5801663018961,417.15911865234375,0.9388000000000001
adaptive_improved,388665,32,11,430.9184758112981,430.145514855018,416.5924987792969,0.8028000000000001
adaptive_improved,388665,64,11,430.9184758112981,430.145514855018,416.5924987792969,0.9016000000000002
adaptive_improved,388665,128,11,430.9184758112981,430.145514855018,416.5924987792969,0.9572
adaptive_improved,438002,32,12,430.5090638403799,429.57478051279105,417.0293884277344,0.8316
adaptive_improved,438002,64,12,430.5090638403799,429.57478051279105,417.0293884277344,0.9128000000000001
adaptive_improved,438002,128,12,430.5090638403799,429.57478051279105,417.0293884277344,0.9608000000000001
adaptive_improved,482924,32,13,429.49804662485593,428.556176357582,416.7089538574219,0.835
adaptive_improved,482924,64,13,429.49804662485593,428.556176357582,416.7089538574219,0.9104000000000001
adaptive_improved,482924,128,13,429.49804662485593,428.556176357582,416.7089538574219,0.9588000000000001
adaptive_improved,473299,32,14,432.60796128310164,431.29208783566696,417.6900329589844,0.844
adaptive_improved,473299,64,14,432.60796128310164,431.29208783566696,417.6900329589844,0.9168000000000001
adaptive_improved,473299,128,14,432.60796128310164,431.29208783566696,417.6900329589844,0.9616
adaptive_improved,462443,32,15,426.3471172382305,425.0949317304603,413.6968994140625,0.8548000000000001
adaptive_improved,462443,64,15,426.3471172382305,425.0949317304603,413.6968994140625,0.9278000000000001
adaptive_improved,462443,128,15,426.3471172382305,425.0949317304603,413.6968994140625,0.9724
adaptive_improved,461875,32,16,487.7973962332788,485.9910408737313,481.2377014160156,0.8578000000000001
adaptive_improved,461875,64,16,487.7973962332788,485.9910408737313,481.2377014160156,0.9186
adaptive_improved,461875,128,16,487.7973962332788,485.9910408737313,481.2377014160156,0.9594
adaptive_improved,456348,32,17,539.2192643688571,536.9146074567523,536.276123046875,0.8692000000000001
adaptive_improved,456348,64,17,539.2192643688571,536.9146074567523,536.276123046875,0.9198000000000001
adaptive_improved,456348,128,17,539.2192643688571,536.9146074567523,536.276123046875,0.9504000000000001
