condition,edge_count,ef,epoch,mean_hardonly_static_dist,mean_source_query_dist,mean_static_topk_dist,recall
adaptive_improved,32340,32,0,255.37949885154256,255.3649153936477,214.6728973388672,0.9006000000000002
adaptive_improved,32340,64,0,255.37949885154256,255.3649153936477,214.6728973388672,0.9590000000000001
adaptive_improved,32340,128,0,255.37949885154256,255.3649153936477,214.6728973388672,0.9888000000000001
adaptive_improved,58062,32,1,254.66961135212173,254.60172669500366,210.248046875,0.8964000000000001
adaptive_improved,58062,64,1,254.66961135212173,254.60172669500366,210.248046875,0.9586000000000001
adaptive_improved,58062,128,1,254.66961135212173,254.60172669500366,210.248046875,0.9902000000000001
adaptive_improved,81642,32,2,256.33408963238753,256.23953812210647,210.2071075439453,0.9168000000000001
adaptive_improved,81642,64,2,256.33408963238753,256.23953812210647,210.2071075439453,0.9682000000000001
adaptive_improved,81642,128,2,256.33408963238753,256.23953812210647,210.2071075439453,0.9913999999999998
adaptive_improved,110696,32,3,259.72008279212434,259.5039123305701,213.4532928466797,0.8978
adaptive_improved,110696,64,3,259.72008279212434,259.5039123305701,213.4532928466797,0.9576
adaptive_improved,110696,128,3,259.72008279212434,259.5039123305701,213.4532928466797,0.9855999999999999
adaptive_improved,136124,32,4,257.1722733815511,256.9489491780599,211.0316925048828,0.8986000000000001
adaptive_improved,136124,64,4,257.1722733815511,256.9489491780599,211.0316925048828,0.9622
adaptive_improved,136124,128,4,257.1722733815511,256.9489491780599,211.0316925048828,0.9876
adaptive_improved,163132,32,5,256.126990234375,255.91365808105468,210.75259399414062,0.9054000000000001
adaptive_improved,163132,64,5,256.126990234375,255.91365808105468,210.75259399414062,0.9618
adaptive_improved,163132,128,5,256.126990234375,255.91365808105468,210.75259399414062,0.9892000000000001
adaptive_improved,188456,32,6,258.0878597194866,257.7806437864142,211.60617065429688,0.9166
adaptive_improved,188456,64,6,258.0878597194866,257.7806437864142,211.60617065429688,0.9668000000000001
adaptive_improved,188456,128,6,258.0878597194866,257.7806437864142,211.60617065429688,0.9908
adaptive_improved,211734,32,7,257.8276879446847,257.44999286106656,212.4615020751953,0.9146000000000002
adaptive_improved,211734,64,7,257.8276879446847,257.44999286106656,212.4615020751953,0.9672000000000001
adaptive_improved,211734,128,7,257.8276879446847,257.44999286106656,212.4615020751953,0.9924
adaptive_improved,236326,32,8,257.57920597801524,256.98850306991704,211.61752319335938,0.9132
adaptive_improved,236326,64,8,257.57920597801524,256.98850306991704,211.61752319335938,0.9684
adaptive_improved,236326,128,8,257.57920597801524,256.98850306991704,211.61752319335938,0.989
adaptive_improved,263174,32,9,262.0436538696289,261.69723933293267,212.22286987304688,0.9140000000000001
adaptive_improved,263174,64,9,262.0436538696289,261.69723933293267,212.22286987304688,0.966
adaptive_improved,263174,128,9,262.0436538696289,261.69723933293267,212.22286987304688,0.9892000000000001
adaptive_improved,287972,32,10,257.54035887679436,257.03745400033347,210.42709350585938,0.9228000000000001
adaptive_improved,287972,64,10,257.54035887679436,257.03745400033347,210.42709350585938,0.9702000000000001
adaptive_improved,287972,128,10,257.54035887679436,257.03745400033347,210.42709350585938,0.9908
adaptive_improved,311718,32,11,257.43706096866265,256.83124858577077,210.72525024414062,0.9282
adaptive_improved,311718,64,11,257.43706096866265,256.83124858577077,210.72525024414062,0.9718
adaptive_improved,311718,128,11,257.43706096866265,256.83124858577077,210.72525024414062,0.9926000000000001
adaptive_improved,338334,32,12,258.28597137893456,257.58130247696585,214.11634826660156,0.929
adaptive_improved,338334,64,12,258.28597137893456,257.58130247696585,214.11634826660156,0.9752000000000001
adaptive_improved,338334,128,12,258.28597137893456,257.58130247696585,214.11634826660156,0.992
adaptive_improved,403964,32,13,617.1530076934071,614.3426621599896,617.2689819335938,0.6706000000000001
adaptive_improved,403964,64,13,617.1530076934071,614.3426621599896,617.2689819335938,0.7392000000000001
adaptive_improved,403964,128,13,617.1530076934071,614.3426621599896,617.2689819335938,0.8
adaptive_improved,437614,32,14,618.0969143337674,613.8134793984769,618.143798828125,0.8458000000000001
adaptive_improved,437614,64,14,618.0969143337674,613.8134793984769,618.143798828125,0.8848
adaptive_improved,437614,128,14,618.0969143337674,613.8134793984769,618.143798828125,0.9098
adaptive_improved,463327,32,15,615.6711714895148,611.2666991693288,615.648193359375,0.8807999999999999
adaptive_improved,463327,64,15,615.6711714895148,611.2666991693288,615.648193359375,0.91
adaptive_improved,463327,128,15,615.6711714895148,611.2666991693288,615.648193359375,0.9338
adaptive_improved,485339,32,16,618.8887854923785,614.2686179601976,618.7741088867188,0.9030000000000001
adaptive_improved,485339,64,16,618.8887854923785,614.2686179601976,618.7741088867188,0.9274000000000001
adaptive_improved,485339,128,16,618.8887854923785,614.2686179601976,618.7741088867188,0.9474000000000001
adaptive_improved,453364,32,17,617.5411986066651,612.9463073854272,617.4465942382812,0.9174000000000001
adaptive_improved,453364,64,17,617.5411986066651,612.9463073854272,617.4465942382812,0.9408000000000001
adaptive_improved,453364,128,17,617.5411986066651,612.9463073854272,617.4465942382812,0.9566000000000001
