condition,epoch,ef,recall,edge_count
gateway_efgap,12,64,0.9634000000000001,70490
gateway_efgap,12,128,0.9838,70490
gateway_efgap,13,32,0.7684000000000001,100680
gateway_efgap,13,64,0.8964000000000001,100680
gateway_efgap,13,128,0.9448000000000001,100680
gateway_efgap,14,32,0.777,126363
gateway_efgap,14,64,0.9018,126363
gateway_efgap,14,128,0.9452,126363
gateway_efgap,15,32,0.7926,147800
gateway_efgap,15,64,0.905,147800
gateway_efgap,15,128,0.9456,147800
gateway_efgap,16,32,0.8076,164536
gateway_efgap,16,64,0.9052,164536
gateway_efgap,16,128,0.9474000000000001,164536
gateway_efgap,17,32,0.7972,181800
gateway_efgap,17,64,0.9106000000000001,181800
gateway_efgap,17,128,0.9486,181800
gateway_efgap,18,32,0.8025999999999999,198802
gateway_efgap,18,64,0.9016000000000001,198802
gateway_efgap,18,128,0.9446,198802
gateway_efgap,19,32,0.8118,211863
gateway_efgap,19,64,0.9102,211863
gateway_efgap,19,128,0.9496,211863
gateway_efgap,20,32,0.807,223477
gateway_efgap,20,64,0.895,223477
gateway_efgap,20,128,0.945,223477
gateway_efgap,21,32,0.8264,232310
gateway_efgap,21,64,0.9048,232310
gateway_efgap,21,128,0.9462,232310
gateway_efgap,22,32,0.8158,240416
gateway_efgap,22,64,0.9064,240416
gateway_efgap,22,128,0.9518000000000001,240416
gateway_efgap,23,32,0.848,246617
gateway_efgap,23,64,0.9206000000000001,246617
gateway_efgap,23,128,0.958,246617
gateway_efgap,24,32,0.8314000000000001,251998
gateway_efgap,24,64,0.9092,251998
gateway_efgap,24,128,0.951,251998
gateway_efgap_gated,0,32,0.9024000000000001,8353
gateway_efgap_gated,0,64,0.963,8353
gateway_efgap_gated,0,128,0.98,8353
gateway_efgap_gated,1,32,0.9106000000000001,14050
gateway_efgap_gated,1,64,0.9618,14050
gateway_efgap_gated,1,128,0.984,14050
gateway_efgap_gated,2,32,0.9156,19363
gateway_efgap_gated,2,64,0.9678000000000001,19363
gateway_efgap_gated,2,128,0.9852000000000001,19363
gateway_efgap_gated,3,32,0.9074000000000001,23960
gateway_efgap_gated,3,64,0.9622,23960
gateway_efgap_gated,3,128,0.9816,23960
gateway_efgap_gated,4,32,0.9150000000000001,27293
gateway_efgap_gated,4,64,0.9594000000000001,27293
gateway_efgap_gated,4,128,0.98,27293
gateway_efgap_gated,5,32,0.9040000000000001,30678
gateway_efgap_gated,5,64,0.9596,30678
gateway_efgap_gated,5,128,0.9806,30678
gateway_efgap_gated,6,32,0.9032,33606
gateway_efgap_gated,6,64,0.9576,33606
gateway_efgap_gated,6,128,0.9804,33606
gateway_efgap_gated,7,32,0.9182,35408
gateway_efgap_gated,7,64,0.9654,35408
gateway_efgap_gated,7,128,0.9838,35408
gateway_efgap_gated,8,32,0.9174000000000001,36828
gateway_efgap_gated,8,64,0.9658,36828
gateway_efgap_gated,8,128,0.9866,36828
gateway_efgap_gated,9,32,0.9164,38112
gateway_efgap_gated,9,64,0.9582,38112
gateway_efgap_gated,9,128,0.9814,38112
gateway_efgap_gated,10,32,0.9087999999999999,39602
gateway_efgap_gated,10,64,0.959,39602
gateway_efgap_gated,10,128,0.9815999999999999,39602
gateway_efgap_gated,11,32,0.9144,40163
gateway_efgap_gated,11,64,0.9638,40163
gateway_efgap_gated,11,128,0.9834,40163
gateway_efgap_gated,12,32,0.9148,40749
gateway_efgap_gated,12,64,0.9558000000000001,40749
gateway_efgap_gated,12,128,0.981,40749
gateway_efgap_gated,13,32,0.765,57314
gateway_efgap_gated,13,64,0.8854000000000001,57314
gateway_efgap_gated,13,128,0.9404000000000001,57314
gateway_efgap_gated,14,32,0.7724,71276
gateway_efgap_gated,14,64,0.8878,71276
gateway_efgap_gated,14,128,0.9410000000000001,71276
gateway_efgap_gated,15,32,0.7856000000000001,82408
gateway_efgap_gated,15,64,0.8922,82408
gateway_efgap_gated,15,128,0.9398,82408
gateway_efgap_gated,16,32,0.797,91708
gateway_efgap_gated,16,64,0.8912,91708
gateway_efgap_gated,16,128,0.9434000000000001,91708
gateway_efgap_gated,17,32,0.7856000000000001,99966
gateway_efgap_gated,17,64,0.8952,99966
gateway_efgap_gated,17,128,0.9428000000000001,99966
gateway_efgap_gated,18,32,0.786,109724
gateway_efgap_gated,18,64,0.8896000000000001,109724
gateway_efgap_gated,18,128,0.9408000000000001,109724
gateway_efgap_gated,19,32,0.795,116427
gateway_efgap_gated,19,64,0.8956000000000002,116427
gateway_efgap_gated,19,128,0.9454000000000001,116427
gateway_efgap_gated,20,32,0.783,122413
gateway_efgap_gated,20,64,0.876,122413
gateway_efgap_gated,20,128,0.941,122413
gateway_efgap_gated,21,32,0.8074000000000001,127619
gateway_efgap_gated,21,64,0.8916000000000001,127619
gateway_efgap_gated,21,128,0.9412,127619
gateway_efgap_gated,22,32,0.7936,131257
gateway_efgap_gated,22,64,0.8934000000000001,131257
gateway_efgap_gated,22,128,0.9472,131257
gateway_efgap_gated,23,32,0.824,134831
gateway_efgap_gated,23,64,0.9084000000000001,134831
gateway_efgap_gated,23,128,0.9544000000000001,134831
gateway_efgap_gated,24,32,0.8038000000000002,137651
gateway_efgap_gated,24,64,0.8977999999999999,137651
gateway_efgap_gated,24,128,0.947,137651
