condition,epoch,ef,recall,edge_count
gateway_efgap,1,128,0.9858000000000001,23947
gateway_efgap,2,32,0.9204000000000001,32523
gateway_efgap,2,64,0.9706,32523
gateway_efgap,2,128,0.9858000000000001,32523
gateway_efgap,3,32,0.9116000000000001,40985
gateway_efgap,3,64,0.9652000000000001,40985
gateway_efgap,3,128,0.9824,40985
gateway_efgap,4,32,0.9196,47872
gateway_efgap,4,64,0.965,47872
gateway_efgap,4,128,0.9813999999999998,47872
gateway_efgap,5,32,0.9102,56338
gateway_efgap,5,64,0.9656000000000001,56338
gateway_efgap,5,128,0.9815999999999999,56338
gateway_efgap,6,32,0.8952,65748
gateway_efgap,6,64,0.9508000000000001,65748
gateway_efgap,6,128,0.9738,65748
gateway_efgap,7,32,0.8724,78811
gateway_efgap,7,64,0.9466000000000001,78811
gateway_efgap,7,128,0.972,78811
gateway_efgap,8,32,0.8706000000000002,92405
gateway_efgap,8,64,0.951,92405
gateway_efgap,8,128,0.9762000000000001,92405
gateway_efgap,9,32,0.8496,107100
gateway_efgap,9,64,0.929,107100
gateway_efgap,9,128,0.9594000000000001,107100
gateway_efgap,10,32,0.8506,122310
gateway_efgap,10,64,0.936,122310
gateway_efgap,10,128,0.968,122310
gateway_efgap,11,32,0.8722000000000001,133428
gateway_efgap,11,64,0.9404000000000001,133428
gateway_efgap,11,128,0.9708000000000001,133428
gateway_efgap,12,32,0.8702000000000001,144402
gateway_efgap,12,64,0.9344000000000001,144402
gateway_efgap,12,128,0.9674,144402
gateway_efgap,13,32,0.8570000000000001,155199
gateway_efgap,13,64,0.9308000000000001,155199
gateway_efgap,13,128,0.9586,155199
gateway_efgap,14,32,0.8584,165882
gateway_efgap,14,64,0.9312,165882
gateway_efgap,14,128,0.9662000000000001,165882
gateway_efgap,15,32,0.8578000000000001,176061
gateway_efgap,15,64,0.9364,176061
gateway_efgap,15,128,0.9664,176061
gateway_efgap,16,32,0.8334,189822
gateway_efgap,16,64,0.9262,189822
gateway_efgap,16,128,0.9566,189822
gateway_efgap,17,32,0.8186000000000001,203384
gateway_efgap,17,64,0.9134000000000001,203384
gateway_efgap,17,128,0.9562,203384
gateway_efgap,18,32,0.8096,217000
gateway_efgap,18,64,0.9022,217000
gateway_efgap,18,128,0.9446,217000
gateway_efgap,19,32,0.8232,227002
gateway_efgap,19,64,0.9107999999999999,227002
gateway_efgap,19,128,0.9496,227002
gateway_efgap,20,32,0.809,237142
gateway_efgap,20,64,0.8954000000000001,237142
gateway_efgap,20,128,0.9452,237142
gateway_efgap,21,32,0.8316,244016
gateway_efgap,21,64,0.9046000000000001,244016
gateway_efgap,21,128,0.9464,244016
gateway_efgap,22,32,0.8238000000000001,249536
gateway_efgap,22,64,0.9066000000000001,249536
gateway_efgap,22,128,0.9518000000000001,249536
gateway_efgap,23,32,0.8513999999999999,255220
gateway_efgap,23,64,0.9204000000000001,255220
gateway_efgap,23,128,0.958,255220
gateway_efgap,24,32,0.8324000000000001,260173
gateway_efgap,24,64,0.9102,260173
gateway_efgap,24,128,0.951,260173
gateway_efgap_gated,0,32,0.9024000000000001,8353
gateway_efgap_gated,0,64,0.963,8353
gateway_efgap_gated,0,128,0.98,8353
gateway_efgap_gated,1,32,0.9106000000000001,14050
gateway_efgap_gated,1,64,0.9618,14050
gateway_efgap_gated,1,128,0.984,14050
gateway_efgap_gated,2,32,0.9156,19363
gateway_efgap_gated,2,64,0.9678000000000001,19363
gateway_efgap_gated,2,128,0.9852000000000001,19363
gateway_efgap_gated,3,32,0.9074000000000001,23960
gateway_efgap_gated,3,64,0.9622,23960
gateway_efgap_gated,3,128,0.9816,23960
gateway_efgap_gated,4,32,0.9150000000000001,27293
gateway_efgap_gated,4,64,0.9594000000000001,27293
gateway_efgap_gated,4,128,0.98,27293
gateway_efgap_gated,5,32,0.8992,32339
gateway_efgap_gated,5,64,0.9604000000000001,32339
gateway_efgap_gated,5,128,0.98,32339
gateway_efgap_gated,6,32,0.89,37171
gateway_efgap_gated,6,64,0.9475999999999999,37171
gateway_efgap_gated,6,128,0.9724,37171
gateway_efgap_gated,7,32,0.8616000000000001,43820
gateway_efgap_gated,7,64,0.9356000000000001,43820
gateway_efgap_gated,7,128,0.9683999999999999,43820
gateway_efgap_gated,8,32,0.861,50652
gateway_efgap_gated,8,64,0.9446,50652
gateway_efgap_gated,8,128,0.9746000000000001,50652
gateway_efgap_gated,9,32,0.8354,58603
gateway_efgap_gated,9,64,0.9212,58603
gateway_efgap_gated,9,128,0.957,58603
gateway_efgap_gated,10,32,0.8370000000000001,66244
gateway_efgap_gated,10,64,0.922,66244
gateway_efgap_gated,10,128,0.9634000000000001,66244
gateway_efgap_gated,11,32,0.8558,72509
gateway_efgap_gated,11,64,0.9302,72509
gateway_efgap_gated,11,128,0.9678,72509
gateway_efgap_gated,12,32,0.8590000000000001,78874
gateway_efgap_gated,12,64,0.9240000000000002,78874
gateway_efgap_gated,12,128,0.9648,78874
gateway_efgap_gated,13,32,0.8438,85443
gateway_efgap_gated,13,64,0.9222,85443
gateway_efgap_gated,13,128,0.9554000000000001,85443
gateway_efgap_gated,14,32,0.8456,91567
gateway_efgap_gated,14,64,0.9214000000000001,91567
gateway_efgap_gated,14,128,0.964,91567
gateway_efgap_gated,15,32,0.8372,97216
gateway_efgap_gated,15,64,0.9236,97216
gateway_efgap_gated,15,128,0.9618,97216
gateway_efgap_gated,16,32,0.8184000000000001,105589
gateway_efgap_gated,16,64,0.9136,105589
gateway_efgap_gated,16,128,0.9532,105589
gateway_efgap_gated,17,32,0.804,112436
gateway_efgap_gated,17,64,0.8997999999999999,112436
gateway_efgap_gated,17,128,0.9524,112436
gateway_efgap_gated,18,32,0.7908,119994
gateway_efgap_gated,18,64,0.89,119994
gateway_efgap_gated,18,128,0.9408000000000001,119994
gateway_efgap_gated,19,32,0.7982,125496
gateway_efgap_gated,19,64,0.8958,125496
gateway_efgap_gated,19,128,0.9454000000000001,125496
gateway_efgap_gated,20,32,0.7856000000000002,131069
gateway_efgap_gated,20,64,0.8764000000000001,131069
gateway_efgap_gated,20,128,0.941,131069
gateway_efgap_gated,21,32,0.8078000000000001,135391
gateway_efgap_gated,21,64,0.8914000000000001,135391
gateway_efgap_gated,21,128,0.9414,135391
gateway_efgap_gated,22,32,0.7964,137825
gateway_efgap_gated,22,64,0.8938,137825
gateway_efgap_gated,22,128,0.9472,137825
gateway_efgap_gated,23,32,0.825,141134
gateway_efgap_gated,23,64,0.9082,141134
gateway_efgap_gated,23,128,0.9544000000000001,141134
gateway_efgap_gated,24,32,0.8054000000000001,143603
gateway_efgap_gated,24,64,0.8986000000000001,143603
gateway_efgap_gated,24,128,0.947,143603
