strategy,ef,phase_idx,bin,is_plateau,n_queries,n_events,total_edges,edges_per_event,events_per_1000q,mean_dist_comps,mean_threshold,mean_t_rewire_ms
poolAndRewire,50,9,8,False,3000,60,1631,27.1833,20.0,,,138.0978
poolAndRewire,50,10,9,False,3000,59,1741,29.5085,19.6667,,,137.2398
poolAndRewire,50,11,9,True,5000,100,1928,19.28,20.0,,,136.5858
poolAndRewire,100,0,1,False,3000,60,3221,53.6833,20.0,,,120.1077
poolAndRewire,100,1,2,False,3000,60,2835,47.25,20.0,,,131.0925
poolAndRewire,100,2,3,False,3000,59,2675,45.339,19.6667,,,125.5864
poolAndRewire,100,3,3,True,5000,100,3264,32.64,20.0,,,127.0668
poolAndRewire,100,4,4,False,3000,60,2230,37.1667,20.0,,,133.7962
poolAndRewire,100,5,5,False,3000,60,2285,38.0833,20.0,,,131.609
poolAndRewire,100,6,6,False,3000,59,2292,38.8475,19.6667,,,130.3003
poolAndRewire,100,7,6,True,5000,100,2708,27.08,20.0,,,129.0405
poolAndRewire,100,8,7,False,3000,60,1728,28.8,20.0,,,136.7973
poolAndRewire,100,9,8,False,3000,60,1631,27.1833,20.0,,,135.6068
poolAndRewire,100,10,9,False,3000,59,1741,29.5085,19.6667,,,135.8169
poolAndRewire,100,11,9,True,5000,100,1928,19.28,20.0,,,134.7804
poolAndRewire,200,0,1,False,3000,60,3221,53.6833,20.0,,,121.7333
poolAndRewire,200,1,2,False,3000,60,2835,47.25,20.0,,,131.7613
poolAndRewire,200,2,3,False,3000,59,2675,45.339,19.6667,,,128.1229
poolAndRewire,200,3,3,True,5000,100,3264,32.64,20.0,,,129.7836
poolAndRewire,200,4,4,False,3000,60,2230,37.1667,20.0,,,137.5227
poolAndRewire,200,5,5,False,3000,60,2285,38.0833,20.0,,,134.4982
poolAndRewire,200,6,6,False,3000,59,2292,38.8475,19.6667,,,130.7014
poolAndRewire,200,7,6,True,5000,100,2708,27.08,20.0,,,131.8935
poolAndRewire,200,8,7,False,3000,60,1728,28.8,20.0,,,137.6272
poolAndRewire,200,9,8,False,3000,60,1631,27.1833,20.0,,,140.7937
poolAndRewire,200,10,9,False,3000,59,1741,29.5085,19.6667,,,137.1273
poolAndRewire,200,11,9,True,5000,100,1928,19.28,20.0,,,137.7167
poolAndRewire,500,0,1,False,3000,60,3221,53.6833,20.0,,,119.1215
poolAndRewire,500,1,2,False,3000,60,2835,47.25,20.0,,,129.6388
poolAndRewire,500,2,3,False,3000,59,2675,45.339,19.6667,,,126.95
poolAndRewire,500,3,3,True,5000,100,3264,32.64,20.0,,,126.2634
poolAndRewire,500,4,4,False,3000,60,2230,37.1667,20.0,,,135.7278
poolAndRewire,500,5,5,False,3000,60,2285,38.0833,20.0,,,131.414
poolAndRewire,500,6,6,False,3000,59,2292,38.8475,19.6667,,,129.5047
poolAndRewire,500,7,6,True,5000,100,2708,27.08,20.0,,,131.3554
poolAndRewire,500,8,7,False,3000,60,1728,28.8,20.0,,,137.5233
poolAndRewire,500,9,8,False,3000,60,1631,27.1833,20.0,,,135.9938
poolAndRewire,500,10,9,False,3000,59,1741,29.5085,19.6667,,,137.3066
poolAndRewire,500,11,9,True,5000,100,1928,19.28,20.0,,,135.6602
