strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries,mean_t_query_ms,mean_t_global_knn_ms,mean_t_orig_knn_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms
hardness_adaptive,100,7,6,True,0.3,0.3,0.9803,219424.8176,62983.7948,131.847,40.164,179.2312,3113.5112,311.6856,5000,0.9382,0.4041,,0.2866,0.2065,0.4617
hardness_adaptive,100,8,7,False,0.3,0.4,0.9493,211149.8863,89729.6317,117.927,34.8663,190.4057,3903.7117,436.409,3000,1.0302,0.4678,,0.2824,0.2395,0.5185
hardness_adaptive,100,9,8,False,0.4,0.6,0.9286,218552.4843,89531.81,120.5073,35.377,182.2157,3747.401,421.4673,3000,1.0,0.4475,,0.2815,0.2307,0.4784
hardness_adaptive,100,10,9,False,0.6,1.0,0.9197,225919.3587,81778.5227,127.2697,37.164,177.1863,3534.128,381.0163,3000,0.963,0.4219,,0.2823,0.2187,0.476
hardness_adaptive,100,11,9,True,0.6,1.0,0.9269,221493.0688,81079.2048,127.6866,38.2844,188.1058,3724.1524,399.8302,5000,1.0154,0.4557,,0.2803,0.239,0.4785
hardness_adaptive,200,0,1,False,0.0,0.0,1.0,188485.645,41552.899,127.3673,40.1467,375.629,4568.2033,409.0547,3000,1.3026,0.6571,,0.279,0.3229,0.4873
hardness_adaptive,200,1,2,False,0.0,0.1,1.0,205902.8017,68562.6413,124.715,37.4893,354.8627,5595.442,514.3603,3000,1.4164,0.7215,,0.2804,0.3715,0.4791
hardness_adaptive,200,2,3,False,0.1,0.1,0.9993,205814.4317,54893.826,129.846,40.2727,353.4417,5111.4417,466.302,3000,1.3436,0.6798,,0.2787,0.3425,0.4812
hardness_adaptive,200,3,3,True,0.1,0.1,0.9992,198826.6162,54981.3238,128.775,40.1898,372.2476,5332.5984,485.3394,5000,1.442,0.7385,,0.2836,0.3763,0.4615
hardness_adaptive,200,4,4,False,0.1,0.2,0.9971,213621.1293,80052.217,123.892,37.2527,366.2743,6472.878,623.683,3000,1.5968,0.8146,,0.2955,0.4414,0.5303
hardness_adaptive,200,5,5,False,0.2,0.3,0.9972,223537.6153,70731.618,129.4107,38.21,357.985,5928.0637,557.1147,3000,1.4908,0.7564,,0.2895,0.4005,0.5079
hardness_adaptive,200,6,6,False,0.3,0.3,0.9946,214276.106,62874.3647,129.7303,39.9943,349.671,5570.063,529.188,3000,1.4137,0.7145,,0.2835,0.3726,0.4848
hardness_adaptive,200,7,6,True,0.3,0.3,0.9955,222987.0962,63057.2564,131.7682,40.0728,373.2822,5880.44,556.9238,5000,1.5083,0.7767,,0.2821,0.4063,0.4766
hardness_adaptive,200,8,7,False,0.3,0.4,0.9823,220072.3403,89386.399,119.893,35.0573,376.9783,7189.275,737.237,3000,1.6557,0.8577,,0.2853,0.4688,0.5528
hardness_adaptive,200,9,8,False,0.4,0.6,0.9753,221889.2677,89324.1027,121.0733,35.8663,364.042,6984.155,722.3293,3000,1.6083,0.8301,,0.2829,0.4523,0.5168
hardness_adaptive,200,10,9,False,0.6,1.0,0.9749,231595.6917,81684.799,128.9437,37.412,362.826,6705.88,677.2493,3000,1.5664,0.8039,,0.2829,0.4367,0.5011
hardness_adaptive,200,11,9,True,0.6,1.0,0.9728,233742.7452,81160.603,130.1516,37.7118,357.7872,6607.0308,668.8378,5000,1.5795,0.8101,,0.2816,0.4451,0.4642
hardness_adaptive,500,0,1,False,0.0,0.0,1.0,191154.123,41488.7623,126.9497,39.899,955.442,9898.9963,870.7177,3000,2.7549,1.541,,0.2949,0.8645,0.5195
hardness_adaptive,500,1,2,False,0.0,0.1,1.0,211165.7343,68708.8003,125.311,37.563,899.0033,12373.5047,1082.6583,3000,3.1226,1.7216,,0.2981,1.0492,0.5581
hardness_adaptive,500,2,3,False,0.1,0.1,0.9999,203756.7857,54887.4763,130.1617,40.12,884.8183,11050.136,978.1307,3000,2.8863,1.5945,,0.2997,0.9389,1.206
hardness_adaptive,500,3,3,True,0.1,0.1,0.9998,196034.7646,54872.9356,128.2706,40.2266,904.544,11267.1022,992.1808,5000,3.0227,1.6809,,0.301,0.987,0.4767
hardness_adaptive,500,4,4,False,0.1,0.2,0.9995,206312.181,80157.9823,122.306,37.032,881.4927,13831.1513,1248.975,3000,3.3338,1.8164,,0.3043,1.1597,0.5368
hardness_adaptive,500,5,5,False,0.2,0.3,0.9997,218363.8083,70656.692,128.5277,38.027,923.5863,13336.89,1193.8043,3000,3.3149,1.8189,,0.302,1.1399,0.5622
hardness_adaptive,500,6,6,False,0.3,0.3,0.9993,211927.6817,62821.0677,129.917,40.1563,852.513,11870.3287,1083.7617,3000,2.9839,1.6343,,0.3,0.9971,0.5029
hardness_adaptive,500,7,6,True,0.3,0.3,0.9993,211725.4416,62980.4384,130.9266,40.1342,896.99,12385.6448,1127.3464,5000,3.1915,1.7604,,0.3013,1.0766,0.4932
hardness_adaptive,500,8,7,False,0.3,0.4,0.9969,212125.2567,89721.2677,118.3337,35.299,931.4653,15862.1717,1503.739,3000,3.6705,2.0037,,0.3036,1.3091,0.5614
hardness_adaptive,500,9,8,False,0.4,0.6,0.9943,221369.435,89672.298,121.2587,35.333,877.825,15115.5313,1447.5937,3000,3.5001,1.904,,0.3114,1.231,0.5524
hardness_adaptive,500,10,9,False,0.6,1.0,0.9947,217622.7697,81756.852,126.2777,37.2793,840.429,13886.8273,1325.2353,3000,3.2549,1.7674,,0.3011,1.1339,0.5068
