condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
static,False,32,0,0.0,0.1176006899913773,0.0,0,0,0.18858674396680164,8503.351469054493,0.8252,False
static,False,64,0,0.0,0.17483261798042804,0.0,0,0,0.14290402373621255,5719.756482236895,0.9062,False
static,False,128,0,0.0,0.29951029794756323,0.0,0,0,0.09360683735710762,3338.783363552578,0.9576000000000001,False
static,False,32,1,0.0,0.13699456595350057,0.0,0,0,0.20114979492905283,7299.559606907514,0.8125999999999999,False
static,False,64,1,0.0,0.18298641592264175,0.0,0,0,0.1513676319428959,5464.886532466727,0.8972,False
static,False,128,1,0.0,0.3284736518980935,0.0,0,0,0.09212513229298507,3044.384212314973,0.9536,False
static,False,32,2,0.0,0.11173516209237278,0.0,0,0,0.21067690903371447,8949.734186390568,0.8218,False
static,False,64,2,0.0,0.17063796403817832,0.0,0,0,0.15289525826525818,5860.360592302081,0.9047999999999999,False
static,False,128,2,0.0,0.3074224499287084,0.0,0,0,0.0996794863550169,3252.8528747067794,0.952,False
static,False,32,3,0.0,0.10042748204432428,0.0,0,0,0.213227015173969,9957.433758606474,0.8132,False
static,False,64,3,0.0,0.1657668319530785,0.0,0,0,0.1565031629073355,6032.569894821041,0.8974000000000001,False
static,False,128,3,0.0,0.3380580759840086,0.0,0,0,0.09866691441410336,2958.0716185798315,0.9522,False
static,False,32,4,0.0,0.11288097407668829,0.0,0,0,0.21370109966960865,8858.888826744416,0.8072,False
static,False,64,4,0.0,0.17621616600081325,0.0,0,0,0.1492386009047257,5674.848242898355,0.8972,False
static,False,128,4,0.0,0.31326576799619943,0.0,0,0,0.10140197236740515,3192.177703923692,0.9542,False
static,False,32,5,0.0,0.10108985402621329,0.0,0,0,0.20707447935465154,9892.189573650914,0.7996,False
static,False,64,5,0.0,0.16302082396578044,0.0,0,0,0.157659252820759,6134.185655998826,0.8934000000000001,False
static,False,128,5,0.0,0.30301603802945465,0.0,0,0,0.09202956046836254,3300.155353172412,0.9584000000000001,False
static,False,32,6,0.0,0.09973787202034146,0.0,0,0,0.22227154563731275,10026.281689627896,0.7756000000000001,False
static,False,64,6,0.0,0.22140638390555978,0.0,0,0,0.15404622682818297,4516.581601488722,0.8824,False
static,False,128,6,0.0,0.3572351640323177,0.0,0,0,0.10817837122086836,2799.276500981672,0.9412,False
static,False,32,7,0.0,0.1125678060343489,0.0,0,0,0.24838123922712038,8883.534602201098,0.7026,False
static,False,64,7,0.0,0.17015061399433762,0.0,0,0,0.2066161658728571,5877.145997447172,0.8176,False
static,False,128,7,0.0,0.31310191994998604,0.0,0,0,0.15905659370173875,3193.848188985034,0.8990000000000001,False
static,False,32,8,0.0,0.10669431800488383,0.0,0,0,0.2692879499717728,9372.570336446839,0.598,False
static,False,64,8,0.0,0.17468790605198592,0.0,0,0,0.2353805429511964,5724.494743799876,0.726,False
static,False,128,8,0.0,0.33242218394298106,0.0,0,0,0.1938139313878133,3008.2228211686547,0.8296,False
static,False,32,9,0.0,0.13819247810170054,0.0,0,0,0.254991450837082,7236.283868244015,0.6044,False
static,False,64,9,0.0,0.19433935405686498,0.0,0,0,0.22176600280475817,5145.638179426043,0.7272000000000001,False
static,False,128,9,0.0,0.3328356419224292,0.0,0,0,0.1848643827242014,3004.4859205104613,0.8246,False
static,False,32,10,0.0,0.11744564399123192,0.0,0,0,0.25953026798429507,8514.577178142566,0.5898,False
static,False,64,10,0.0,0.18061880604363978,0.0,0,0,0.22895728859330947,5536.522037236739,0.7184,False
static,False,128,10,0.0,0.3239166639978066,0.0,0,0,0.18736178906062997,3087.213814991536,0.8166,False
static,False,32,11,0.0,0.1045880519086495,0.0,0,0,0.25985064941231145,9561.321601758405,0.5958,False
static,False,64,11,0.0,0.16938892798498273,0.0,0,0,0.2257697056737241,5903.573580019679,0.7298,False
static,False,128,11,0.0,0.309451469918713,0.0,0,0,0.18113188565241625,3231.5244786611647,0.8318,False
static,False,32,12,0.0,0.10435813397634774,0.0,0,0,0.24989245686894992,9582.386747415827,0.5876000000000001,False
static,False,64,12,0.0,0.17065318999812007,0.0,0,0,0.22463080821650444,5859.837721234605,0.721,False
static,False,128,12,0.0,0.3156775180250406,0.0,0,0,0.17962394049791916,3167.7897312936825,0.8282,False
static,False,32,13,0.0,0.10284900991246104,0.0,0,0,0.2568369911052534,9722.991021995647,0.6073999999999999,False
static,False,64,13,0.0,0.1657173860585317,0.0,0,0,0.2356752850852206,6034.369861752454,0.7154,False
static,False,128,13,0.0,0.3198276120238006,0.0,0,0,0.2001730251557387,3126.6843837285164,0.8226000000000001,False
static,False,32,14,0.0,0.13584973209071904,0.0,0,0,0.27266822330444007,7361.074509386668,0.5802,False
