drift_detected,edges_added_this_epoch,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,recall_at_k,repair_happened,schedule
False,0,32,0,257.49439562567454,0.05772399599663913,0.0001641420102581288,0,0.9822000000000001,False,gradual_plateau
False,0,64,0,257.49439562567454,0.07377205799275544,0.0001641420102581288,0,0.9944,False,gradual_plateau
False,0,128,0,257.49439562567454,0.12163171400607098,0.0001641420102581288,0,0.9992000000000001,False,gradual_plateau
True,0,32,1,252.50020923908153,0.04972273200110067,0.004642365205047325,0,0.9862000000000001,False,gradual_plateau
True,0,64,1,252.50020923908153,0.07700541599479038,0.004642365205047325,0,0.9957999999999999,False,gradual_plateau
True,0,128,1,252.50020923908153,0.12488965599914081,0.004642365205047325,0,0.999,False,gradual_plateau
True,15500,32,2,255.74954117832735,0.050140940002165735,0.0025779724896518785,15500,0.978,True,gradual_plateau
True,0,64,2,255.74954117832735,0.0737114359944826,0.0025779724896518785,15500,0.9932000000000001,True,gradual_plateau
True,0,128,2,255.74954117832735,0.12003808200825006,0.0025779724896518785,15500,0.9987999999999999,True,gradual_plateau
False,0,32,3,262.19215035450696,0.07259873001021333,0.0014309415856647969,15500,0.9538000000000001,False,gradual_plateau
False,0,64,3,262.19215035450696,0.09595286000694614,0.0014309415856647969,15500,0.9867999999999999,False,gradual_plateau
False,0,128,3,262.19215035450696,0.1467976560088573,0.0014309415856647969,15500,0.9964,False,gradual_plateau
True,15500,32,4,268.234779818686,0.07130820800375659,0.009052612649042512,31000,0.923,True,gradual_plateau
True,0,64,4,268.234779818686,0.09458160000212956,0.009052612649042512,31000,0.9732000000000001,True,gradual_plateau
True,0,128,4,268.234779818686,0.14350758799992036,0.009052612649042512,31000,0.994,True,gradual_plateau
True,14296,32,5,278.61418299155355,0.1051822040026309,0.04325484839614463,45296,0.8726000000000002,True,gradual_plateau
True,0,64,5,278.61418299155355,0.12229506199946627,0.04325484839614463,45296,0.9456000000000001,True,gradual_plateau
True,0,128,5,278.61418299155355,0.17175184200459626,0.04325484839614463,45296,0.9838000000000001,True,gradual_plateau
True,11245,32,6,293.22825218007245,0.19661299799918197,0.10661712717537432,56541,0.8062,True,gradual_plateau
True,0,64,6,293.22825218007245,0.21839039800397586,0.10661712717537432,56541,0.907,True,gradual_plateau
True,0,128,6,293.22825218007245,0.27728967800794635,0.10661712717537432,56541,0.9646000000000001,True,gradual_plateau
True,9574,32,7,306.16357122055507,0.37790651599061675,0.226004826628111,66115,0.7632000000000001,True,gradual_plateau
