bucket,silhouette,intra_dist,inter_dist,intra_inter_ratio
0,0.042476475,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.028041553,507.62751967660034,530.2507345621343,0.957334873087511
0,0.007628622,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.11987452,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.07172301,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.05292188,507.62751967660034,530.2507345621343,0.957334873087511
0,0.040920313,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.11190496,507.62751967660034,530.2507345621343,0.957334873087511
0,0.025585381,507.62751967660034,530.2507345621343,0.957334873087511
0,0.03723804,507.62751967660034,530.2507345621343,0.957334873087511
0,0.01863205,507.62751967660034,530.2507345621343,0.957334873087511
0,0.00932924,507.62751967660034,530.2507345621343,0.957334873087511
0,0.011559436,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.017249437,507.62751967660034,530.2507345621343,0.957334873087511
0,0.0057836347,507.62751967660034,530.2507345621343,0.957334873087511
0,0.019013489,507.62751967660034,530.2507345621343,0.957334873087511
0,0.014655568,507.62751967660034,530.2507345621343,0.957334873087511
0,0.015733007,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.0949099,507.62751967660034,530.2507345621343,0.957334873087511
0,0.01825066,507.62751967660034,530.2507345621343,0.957334873087511
0,0.019972157,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.053424913,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.09482961,507.62751967660034,530.2507345621343,0.957334873087511
0,0.010889656,507.62751967660034,530.2507345621343,0.957334873087511
0,0.026361717,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.033014853,507.62751967660034,530.2507345621343,0.957334873087511
0,0.037491832,507.62751967660034,530.2507345621343,0.957334873087511
0,0.03624032,507.62751967660034,530.2507345621343,0.957334873087511
0,0.013894731,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.00037999623,507.62751967660034,530.2507345621343,0.957334873087511
0,-0.00049619743,507.62751967660034,530.2507345621343,0.957334873087511
0,0.009169059,507.62751967660034,530.2507345621343,0.957334873087511
0,0.013811652,507.62751967660034,530.2507345621343,0.957334873087511
0,0.0070249825,507.62751967660034,530.2507345621343,0.957334873087511
0,0.018348403,507.62751967660034,530.2507345621343,0.957334873087511
0,0.008520649,507.62751967660034,530.2507345621343,0.957334873087511
