condition,drift_detected,edges_added,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,recalibrated,recall_at_k,repair_happened,total_edges
recal_disabled,False,0,0,257.49439562567454,0.05326239200076088,0.0001641420102581288,False,0.9822000000000001,False,0
recal_disabled,True,0,1,252.50020923908153,0.04906215600203723,0.004642365205047325,False,0.9862000000000001,False,0
recal_disabled,True,15500,2,255.74954117832735,0.05431936599779874,0.0025779724896518785,False,0.978,True,15500
recal_disabled,False,0,3,262.19215035450696,0.0716713500150945,0.0014309415856647969,False,0.9538000000000001,False,15500
recal_disabled,True,15500,4,268.234779818686,0.07114726398140192,0.009052612649042512,False,0.923,True,31000
recal_disabled,True,15262,5,278.61418299155355,0.0966566739953123,0.04325484839614463,False,0.8726000000000002,True,45296
recal_disabled,True,15013,6,293.20162148485696,0.20003358600661159,0.1062708338133356,False,0.806,True,56541
recal_disabled,True,13865,7,306.2162564123239,0.3740361879754346,0.22579360808240348,False,0.7637999999999999,True,66115
recal_disabled,True,13175,8,326.55250157674624,0.7409888260008302,0.41756803208355175,False,0.781,True,72853
recal_disabled,True,11787,9,344.12557025130036,1.0815190919965971,0.6021751444221608,False,0.7708,True,76870
recal_disabled,True,12448,10,361.2493223134002,1.1243265699886251,0.6446295950859517,False,0.6848,True,84392
recal_disabled,True,10835,11,366.5264444330358,1.4009754080034327,0.6205744624784565,False,0.7316,True,89613
recal_disabled,True,9177,12,367.93413378352193,1.5787716319900937,0.7091504335566048,False,0.8046,True,92167
recal_disabled,True,9594,13,370.51481233283374,1.619947906001471,0.695927697844591,False,0.7682,True,94095
recal_disabled,True,8275,14,370.6554300558049,1.7245299920032267,0.623009316524683,False,0.7764000000000001,True,95208
recal_disabled,True,7531,15,372.5721219700925,1.7181212440191302,0.6425915847762209,False,0.7836000000000001,True,96362
recal_disabled,True,8914,16,373.0356168390113,1.7680038920079824,0.6505084328979571,False,0.7796,True,97773
recal_disabled,True,8350,17,370.37075092737945,1.730004265991738,0.6195043044910331,False,0.7996,True,98693
recal_disabled,True,8590,18,374.81429060528734,1.821392278012354,0.6744482461186558,False,0.7984000000000001,True,99893
recal_disabled,True,8332,19,375.0184558278746,1.841753292013891,0.6550008773363467,False,0.7857999999999999,True,100639
