condition,drift_detected,edges_added,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,recalibrated,recall_at_k,repair_happened,total_edges
recal_enabled,False,0,0,257.49439562567454,0.0596267259970773,0.0001641420102581288,False,0.9822000000000001,False,0
recal_enabled,True,0,1,252.50020923908153,0.05059126002015546,0.004642365205047325,False,0.9862000000000001,False,0
recal_enabled,True,15500,2,255.74954117832735,0.052611620019888505,0.0025779724896518785,False,0.978,True,15500
recal_enabled,False,0,3,262.19215035450696,0.07893007001257502,0.0014309415856647969,False,0.9538000000000001,False,15500
recal_enabled,True,15500,4,268.234779818686,0.07089654600713402,0.009052612649042512,False,0.923,True,31000
recal_enabled,True,15262,5,278.61418299155355,0.09664830600377172,0.04325484839614463,False,0.8726000000000002,True,45296
recal_enabled,True,15013,6,293.20162148485696,0.20602233600220643,0.1062708338133356,False,0.806,True,56541
recal_enabled,True,13865,7,306.2162564123239,0.37417340400861576,0.22579360808240348,False,0.7637999999999999,True,66115
recal_enabled,True,13175,8,326.55250157674624,0.7472795000066981,0.41756803208355175,False,0.781,True,72853
recal_enabled,True,11787,9,344.12557025130036,1.0868624899885617,0.6021751444221608,False,0.7708,True,76870
recal_enabled,True,12448,10,361.2493223134002,1.1224880880035926,0.6446295950859517,True,0.6848,True,84392
recal_enabled,False,0,11,366.5264444330358,1.409852242009947,0.0028180455320932158,False,0.7316,False,84392
recal_enabled,False,0,12,365.2080938564737,1.422552682022797,0.0024611678550468226,False,0.7851999999999999,False,84392
recal_enabled,False,0,13,368.85383641662844,1.4075935860164464,0.003150054027584774,False,0.7526,False,84392
recal_enabled,False,0,14,367.7188163104997,1.4603687719791196,0.00643251560453155,False,0.756,False,84392
recal_enabled,False,0,15,368.8285203157858,1.3807774460001383,0.002671097600579731,False,0.7598,False,84392
recal_enabled,False,0,16,369.2202724135002,1.462410644016927,0.003861476344767223,False,0.754,False,84392
recal_enabled,False,0,17,366.86034036715176,1.3820499499852303,0.002836769033816248,False,0.7664000000000001,False,84392
recal_enabled,False,0,18,369.55483991106155,1.4527449320012238,0.003505905946981782,False,0.7608,False,84392
recal_enabled,False,0,19,369.879578403598,1.4377972900110763,0.006580746187863705,False,0.7527999999999999,False,84392
recal_enabled,False,0,20,369.4781308386003,1.4168922120006755,0.004001109855691688,False,0.7233999999999999,False,84392
recal_enabled,False,0,21,364.95558415813974,1.4063001300091855,0.0016619155049147948,False,0.7447999999999999,False,84392
recal_enabled,False,0,22,367.8420726869373,1.4671466999861877,0.002382832237018747,False,0.77,False,84392
recal_enabled,False,0,23,368.45794182849914,1.4322005140129477,0.0019728803393395415,False,0.751,False,84392
recal_enabled,False,0,24,366.66081189646115,1.4291023679834325,0.0019900947450409495,False,0.762,False,84392
recal_enabled,False,0,25,366.0803138296747,1.4358350379916374,0.0031434638731617152,False,0.7605999999999999,False,84392
recal_enabled,False,0,26,370.8262426080417,1.4743313799845055,0.007351171580633385,False,0.7732,False,84392
recal_enabled,False,0,27,365.78044038597096,1.4711038900131825,0.0011968739375155684,False,0.7686000000000001,False,84392
recal_enabled,False,0,28,366.63286465448357,1.4241158620279748,0.0019374774148696711,False,0.7642,False,84392
recal_enabled,False,0,29,367.0064723900813,1.446108085976448,0.0034580122661438135,False,0.7522000000000001,False,84392
recal_enabled,False,0,30,368.7200483032318,1.4244678620016202,0.0036250860104707987,False,0.7404000000000001,False,84392
recal_enabled,False,0,31,367.32731638240426,1.3738103919895366,0.003067770377951042,False,0.7392000000000001,False,84392
recal_enabled,False,0,32,368.0746495897804,1.4062952419917565,0.005266045890602724,False,0.7487999999999999,False,84392
recal_enabled,False,0,33,366.77285001877027,1.4056549399974756,0.003041630546611298,False,0.7520000000000001,False,84392
recal_enabled,False,0,34,369.4028164149426,1.461386891984148,0.0031873192804651018,False,0.7432000000000001,False,84392
recal_enabled,False,0,35,368.1654837142776,1.4342071340070106,0.002204660553678758,False,0.743,False,84392
recal_enabled,False,0,36,369.32629219618883,1.462238222011365,0.0036932124867214413,False,0.7676000000000002,False,84392
recal_enabled,False,0,37,365.48208379151146,1.4502998880052473,0.002420352568453162,False,0.7562000000000001,False,84392
recal_enabled,False,0,38,367.30978103292864,1.4335704639961477,0.001739309291190974,False,0.7554000000000001,False,84392
recal_enabled,False,0,39,364.28543732412635,1.3840029379935004,0.0008140192167411449,False,0.748,False,84392
recal_enabled,False,0,40,365.2024232131872,1.4531383639841806,0.0011251753981577494,False,0.7622000000000001,False,84392
recal_enabled,False,0,41,368.05175609736125,1.477442457980942,0.0021476286312102242,False,0.769,False,84392
recal_enabled,False,0,42,364.07962224093416,1.4341354760108516,0.003226121206052677,False,0.7744000000000001,False,84392
recal_enabled,False,0,43,369.1386474750377,1.4282326579850633,0.004048799280287222,False,0.76,False,84392
recal_enabled,False,0,44,371.1739961623674,1.448720363987377,0.006678519486159015,False,0.7667999999999999,False,84392
recal_enabled,False,0,45,369.49413643373873,1.3868454660114367,0.004608153590742948,False,0.7577999999999999,False,84392
recal_enabled,False,0,46,366.59006653853874,1.479341571975965,0.0014734808353313359,False,0.77,False,84392
recal_enabled,False,0,47,370.78645122252516,1.431753619981464,0.005398016133642978,False,0.74,False,84392
recal_enabled,False,0,48,363.6641414156089,1.4399385599826928,0.0006078885415197245,False,0.7707999999999999,False,84392
recal_enabled,False,0,49,365.48822738214875,1.4499741480103694,0.00175920469877158,False,0.7602000000000001,False,84392
recal_enabled,False,0,50,366.6080244727284,1.4403559299826156,0.0017613733526308858,False,0.754,False,84392
recal_enabled,False,0,51,368.077459890643,1.523469045991078,0.002572620690790264,False,0.7756000000000002,False,84392
recal_enabled,False,0,52,365.9697732781202,1.4590779180289246,0.0013760965596776905,False,0.7684,False,84392
recal_enabled,False,0,53,367.0307402039715,1.4051834639976732,0.002504740506734696,False,0.7375999999999999,False,84392
recal_enabled,False,0,54,368.9700863236516,1.4542787260143086,0.005886952818041814,False,0.7596,False,84392
recal_enabled,False,0,55,369.5396147004736,1.4250618779915385,0.006332795337131732,False,0.7392000000000001,False,84392
recal_enabled,False,0,56,367.32298850458955,1.4089344840031117,0.0018682439262214582,False,0.747,False,84392
recal_enabled,False,0,57,366.0122651647918,1.4207479420001619,0.0014171149202911778,False,0.7686000000000001,False,84392
recal_enabled,True,14903,58,374.12723835392603,1.446114457998192,0.010945172019771333,False,0.769,True,98168
recal_enabled,False,0,59,371.66522854784813,1.8265434660133906,0.0068374246988076835,False,0.8056000000000001,False,98168
