condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,queries_per_second,recall_at_k,repair_happened
thresh_85,True,32,0,257.49439562567454,0.051672825997229666,0.001823125736363083,0,19352.531639233606,0.9822000000000001,False
thresh_85,True,64,0,257.49439562567454,0.0723792240023613,0.001823125736363083,0,13816.119387621178,0.9944,False
thresh_85,True,128,0,257.49439562567454,0.12233997399744112,0.001823125736363083,0,8173.943211896679,0.9992000000000001,False
thresh_85,False,32,1,252.52132330277027,0.0481810659985058,0.00031724391092231125,0,20755.04099537798,0.984,False
thresh_85,False,64,1,252.52132330277027,0.07171573799860198,0.00031724391092231125,0,13943.940729153395,0.9972000000000001,False
thresh_85,False,128,1,252.52132330277027,0.11951729000429623,0.00031724391092231125,0,8366.99024855779,0.999,False
thresh_85,False,32,2,252.91389566117573,0.05015295199700631,0.0007105384275595641,0,19939.005784937468,0.983,False
thresh_85,False,64,2,252.91389566117573,0.07335839200823102,0.0007105384275595641,0,13631.705557120133,0.9967999999999999,False
thresh_85,False,128,2,252.91389566117573,0.12263428399455734,0.0007105384275595641,0,8154.326566984982,0.9994,False
thresh_85,False,32,3,254.0705578079571,0.04820187800214626,0.0004716594085745089,0,20746.079643524958,0.9832000000000001,False
thresh_85,False,64,3,254.0705578079571,0.0712264320027316,0.0004716594085745089,0,14039.73176645503,0.9946,False
thresh_85,False,128,3,254.0705578079571,0.11714423800003715,0.0004716594085745089,0,8536.484739434498,0.9985999999999999,False
thresh_85,False,32,4,252.06051845874643,0.04979452800762374,0.0003339665724737102,0,20082.527940557968,0.988,False
thresh_85,False,64,4,252.06051845874643,0.07246037799632177,0.0003339665724737102,0,13800.645644586093,0.9966000000000002,False
thresh_85,False,128,4,252.06051845874643,0.12158681200526189,0.0003339665724737102,0,8224.576197924518,0.9992000000000001,False
thresh_85,False,32,5,253.13779109022582,0.04906762400059961,0.00026102697622014756,0,20380.037150113076,0.9866000000000001,False
thresh_85,False,64,5,253.13779109022582,0.07173766600317322,0.00026102697622014756,0,13939.678494081008,0.9962000000000001,False
thresh_85,False,128,5,253.13779109022582,0.11962330598908011,0.00026102697622014756,0,8359.575015350985,0.999,False
thresh_85,False,32,6,254.87978279608686,0.05055621199426241,0.0010839715254060182,0,19779.962947253433,0.9816000000000001,False
thresh_85,False,64,6,254.87978279608686,0.07388722599716857,0.0010839715254060182,0,13534.139176348574,0.9962000000000001,False
thresh_85,False,128,6,254.87978279608686,0.12301840799045749,0.0010839715254060182,0,8128.864747441454,0.9987999999999999,False
thresh_85,True,32,7,258.73976142639964,0.04959296800370794,0.003126996242087956,4000,20164.149077047226,0.9624000000000001,True
thresh_85,True,64,7,258.73976142639964,0.07209595000313129,0.003126996242087956,4000,13870.404647647581,0.9888000000000001,True
thresh_85,True,128,7,258.73976142639964,0.12132267201377545,0.003126996242087956,4000,8242.482492361,0.998,True
thresh_85,True,32,8,266.9324529528695,0.05438656000478659,0.012611519093732732,6624,18386.89558435006,0.9262,True
thresh_85,True,64,8,266.9324529528695,0.0799196559964912,0.012611519093732732,6624,12512.566370955152,0.9724,True
thresh_85,True,128,8,266.9324529528695,0.1287760820123367,0.012611519093732732,6624,7765.417182860093,0.992,True
thresh_85,True,32,9,277.0247420286531,0.06097212799068075,0.05372624379128986,8648,16400.93650910207,0.866,True
thresh_85,True,64,9,277.0247420286531,0.08614009399025235,0.05372624379128986,8648,11608.995923700297,0.9392,True
thresh_85,True,128,9,277.0247420286531,0.13628648199664894,0.05372624379128986,8648,7337.484872671292,0.982,True
thresh_85,True,32,10,278.79559262847715,0.07721430200035684,0.06136434594582438,10152,12950.968591225219,0.8704000000000001,True
thresh_85,True,64,10,278.79559262847715,0.1072409539920045,0.06136434594582438,10152,9324.795824499624,0.9458000000000001,True
thresh_85,True,128,10,278.79559262847715,0.1567316759901587,0.06136434594582438,10152,6380.331185017066,0.983,True
thresh_85,True,32,11,277.62185001732644,0.08556083599978592,0.057115642701616495,11216,11687.59033633685,0.8874000000000001,True
thresh_85,True,64,11,277.62185001732644,0.11097017201245762,0.057115642701616495,11216,9011.430566114099,0.9528,True
thresh_85,True,128,11,277.62185001732644,0.16191148800135124,0.057115642701616495,11216,6176.214006455517,0.9844,True
thresh_85,True,32,12,282.4924982140776,0.09110214399697725,0.08195824298135969,12248,10976.69007694462,0.8748,True
thresh_85,True,64,12,282.4924982140776,0.1184301460016286,0.08195824298135969,12248,8443.796058363792,0.9468000000000002,True
thresh_85,True,128,12,282.4924982140776,0.17326229199534282,0.08195824298135969,12248,5771.596280319779,0.9854,True
thresh_85,True,32,13,278.8878704809781,0.09402316399791744,0.06166499608285983,13008,10635.676970221397,0.8816000000000002,True
thresh_85,True,64,13,278.8878704809781,0.12142575799953192,0.06166499608285983,13008,8235.484929020207,0.9514,True
thresh_85,True,128,13,278.8878704809781,0.1728355639934307,0.06166499608285983,13008,5785.84625116859,0.9824,True
thresh_85,True,32,14,277.93986900289156,0.10457918199244887,0.04985413517064112,13648,9562.132548256162,0.8794000000000001,True
thresh_85,True,64,14,277.93986900289156,0.1316100819967687,0.04985413517064112,13648,7598.20208929398,0.9522,True
thresh_85,True,128,14,277.93986900289156,0.1825571239896817,0.04985413517064112,13648,5477.7374782510315,0.9846,True
thresh_85,True,32,15,275.95718392819225,0.10294043600151781,0.0426629811221007,14104,9714.355590890013,0.8838,True
thresh_85,True,64,15,275.95718392819225,0.1325564239959931,0.0426629811221007,14104,7543.957281393076,0.9484000000000001,True
thresh_85,True,128,15,275.95718392819225,0.18160337800509296,0.0426629811221007,14104,5506.5055010813485,0.984,True
thresh_85,True,32,16,294.7798771703645,0.13912983999762218,0.16416695630074163,14424,7187.530726816696,0.8028000000000001,True
thresh_85,True,64,16,294.7798771703645,0.1686058659979608,0.16416695630074163,14424,5930.991748603186,0.8988,True
thresh_85,True,128,16,294.7798771703645,0.22515469799691346,0.16416695630074163,14424,4441.390781078477,0.9592,True
thresh_85,True,32,17,312.5858499945878,0.16539612199994735,0.32232250614289604,15024,6046.09097183257,0.7163999999999999,True
thresh_85,True,64,17,312.5858499945878,0.20159628200053703,0.32232250614289604,15024,4960.408942449326,0.8328000000000001,True
thresh_85,True,128,17,312.5858499945878,0.25305595601093955,0.32232250614289604,15024,3951.6951735242706,0.917,True
thresh_85,True,32,18,329.80115090538067,0.20312160400499124,0.524564578703604,15568,4923.159232119038,0.6374,True
thresh_85,True,64,18,329.80115090538067,0.23375656800635625,0.524564578703604,15568,4277.954662530844,0.7582000000000001,True
thresh_85,True,128,18,329.80115090538067,0.28850825599511154,0.524564578703604,15568,3466.1053166428064,0.8528,True
