condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,queries_per_second,recall_at_k,repair_happened
cooldown_3,True,32,0,257.49439562567454,0.053960671997629106,0.001823125736363083,0,18532.01531745078,0.9822000000000001,False
cooldown_3,True,64,0,257.49439562567454,0.07263274599972647,0.001823125736363083,0,13767.894717952231,0.9944,False
cooldown_3,True,128,0,257.49439562567454,0.1211713980010245,0.001823125736363083,0,8252.772655074468,0.9992000000000001,False
cooldown_3,False,32,1,252.52132330277027,0.04848571200273,0.00031724391092231125,0,20624.63267413078,0.984,False
cooldown_3,False,64,1,252.52132330277027,0.07185485999798402,0.00031724391092231125,0,13916.943127132337,0.9972000000000001,False
cooldown_3,False,128,1,252.52132330277027,0.11829661199590191,0.00031724391092231125,0,8453.327471750776,0.999,False
cooldown_3,False,32,2,252.91389566117573,0.04929292999440804,0.0007105384275595641,0,20286.884957202656,0.983,False
cooldown_3,False,64,2,252.91389566117573,0.07295317600073759,0.0007105384275595641,0,13707.422415576391,0.9967999999999999,False
cooldown_3,False,128,2,252.91389566117573,0.12232391200086568,0.0007105384275595641,0,8175.016508570484,0.9994,False
cooldown_3,False,32,3,254.0705578079571,0.04787167199538089,0.0004716594085745089,0,20889.180559569537,0.9832000000000001,False
cooldown_3,False,64,3,254.0705578079571,0.07139963800727855,0.0004716594085745089,0,14005.673248624298,0.9946,False
cooldown_3,False,128,3,254.0705578079571,0.11757082599797286,0.0004716594085745089,0,8505.511392913424,0.9985999999999999,False
cooldown_3,False,32,4,252.06051845874643,0.048884224001085386,0.0003339665724737102,0,20456.497375877272,0.988,False
cooldown_3,False,64,4,252.06051845874643,0.0724933439923916,0.0003339665724737102,0,13794.36986801096,0.9966000000000002,False
cooldown_3,False,128,4,252.06051845874643,0.12115044600795954,0.0003339665724737102,0,8254.199905581036,0.9992000000000001,False
cooldown_3,False,32,5,253.13779109022582,0.048253701999783516,0.00026102697622014756,0,20723.798559631476,0.9866000000000001,False
cooldown_3,False,64,5,253.13779109022582,0.07040803799463902,0.00026102697622014756,0,14202.923820660102,0.9962000000000001,False
cooldown_3,False,128,5,253.13779109022582,0.11659529000462499,0.00026102697622014756,0,8576.675781331587,0.999,False
cooldown_3,False,32,6,254.87978279608686,0.05011914799979422,0.0010839715254060182,0,19952.454100059836,0.9816000000000001,False
cooldown_3,False,64,6,254.87978279608686,0.07418251399940345,0.0010839715254060182,0,13480.265713400351,0.9962000000000001,False
cooldown_3,False,128,6,254.87978279608686,0.12235142799909227,0.0010839715254060182,0,8173.178003344751,0.9987999999999999,False
cooldown_3,True,32,7,258.73976142639964,0.04815369000425562,0.003126996242087956,4000,20766.840504053256,0.9624000000000001,True
cooldown_3,True,64,7,258.73976142639964,0.07152353599667549,0.003126996242087956,4000,13981.411657925879,0.9888000000000001,True
cooldown_3,True,128,7,258.73976142639964,0.11851996199402492,0.003126996242087956,4000,8437.397238200381,0.998,True
cooldown_3,True,32,8,266.9324529528695,0.05289336400164757,0.012611519093732732,4000,18905.963325925935,0.9262,False
cooldown_3,True,64,8,266.9324529528695,0.07784440599789377,0.012611519093732732,4000,12846.13823152632,0.9724,False
cooldown_3,True,128,8,266.9324529528695,0.1259885980107356,0.012611519093732732,4000,7937.22619180816,0.992,False
cooldown_3,True,32,9,277.0389998819085,0.053806461990461685,0.05364007191384395,4000,18585.128310002445,0.8654000000000001,False
cooldown_3,True,64,9,277.0389998819085,0.07810365399927832,0.05364007191384395,4000,12803.498284590372,0.9388000000000002,False
cooldown_3,True,128,9,277.0389998819085,0.12870889599435031,0.05364007191384395,4000,7769.470729077616,0.9818000000000001,False
cooldown_3,True,32,10,278.53899549472493,0.055839948006905615,0.05935015170726547,4000,17908.326130180707,0.865,False
cooldown_3,True,64,10,278.53899549472493,0.08114871398720425,0.05935015170726547,4000,12323.054191070518,0.9426,False
cooldown_3,True,128,10,278.53899549472493,0.131765407990315,0.05935015170726547,4000,7589.245275008004,0.9816000000000001,False
cooldown_3,True,32,11,277.34066171010676,0.05531279000570066,0.05515539606136331,7480,18079.001256254433,0.879,True
cooldown_3,True,64,11,277.34066171010676,0.0801967839943245,0.05515539606136331,7480,12469.327947998134,0.9496000000000001,True
cooldown_3,True,128,11,277.34066171010676,0.1279067059949739,0.05515539606136331,7480,7818.1983674827425,0.9838,True
cooldown_3,True,32,12,282.51485142767274,0.0781264240067685,0.08154319104245479,7480,12799.766694983566,0.8722000000000001,False
cooldown_3,True,64,12,282.51485142767274,0.10444494600233156,0.08154319104245479,7480,9574.422107295422,0.9462,False
cooldown_3,True,128,12,282.51485142767274,0.15647996800544206,0.08154319104245479,7480,6390.594353682523,0.985,False
cooldown_3,True,32,13,278.8138921557896,0.07532175599772017,0.061154869346147986,7480,13276.376615944373,0.877,False
cooldown_3,True,64,13,278.8138921557896,0.10218433999398258,0.061154869346147986,7480,9786.23534740145,0.95,False
cooldown_3,True,128,13,278.8138921557896,0.15206868600216694,0.061154869346147986,7480,6575.975805996971,0.983,False
cooldown_3,True,32,14,277.5686518531766,0.08112873800564557,0.04839665208332671,7480,12326.088443905193,0.8702000000000001,False
cooldown_3,True,64,14,277.5686518531766,0.1076347159978468,0.04839665208332671,7480,9290.682757224953,0.949,False
cooldown_3,True,128,14,277.5686518531766,0.1576182339922525,0.04839665208332671,7480,6344.443626041094,0.9838,False
cooldown_3,True,32,15,275.85218437513174,0.08039247800479643,0.04247393056803725,9200,12438.974700348674,0.8794000000000001,True
cooldown_3,True,64,15,275.85218437513174,0.10369541600812227,0.04247393056803725,9200,9643.62783328505,0.946,True
cooldown_3,True,128,15,275.85218437513174,0.1528747879929142,0.04247393056803725,9200,6541.300976628993,0.9836000000000001,True
cooldown_3,True,32,16,294.691784627173,0.11178962999838404,0.16413573880587448,9200,8945.373555798113,0.7986,False
cooldown_3,True,64,16,294.691784627173,0.13972344200010411,0.16413573880587448,9200,7156.995173360064,0.8952,False
cooldown_3,True,128,16,294.691784627173,0.19487275600840803,0.16413573880587448,9200,5131.553637784307,0.9576,False
cooldown_3,True,32,17,312.39855190277024,0.12890620400139596,0.32278438219447614,9200,7757.578525771892,0.7128,False
cooldown_3,True,64,17,312.39855190277024,0.15739235399814788,0.32278438219447614,9200,6353.548788092766,0.8342,False
cooldown_3,True,128,17,312.39855190277024,0.2125169460050529,0.32278438219447614,9200,4705.507108013041,0.9176,False
cooldown_3,True,32,18,328.30133022802033,0.1365952680062037,0.5277158699097517,9200,7320.897821691622,0.6182,False
cooldown_3,True,64,18,328.30133022802033,0.1642440260038711,0.5277158699097517,9200,6088.501507972233,0.7468,False
cooldown_3,True,128,18,328.30133022802033,0.22061863000271842,0.5277158699097517,9200,4532.708774357262,0.8504,False
cooldown_3,True,32,19,343.9603148301763,0.11406165799417067,0.5642677562902421,11464,8767.188006780569,0.5108,True
cooldown_3,True,64,19,343.9603148301763,0.14531462600280065,0.5642677562902421,11464,6881.619748178184,0.6476000000000001,True
cooldown_3,True,128,19,343.9603148301763,0.2029905060044257,0.5642677562902421,11464,4926.338771618203,0.7582000000000001,True
cooldown_3,True,32,20,357.3690687878011,0.19322325599205215,0.6014493320323775,11464,5175.36046510433,0.5943999999999999,False
cooldown_3,True,64,20,357.3690687878011,0.22725840601196978,0.6014493320323775,11464,4400.277277080478,0.6916,False
cooldown_3,True,128,20,357.3690687878011,0.28454415399755817,0.6014493320323775,11464,3514.393059744891,0.779,False
cooldown_3,True,32,21,354.5502581643878,0.1957299859932391,0.6153462228691096,11464,5109.07919870051,0.6225999999999999,False
cooldown_3,True,64,21,354.5502581643878,0.2256411700072931,0.6153462228691096,11464,4431.815346320347,0.7146,False
cooldown_3,True,128,21,354.5502581643878,0.2844040540076094,0.6153462228691096,11464,3516.124281312968,0.7952,False
cooldown_3,True,32,22,356.24182881969506,0.20314373599831015,0.6178945132843958,11464,4922.622866443287,0.6226,False
cooldown_3,True,64,22,356.24182881969506,0.2377397100062808,0.6178945132843958,11464,4206.280894233366,0.7178,False
cooldown_3,True,128,22,356.24182881969506,0.2957626999996137,0.6178945132843958,11464,3381.0889608503917,0.8054000000000001,False
cooldown_3,True,32,23,357.98897669428123,0.20241697400342673,0.6373045060633613,12536,4940.297151083145,0.6058000000000001,True
cooldown_3,True,64,23,357.98897669428123,0.23232340799586382,0.6373045060633613,12536,4304.344571330512,0.6938,True
cooldown_3,True,128,23,357.98897669428123,0.2929750699986471,0.6373045060633613,12536,3413.2597016006102,0.7868,True
cooldown_3,True,32,24,356.3262534903938,0.22059125399391633,0.6010565493498654,12536,4533.271296547319,0.6406,False
cooldown_3,True,64,24,356.3262534903938,0.25212330599606503,0.6010565493498654,12536,3966.3132134861316,0.726,False
cooldown_3,True,128,24,356.3262534903938,0.3111029760038946,0.6010565493498654,12536,3214.369765422885,0.8018000000000001,False
