strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,500,0.0,0.9968,16416.2501,6362.8884,133.45,35.286,501.375,6075.744,633.135,1000
no_adaptation,500,1.0,0.996,16392.9269,6380.3364,133.762,35.402,501.554,6093.335,636.515,1000
no_adaptation,500,2.0,0.9949,16449.1033,6594.0178,133.029,35.057,502.953,6144.639,649.264,1000
no_adaptation,500,3.0,0.9964,16584.7793,6872.7818,132.949,35.277,504.214,6198.186,664.221,1000
no_adaptation,500,4.0,0.9906,16799.9551,7194.1232,132.094,35.01,503.892,6256.795,681.793,1000
no_adaptation,500,6.0,0.9815,17468.8055,8074.8302,131.81,34.524,506.716,6471.963,732.841,1000
no_adaptation,500,8.0,0.9588,18455.6546,9262.0056,128.883,32.687,510.552,6806.139,805.529,1000
no_adaptation,500,10.0,0.9195,19760.5023,10629.8343,126.192,31.758,512.946,7170.293,884.305,1000
no_adaptation,500,12.0,0.8815,21383.3486,12013.5079,124.636,30.515,515.089,7598.849,949.941,1000
no_adaptation,500,16.0,0.8122,25583.037,15248.6357,121.225,27.2,510.885,8343.966,1037.12,1000
poolAndRewire,10,0.0,0.8433,16416.2501,6362.8884,133.45,35.286,13.705,277.365,37.45,1000
poolAndRewire,10,1.0,0.8314,16392.9269,6380.3364,133.762,35.402,13.646,276.439,37.519,1000
poolAndRewire,10,2.0,0.8141,16449.1033,6594.0178,133.029,35.057,13.748,279.364,37.436,1000
poolAndRewire,10,3.0,0.8004,16584.7793,6872.7818,132.949,35.277,14.002,286.141,38.217,1000
poolAndRewire,10,4.0,0.7798,15802.0502,7110.1635,129.678,35.391,14.194,290.789,37.085,1000
poolAndRewire,10,6.0,0.7366,14804.9173,7765.2027,123.826,35.467,14.182,294.854,35.809,1000
poolAndRewire,10,8.0,0.6398,15869.1567,8768.9158,118.517,31.646,14.481,305.484,34.871,1000
poolAndRewire,10,10.0,0.5181,16814.0807,10023.503,110.593,29.054,14.819,320.466,33.622,1000
poolAndRewire,10,12.0,0.4407,17672.7365,11322.0071,104.873,26.874,14.8,326.837,32.375,1000
poolAndRewire,10,16.0,0.3223,20232.1124,14401.2647,92.843,22.583,14.67,333.936,31.208,1000
poolAndRewire,20,0.0,0.9077,16416.2501,6362.8884,133.45,35.286,23.494,451.143,61.244,1000
poolAndRewire,20,1.0,0.9058,16392.9269,6380.3364,133.762,35.402,23.497,450.646,61.604,1000
poolAndRewire,20,2.0,0.8887,16449.1033,6594.0178,133.029,35.057,23.721,456.772,62.184,1000
poolAndRewire,20,3.0,0.8812,16584.7793,6872.7818,132.949,35.277,24.011,464.193,64.126,1000
poolAndRewire,20,4.0,0.8621,15802.0502,7110.1635,129.678,35.391,24.182,470.175,63.746,1000
poolAndRewire,20,6.0,0.8256,14804.9173,7765.2027,123.826,35.467,24.562,485.23,63.53,1000
poolAndRewire,20,8.0,0.7481,15869.1567,8768.9158,118.517,31.646,25.481,513.483,65.333,1000
poolAndRewire,20,10.0,0.6304,16814.0807,10023.503,110.593,29.054,26.31,546.136,65.691,1000
