condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
static,False,32,0,0.0,0.043840792000992224,0.0,0,0,0.04963023272159823,22809.806902607223,0.9822000000000001,False
static,False,64,0,0.0,0.05661003600107506,0.0,0,0,0.028436596139481952,17664.71231321968,0.9944,False
static,False,128,0,0.0,0.10359499999321997,0.0,0,0,0.008908422980528033,9652.975530338796,0.9992000000000001,False
static,False,32,1,0.0,0.031860535993473604,0.0,0,0,0.04498888751680797,31386.79149041443,0.984,False
static,False,64,1,0.0,0.056508052002754994,0.0,0,0,0.02078845833629805,17696.593043965593,0.9972000000000001,False
static,False,128,1,0.0,0.10301713600347284,0.0,0,0,0.009949874371066196,9707.12290008032,0.999,False
static,False,32,2,0.0,0.03202326399332378,0.0,0,0,0.04659399102888697,31227.29776104273,0.983,False
static,False,64,2,0.0,0.05653724599687848,0.0,0,0,0.018701871564097527,17687.455099160856,0.9967999999999999,False
static,False,128,2,0.0,0.10357544598809909,0.0,0,0,0.007722693830523126,9654.79791527908,0.9994,False
static,False,32,3,0.0,0.03376048400241416,0.0,0,0,0.04514155513493082,29620.42842538903,0.9832000000000001,False
static,False,64,3,0.0,0.05727616199874319,0.0,0,0,0.02430720057925223,17459.27040331269,0.9946,False
static,False,128,3,0.0,0.10474290199636016,0.0,0,0,0.01174904251417961,9547.186309911007,0.9985999999999999,False
static,False,32,4,0.0,0.0327452780038584,0.0,0,0,0.039191835884530846,30538.75431694821,0.988,False
static,False,64,4,0.0,0.057597987994086,0.0,0,0,0.02020989856481224,17361.717567333726,0.9966000000000002,False
static,False,128,4,0.0,0.10488970999722369,0.0,0,0,0.008908422980528033,9533.823670848826,0.9992000000000001,False
static,False,32,5,0.0,0.031909703990095295,0.0,0,0,0.04336404040215809,31338.42922235812,0.9866000000000001,False
static,False,64,5,0.0,0.056277018011314794,0.0,0,0,0.021108292209461185,17769.24285147704,0.9962000000000001,False
static,False,128,5,0.0,0.10288080800091848,0.0,0,0,0.009949874371066194,9719.985869386566,0.999,False
static,False,32,6,0.0,0.03196082799695432,0.0,0,0,0.04314209081627825,31288.300794187624,0.9874,False
static,False,64,6,0.0,0.05619949600077234,0.0,0,0,0.019194790960049547,17793.753879683496,0.9966,False
static,False,128,6,0.0,0.10285245200793725,0.0,0,0,0.008908422980528033,9722.66562903944,0.9992000000000001,False
static,False,32,7,0.0,0.03298273799009621,0.0,0,0,0.04333082043995935,30318.889847782553,0.9838000000000001,False
static,False,64,7,0.0,0.05846764601301402,0.0,0,0,0.018629009635512023,17103.47633591089,0.9964000000000001,False
static,False,128,7,0.0,0.10665821799193509,0.0,0,0,0.010888526071052958,9375.742618122633,0.9987999999999999,False
static,False,32,8,0.0,0.03234020200034138,0.0,0,0,0.041693644599626926,30921.266354163283,0.9858000000000001,False
static,False,64,8,0.0,0.05691298999590799,0.0,0,0,0.023172397372736377,17570.68114101718,0.9952000000000001,False
static,False,128,8,0.0,0.1041526100016199,0.0,0,0,0.009949874371066194,9601.29563708914,0.999,False
static,False,32,9,0.0,0.032727258003433235,0.0,0,0,0.045135795107652636,30555.56930235633,0.9826000000000001,False
static,False,64,9,0.0,0.05773236200911924,0.0,0,0,0.024019991673603882,17321.307585545223,0.9952000000000001,False
static,False,128,9,0.0,0.10448561000521295,0.0,0,0,0.016063623501564022,9570.695906834524,0.9986,False
static,False,32,10,0.0,0.032431973988423124,0.0,0,0,0.04269473035399099,30833.769179666917,0.9845999999999999,False
static,False,64,10,0.0,0.05775219599308912,0.0,0,0,0.022855196345689086,17315.358884702226,0.9958,False
static,False,128,10,0.0,0.1045972139982041,0.0,0,0,0.014051334456200232,9560.484087245093,0.9984,False
static,False,32,11,0.0,0.03149429000040982,0.0,0,0,0.04673799311053053,31751.78738707834,0.9834,False
static,False,64,11,0.0,0.05553055999916978,0.0,0,0,0.025631230949761264,18008.10220561346,0.9952000000000001,False
static,False,128,11,0.0,0.10148692400252912,0.0,0,0,0.007722693830523126,9853.486149359294,0.9994000000000001,False
static,False,32,12,0.0,0.0325483280030312,0.0,0,0,0.043301270189221926,30723.544383197524,0.985,False
static,False,64,12,0.0,0.057310243995743804,0.0,0,0,0.01919479096004955,17448.88749861658,0.9966,False
static,False,128,12,0.0,0.10498147799808066,0.0,0,0,0.007722693830523127,9525.48982038796,0.9994,False
