strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,12.0,10,0.3914,24166.4959,12279.7555,116.9775,29.9038,16.845,375.2525,41.0662,800
no_adaptation,12.0,20,0.5172,24166.4959,12279.7555,116.9775,29.9038,28.68,612.0375,79.1662,800
no_adaptation,12.0,50,0.6743,24166.4959,12279.7555,116.9775,29.9038,60.1762,1189.9012,172.8112,800
no_adaptation,12.0,100,0.7725,24166.4959,12279.7555,116.9775,29.9038,111.225,2043.365,293.7288,800
no_adaptation,12.0,200,0.8462,24166.4959,12279.7555,116.9775,29.9038,212.3075,3573.675,491.4788,800
no_adaptation,12.0,500,0.9149,24166.4959,12279.7555,116.9775,29.9038,516.3662,7624.4125,971.8025,800
no_adaptation,16.0,10,0.2615,29466.0836,15530.1252,108.1312,27.0562,16.7325,382.6438,39.0725,800
no_adaptation,16.0,20,0.3764,29466.0836,15530.1252,108.1312,27.0562,28.5162,631.205,76.5362,800
no_adaptation,16.0,50,0.5318,29466.0836,15530.1252,108.1312,27.0562,59.8775,1250.255,171.5962,800
no_adaptation,16.0,100,0.6492,29466.0836,15530.1252,108.1312,27.0562,109.6575,2158.8925,299.0562,800
no_adaptation,16.0,200,0.7462,29466.0836,15530.1252,108.1312,27.0562,209.0562,3829.6488,513.2975,800
no_adaptation,16.0,500,0.8451,29466.0836,15530.1252,108.1312,27.0562,512.125,8353.0575,1043.9838,800
option1_directed_edges,0.0,10,0.8383,16680.5835,6241.282,136.6862,36.1575,13.6425,280.7162,36.5538,800
option1_directed_edges,0.0,20,0.9036,14588.0394,14588.0394,0.0,0.0,31.6938,647.465,163.7588,800
option1_directed_edges,0.0,50,0.9536,14552.7249,14552.7249,0.0,0.0,60.7862,1131.9025,271.665,800
option1_directed_edges,0.0,100,0.9742,14552.7249,14552.7249,0.0,0.0,110.3412,1847.7425,361.9788,800
option1_directed_edges,0.0,200,0.9865,14552.7249,14552.7249,0.0,0.0,210.0862,3131.1887,496.2025,800
option1_directed_edges,0.0,500,0.9945,14552.7249,14552.7249,0.0,0.0,509.66,6435.0913,830.545,800
option1_directed_edges,1.0,10,0.8334,16921.1453,6297.3852,136.7162,35.3175,13.7125,281.8862,36.8038,800
option1_directed_edges,1.0,20,0.8978,13698.3524,13698.3524,0.0,0.0,31.665,652.7325,161.8162,800
option1_directed_edges,1.0,50,0.9516,14043.5712,14043.5712,0.0,0.0,61.2188,1140.135,270.5338,800
option1_directed_edges,1.0,100,0.9742,14043.5712,14043.5712,0.0,0.0,110.5625,1853.1225,363.5663,800
option1_directed_edges,1.0,200,0.9868,14043.5712,14043.5712,0.0,0.0,210.3075,3139.2638,500.2825,800
option1_directed_edges,1.0,500,0.9944,14043.5712,14043.5712,0.0,0.0,509.9612,6447.77,835.9525,800
option1_directed_edges,2.0,10,0.8255,17241.2068,6459.2642,137.0612,35.025,13.8238,284.3938,36.7888,800
option1_directed_edges,2.0,20,0.8864,13570.8118,13570.8118,0.0,0.0,31.9288,658.5237,159.5175,800
option1_directed_edges,2.0,50,0.9502,13613.9172,13613.9172,0.0,0.0,61.79,1153.81,269.4312,800
option1_directed_edges,2.0,100,0.9718,13613.9172,13613.9172,0.0,0.0,111.055,1866.9012,366.4138,800
option1_directed_edges,2.0,200,0.9864,13613.9172,13613.9172,0.0,0.0,210.7375,3155.6838,507.2075,800
option1_directed_edges,2.0,500,0.9954,13613.9172,13613.9172,0.0,0.0,510.1712,6470.0337,847.4525,800
