strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,500,0.0,0.9968,16038.5463,6263.5823,133.612,35.171,501.348,6073.564,630.159,1000
no_adaptation,500,1.0,0.9965,16131.3619,6366.5135,133.203,35.288,501.681,6093.468,635.866,1000
no_adaptation,500,2.0,0.996,16303.6773,6506.4096,132.963,34.964,501.97,6122.603,642.054,1000
no_adaptation,500,3.0,0.9966,16555.4923,6670.1024,134.069,35.946,502.443,6165.486,651.985,1000
no_adaptation,500,4.0,0.995,16886.807,6988.327,133.564,35.508,503.057,6223.627,666.164,1000
no_adaptation,500,6.0,0.9855,17787.9354,8065.0683,129.711,34.164,505.573,6420.276,719.271,1000
no_adaptation,500,8.0,0.9683,19007.0622,9468.9958,124.858,32.234,508.506,6712.411,799.788,1000
no_adaptation,500,10.0,0.9345,20544.1877,10713.9456,122.53,31.525,515.015,7162.315,892.46,1000
no_adaptation,500,12.0,0.879,22399.3119,12108.6537,120.935,30.604,515.754,7617.588,958.914,1000
no_adaptation,500,16.0,0.8126,27063.5559,15169.0135,121.165,30.057,510.157,8322.913,1031.674,1000
poolAndRewire,10,0.0,0.8374,16038.5463,6263.5823,133.612,35.171,13.381,270.862,36.023,1000
poolAndRewire,10,1.0,0.8344,16131.3619,6366.5135,133.203,35.288,13.56,275.074,36.379,1000
poolAndRewire,10,2.0,0.8172,16303.6773,6506.4096,132.963,34.964,13.672,277.364,35.98,1000
poolAndRewire,10,3.0,0.8051,16555.4923,6670.1024,134.069,35.946,13.769,279.712,35.9,1000
poolAndRewire,10,4.0,0.7801,16886.807,6988.327,133.564,35.508,14.071,287.561,36.518,1000
poolAndRewire,10,6.0,0.7365,14712.202,7768.5185,121.652,35.234,14.457,298.82,36.183,1000
poolAndRewire,10,8.0,0.6512,15025.194,8753.4769,112.565,31.0,14.593,307.15,34.78,1000
poolAndRewire,10,10.0,0.5344,15485.5909,9892.4103,103.445,28.474,14.826,319.169,33.757,1000
poolAndRewire,10,12.0,0.4509,16267.2458,11159.5922,96.7,25.192,14.881,327.249,32.624,1000
poolAndRewire,10,16.0,0.3422,18246.698,14078.7684,85.785,22.338,14.268,323.217,30.318,1000
poolAndRewire,20,0.0,0.9044,16038.5463,6263.5823,133.612,35.171,23.171,443.389,58.492,1000
poolAndRewire,20,1.0,0.9037,16131.3619,6366.5135,133.203,35.288,23.331,447.526,59.687,1000
poolAndRewire,20,2.0,0.8946,16303.6773,6506.4096,132.963,34.964,23.593,454.01,60.158,1000
poolAndRewire,20,3.0,0.8889,16555.4923,6670.1024,134.069,35.946,23.878,460.488,60.798,1000
poolAndRewire,20,4.0,0.8716,16886.807,6988.327,133.564,35.508,24.195,468.263,62.631,1000
poolAndRewire,20,6.0,0.8386,14712.202,7768.5185,121.652,35.234,25.187,494.405,64.892,1000
poolAndRewire,20,8.0,0.764,15025.194,8753.4769,112.565,31.0,25.691,515.863,65.643,1000
poolAndRewire,20,10.0,0.6565,15485.5909,9892.4103,103.445,28.474,26.659,548.683,66.073,1000
poolAndRewire,20,12.0,0.5454,16267.2458,11159.5922,96.7,25.192,26.506,561.907,64.387,1000
poolAndRewire,20,16.0,0.4359,18246.698,14078.7684,85.785,22.338,26.147,575.08,60.772,1000
poolAndRewire,50,0.0,0.9593,16038.5463,6263.5823,133.612,35.171,52.562,910.941,109.099,1000
poolAndRewire,50,1.0,0.9584,16131.3619,6366.5135,133.203,35.288,52.686,914.417,110.926,1000
poolAndRewire,50,2.0,0.9529,16303.6773,6506.4096,132.963,34.964,52.877,919.997,112.936,1000
poolAndRewire,50,3.0,0.9489,16555.4923,6670.1024,134.069,35.946,53.172,928.025,115.671,1000
poolAndRewire,50,4.0,0.9386,16886.807,6988.327,133.564,35.508,53.628,942.026,119.933,1000
poolAndRewire,50,6.0,0.9149,14712.202,7768.5185,121.652,35.234,54.916,981.823,129.722,1000
poolAndRewire,50,8.0,0.8682,15025.194,8753.4769,112.565,31.0,56.31,1034.944,138.464,1000
poolAndRewire,50,10.0,0.7822,15485.5909,9892.4103,103.445,28.474,58.234,1105.037,146.562,1000
poolAndRewire,50,12.0,0.6727,16267.2458,11159.5922,96.7,25.192,57.673,1135.879,146.472,1000
poolAndRewire,50,16.0,0.566,18246.698,14078.7684,85.785,22.338,57.382,1191.27,146.582,1000
poolAndRewire,100,0.0,0.9785,16038.5463,6263.5823,133.612,35.171,101.992,1608.908,179.324,1000
poolAndRewire,100,1.0,0.977,16131.3619,6366.5135,133.203,35.288,102.196,1614.343,182.025,1000
poolAndRewire,100,2.0,0.9745,16303.6773,6506.4096,132.963,34.964,102.427,1622.508,184.996,1000
poolAndRewire,100,3.0,0.9707,16555.4923,6670.1024,134.069,35.946,102.614,1631.01,189.386,1000
poolAndRewire,100,4.0,0.967,16886.807,6988.327,133.564,35.508,103.278,1651.867,196.319,1000
poolAndRewire,100,6.0,0.9523,14712.202,7768.5185,121.652,35.234,104.42,1705.25,213.821,1000
poolAndRewire,100,8.0,0.9178,15025.194,8753.4769,112.565,31.0,106.837,1796.868,234.99,1000
poolAndRewire,100,10.0,0.8519,15485.5909,9892.4103,103.445,28.474,109.1,1906.601,254.854,1000
poolAndRewire,100,12.0,0.7584,16267.2458,11159.5922,96.7,25.192,108.803,1988.663,261.912,1000
poolAndRewire,100,16.0,0.656,18246.698,14078.7684,85.785,22.338,106.572,2085.338,268.443,1000
poolAndRewire,200,0.0,0.9893,16038.5463,6263.5823,133.612,35.171,201.821,2857.785,305.095,1000
poolAndRewire,200,1.0,0.9881,16131.3619,6366.5135,133.203,35.288,201.89,2863.935,308.662,1000
poolAndRewire,200,2.0,0.9873,16303.6773,6506.4096,132.963,34.964,201.928,2873.161,312.682,1000
poolAndRewire,200,3.0,0.9868,16555.4923,6670.1024,134.069,35.946,202.366,2894.634,319.145,1000
poolAndRewire,200,4.0,0.9856,16886.807,6988.327,133.564,35.508,203.058,2926.43,328.855,1000
poolAndRewire,200,6.0,0.9699,14712.202,7768.5185,121.652,35.234,204.268,3011.51,356.294,1000
poolAndRewire,200,8.0,0.9442,15025.194,8753.4769,112.565,31.0,207.123,3157.969,394.462,1000
poolAndRewire,200,10.0,0.902,15485.5909,9892.4103,103.445,28.474,210.131,3343.486,433.533,1000
poolAndRewire,200,12.0,0.8242,16267.2458,11159.5922,96.7,25.192,209.269,3509.286,455.449,1000
poolAndRewire,200,16.0,0.739,18246.698,14078.7684,85.785,22.338,208.304,3793.396,481.154,1000
poolAndRewire,500,0.0,0.9968,16038.5463,6263.5823,133.612,35.171,501.348,6073.564,630.159,1000
poolAndRewire,500,1.0,0.9965,16131.3619,6366.5135,133.203,35.288,501.681,6093.468,635.866,1000
poolAndRewire,500,2.0,0.996,16303.6773,6506.4096,132.963,34.964,501.97,6122.603,642.054,1000
poolAndRewire,500,3.0,0.9966,16555.4923,6670.1024,134.069,35.946,502.443,6165.486,651.985,1000
poolAndRewire,500,4.0,0.995,16886.807,6988.327,133.564,35.508,503.057,6223.627,666.164,1000
poolAndRewire,500,6.0,0.9856,14712.202,7768.5185,121.652,35.234,505.048,6421.297,713.988,1000
poolAndRewire,500,8.0,0.9696,15025.194,8753.4769,112.565,31.0,507.789,6703.777,785.462,1000
poolAndRewire,500,10.0,0.9396,15485.5909,9892.4103,103.445,28.474,513.143,7106.836,869.104,1000
poolAndRewire,500,12.0,0.8855,16267.2458,11159.5922,96.7,25.192,513.604,7565.093,932.584,1000
poolAndRewire,500,16.0,0.818,18246.698,14078.7684,85.785,22.338,508.733,8293.222,1010.645,1000
