window,query_id,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
in_distribution,999.5,0.93165,0.9152277846038341,0.5023581312298775,99.006,202.992,3819.507,403.541,202.992,0.0,33.9535,32.1745,25.202,7.676,0.0
mild_drift,999.5,0.73915,0.9647991194725036,0.6056667396724225,92.475,206.3625,4251.062,507.231,206.3625,0.0,30.1445,32.1355,22.489,7.706,0.0
moderate_drift,999.5,0.757,0.9612395656108856,0.5833912336528301,93.758,206.4635,4204.812,508.4765,206.4635,0.0,30.801,33.1935,21.9175,7.846,0.0
large_drift,999.5,0.9004,0.9600138033330441,0.5777801838517189,91.876,203.698,3716.998,430.7285,203.698,0.0,30.51,29.8955,23.9165,7.554,0.0
