cluster_id,centroid_distance,recall,entry_point_distance,base_layer_visited,n_queries
2,0.8585506081581116,0.9584000000000001,0.9128622337579727,202.352,500
3,0.9356743693351746,0.9202,0.9383539700508118,203.708,500
0,0.9918308258056641,0.8977999999999999,0.9317315665483474,203.81,500
1,1.2513166666030884,0.9464000000000001,0.8519257127046586,203.064,500
4,1.2897112369537354,0.928,0.9537863841056824,203.27,500
7,1.492478847503662,0.7338,0.960708841919899,206.146,500
5,1.915536880493164,0.6878,0.9696144368648529,207.74,500
8,2.0537960529327393,0.8244000000000001,0.9491677964925767,204.332,500
9,2.4391486644744873,0.9444000000000001,1.0151806443929672,203.414,500
6,2.5272135734558105,0.844,0.9269369840621948,204.254,500
