condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,n_promoted_nodes,n_upper_rewire_edges,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
adaptive_mconj48,False,32,0,0.5954839972224422,0.09695382392965257,0.00027959607735411753,0,0,0,0,0.1664272814174407,10314.188336971387,0.8986000000000002,False
adaptive_mconj48,False,64,0,0.5954839972224422,0.16309901606291533,0.00027959607735411753,0,0,0,0,0.1114147207508954,6131.24483604641,0.9526000000000001,False
adaptive_mconj48,False,128,0,0.5954839972224422,0.2910901301074773,0.00027959607735411753,0,0,0,0,0.07463913182774837,3435.3620977488195,0.977,False
adaptive_mconj48,False,32,1,0.5919658342619039,0.10171040799468756,0.00031406373374130844,0,0,0,0,0.14739063742314165,9831.835499590476,0.906,False
adaptive_mconj48,False,64,1,0.5919658342619039,0.17350865993648767,0.00031406373374130844,0,0,0,0,0.10752841484928531,5763.401091138892,0.9542,False
adaptive_mconj48,False,128,1,0.5919658342619039,0.307367387926206,0.00031406373374130844,0,0,0,0,0.06677574409918619,3253.435592978667,0.981,False
adaptive_mconj48,False,32,2,0.5862687668883634,0.0953847779892385,0.0013022250239861123,0,0,0,0,0.15347951003309854,10483.853095646162,0.9102,False
adaptive_mconj48,False,64,2,0.5862687668883634,0.15762782003730536,0.0013022250239861123,0,0,0,0,0.09775479527879949,6344.0577923575465,0.958,False
adaptive_mconj48,False,128,2,0.5862687668883634,0.29187081195414066,0.0013022250239861123,0,0,0,0,0.05425089861006911,3426.1733583593896,0.9822000000000001,False
adaptive_mconj48,False,32,3,0.5917926345685801,0.10048414207994938,0.0010949921691276246,0,0,0,0,0.15484844203284706,9951.819056228378,0.8986000000000002,False
adaptive_mconj48,False,64,3,0.5917926345685801,0.1598912221379578,0.0010949921691276246,0,0,0,0,0.10667239567948215,6254.2520260254005,0.951,False
adaptive_mconj48,False,128,3,0.5917926345685801,0.2865000478923321,0.0010949921691276246,0,0,0,0,0.06316043065084341,3490.400812693072,0.9774,False
adaptive_mconj48,False,32,4,0.5920054660917301,0.09596208203583956,0.0004775088225885858,0,0,0,0,0.16858422227480246,10420.782654825307,0.9044,False
adaptive_mconj48,False,64,4,0.5920054660917301,0.15466433204710484,0.0004775088225885858,0,0,0,0,0.11123506641342917,6465.614836751361,0.9526000000000001,False
adaptive_mconj48,False,128,4,0.5920054660917301,0.28809423581697047,0.0004775088225885858,0,0,0,0,0.06660330322138686,3471.0864560140362,0.978,False
