condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,n_promoted_nodes,n_upper_rewire_edges,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
adaptive_naf,False,32,0,0.0,0.15791181195527315,0.0,800,0,0,0,0.16732435566886253,6332.648505630721,0.8984000000000001,True
adaptive_naf,False,64,0,0.0,0.2505697358865291,0.0,800,0,0,0,0.1144340858311019,3990.9049529143917,0.9522,True
adaptive_naf,False,128,0,0.0,0.4215489199850708,0.0,800,0,0,0,0.07042840336114399,2372.203918907953,0.9772000000000001,True
adaptive_naf,False,32,1,0.0,0.15178215596824884,0.0,1600,0,0,0,0.1484128026822484,6588.38974595399,0.9057999999999999,True
adaptive_naf,False,64,1,0.0,0.24240561411716044,0.0,1600,0,0,0,0.11065965841263022,4125.316996646275,0.9538,True
adaptive_naf,False,128,1,0.0,0.4178037738893181,0.0,1600,0,0,0,0.061919625321863826,2393.4680883588994,0.9814,True
adaptive_naf,False,32,2,0.0,0.15272179385647178,0.0,2400,0,0,0,0.15188034764247807,6547.853942442569,0.9106000000000001,True
adaptive_naf,False,64,2,0.0,0.24312008591368794,0.0,2400,0,0,0,0.09775479527879949,4113.19367645756,0.958,True
adaptive_naf,False,128,2,0.0,0.42579762218520045,0.0,2400,0,0,0,0.05425089861006911,2348.533547153184,0.9822000000000001,True
adaptive_naf,False,32,3,0.0,0.14804553007707,0.0,3200,0,0,0,0.15535494842456743,6754.678776721033,0.8977999999999999,True
adaptive_naf,False,64,3,0.0,0.23337183403782547,0.0,3200,0,0,0,0.10629223866303691,4285.007246581084,0.9514000000000001,True
adaptive_naf,False,128,3,0.0,0.4295370439067483,0.0,3200,0,0,0,0.0623470929554859,2328.087912755432,0.9778000000000001,True
adaptive_naf,False,32,4,0.0,0.14609152008779347,0.0,4000,0,0,0,0.16858422227480246,6845.024265604544,0.9044,True
adaptive_naf,False,64,4,0.0,0.24016679381020367,0.0,4000,0,0,0,0.11123506641342917,4163.77295185224,0.9526000000000001,True
adaptive_naf,False,128,4,0.0,0.4200748600997031,0.0,4000,0,0,0,0.06660330322138686,2380.5280795967033,0.978,True
