condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,n_promoted_nodes,n_upper_rewire_edges,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
adaptive_mconj48_rewire,False,32,0,0.5954839972224422,0.10265465592965484,0.00027959607735411753,0,0,0,0,0.1664272814174407,9741.39936414828,0.8986000000000002,False
adaptive_mconj48_rewire,False,64,0,0.5954839972224422,0.16462238621897995,0.00027959607735411753,0,0,0,0,0.1114147207508954,6074.5079874483445,0.9526000000000001,False
adaptive_mconj48_rewire,False,128,0,0.5954839972224422,0.270749949850142,0.00027959607735411753,0,0,0,0,0.07463913182774837,3693.4448207783316,0.977,False
adaptive_mconj48_rewire,False,32,1,0.5919658342619039,0.09833527798764408,0.00031406373374130844,0,0,0,0,0.14739063742314165,10169.290416056494,0.906,False
adaptive_mconj48_rewire,False,64,1,0.5919658342619039,0.15989331784658134,0.00031406373374130844,0,0,0,0,0.10752841484928531,6254.170052056249,0.9542,False
adaptive_mconj48_rewire,False,128,1,0.5919658342619039,0.2979473900049925,0.00031406373374130844,0,0,0,0,0.06677574409918619,3356.2972308072367,0.981,False
adaptive_mconj48_rewire,False,32,2,0.5862687668883634,0.09410752821713686,0.0013022250239861123,0,0,0,0,0.15347951003309854,10626.142445189644,0.9102,False
adaptive_mconj48_rewire,False,64,2,0.5862687668883634,0.15280027594417334,0.0013022250239861123,0,0,0,0,0.09775479527879949,6544.49079899147,0.958,False
adaptive_mconj48_rewire,False,128,2,0.5862687668883634,0.27224957407452166,0.0013022250239861123,0,0,0,0,0.05425089861006911,3673.100328620806,0.9822000000000001,False
adaptive_mconj48_rewire,False,32,3,0.5917926345685801,0.1055491438601166,0.0010949921691276246,0,0,0,0,0.15484844203284706,9474.259699588769,0.8986000000000002,False
adaptive_mconj48_rewire,False,64,3,0.5917926345685801,0.17035562405362725,0.0010949921691276246,0,0,0,0,0.10667239567948215,5870.073298461834,0.951,False
