condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,n_promoted_nodes,n_upper_rewire_edges,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
adaptive_naf_exact,False,32,0,0.0,0.15300367190502584,0.0,800,0,0,0,0.16732435566886253,6535.790857494788,0.8984000000000001,True
adaptive_naf_exact,False,64,0,0.0,0.24403122998774052,0.0,800,0,0,0,0.1144340858311019,4097.836166503104,0.9522,True
adaptive_naf_exact,False,128,0,0.0,0.4136923779733479,0.0,800,0,0,0,0.07042840336114399,2417.2550746497554,0.9772000000000001,True
adaptive_naf_exact,False,32,1,0.0,0.15213708789087832,0.0,1600,0,0,0,0.1484128026822484,6573.019201716671,0.9057999999999999,True
adaptive_naf_exact,False,64,1,0.0,0.24454595800489187,0.0,1600,0,0,0,0.11065965841263022,4089.2109121672584,0.9538,True
adaptive_naf_exact,False,128,1,0.0,0.41394129185937345,0.0,1600,0,0,0,0.061919625321863826,2415.801515012244,0.9814,True
adaptive_naf_exact,False,32,2,0.0,0.1605318239890039,0.0,2400,0,0,0,0.15188034764247807,6229.294448610376,0.9106000000000001,True
adaptive_naf_exact,False,64,2,0.0,0.2394447799306363,0.0,2400,0,0,0,0.09775479527879949,4176.328255264891,0.958,True
adaptive_naf_exact,False,128,2,0.0,0.4061416001059115,0.0,2400,0,0,0,0.05425089861006911,2462.1954504025816,0.9822000000000001,True
adaptive_naf_exact,False,32,3,0.0,0.16078841988928616,0.0,3200,0,0,0,0.15535494842456743,6219.353363187277,0.8977999999999999,True
adaptive_naf_exact,False,64,3,0.0,0.24959419784136117,0.0,3200,0,0,0,0.10629223866303691,4006.5033908984815,0.9514000000000001,True
adaptive_naf_exact,False,128,3,0.0,0.4199971938505769,0.0,3200,0,0,0,0.0623470929554859,2380.9682889352152,0.9778000000000001,True
adaptive_naf_exact,False,32,4,0.0,0.15866413805633783,0.0,4000,0,0,0,0.16858422227480246,6302.621450884661,0.9044,True
adaptive_naf_exact,False,64,4,0.0,0.24357796204276383,0.0,4000,0,0,0,0.11123506641342917,4105.461724096513,0.9526000000000001,True
adaptive_naf_exact,False,128,4,0.0,0.41620748792774975,0.0,4000,0,0,0,0.06660330322138686,2402.647787474674,0.978,True
adaptive_naf_exact,False,32,5,0.0,0.1536851821001619,0.0,4800,0,0,0,0.17888309031319868,6506.808179777968,0.8922,True
adaptive_naf_exact,False,64,5,0.0,0.2383000859990716,0.0,4800,0,0,0,0.12008263821219119,4196.389589233702,0.9496,True
adaptive_naf_exact,False,128,5,0.0,0.4200701101217419,0.0,4800,0,0,0,0.07870425655579245,2380.5549976173897,0.9758,True
adaptive_naf_exact,False,32,6,0.0,0.16137033398263156,0.0,5600,0,0,0,0.17604669835018208,6196.925886685163,0.8766,True
adaptive_naf_exact,False,64,6,0.0,0.24507772596552968,0.0,5600,0,0,0,0.12359223276565562,4080.3381705143233,0.9364,True
adaptive_naf_exact,False,128,6,0.0,0.423202893929556,0.0,5600,0,0,0,0.07931809377437156,2362.9328020768553,0.9692000000000001,True
adaptive_naf_exact,False,32,7,0.0,0.1637774701230228,0.0,6400,0,0,0,0.202225517677666,6105.845933807878,0.8522000000000001,True
adaptive_naf_exact,False,64,7,0.0,0.24441158398985863,0.0,6400,0,0,0,0.1430490824856979,4091.4591022064365,0.9264000000000001,True
adaptive_naf_exact,False,128,7,0.0,0.43477553012780845,0.0,6400,0,0,0,0.08944808550215035,2300.0374462335444,0.9648,True
adaptive_naf_exact,False,32,8,0.0,0.16537947999313474,0.0,7200,0,0,0,0.18717093791505135,6046.699385204937,0.8552000000000001,True
adaptive_naf_exact,False,64,8,0.0,0.26004616799764335,0.0,7200,0,0,0,0.12465055154310391,3845.471008859713,0.9332,True
adaptive_naf_exact,False,128,8,0.0,0.44738195394165814,0.0,7200,0,0,0,0.07367061829521998,2235.226502073902,0.9708000000000001,True
adaptive_naf_exact,False,32,9,0.0,0.17039922601543367,0.0,8000,0,0,0,0.21414714567324963,5868.571256945887,0.829,True
adaptive_naf_exact,False,64,9,0.0,0.2565317740663886,0.0,8000,0,0,0,0.15670149967374278,3898.152591971734,0.9092,True
adaptive_naf_exact,False,128,9,0.0,0.44090127595700324,0.0,8000,0,0,0,0.10906493478657564,2268.081438025868,0.9522,True
adaptive_naf_exact,False,32,10,0.0,0.17189801204949617,0.0,8800,0,0,0,0.20010507239947717,5817.402936062233,0.8286000000000001,True
adaptive_naf_exact,False,64,10,0.0,0.25281218788586557,0.0,8800,0,0,0,0.1517740425764564,3955.5055013861097,0.9092,True
adaptive_naf_exact,False,128,10,0.0,0.4504157018382102,0.0,8800,0,0,0,0.09777095683279365,2220.171268272528,0.9578,True
adaptive_naf_exact,False,32,11,0.0,0.16785673797130585,0.0,9600,0,0,0,0.20969921316018333,5957.461178418374,0.8432000000000001,True
adaptive_naf_exact,False,64,11,0.0,0.2530761859379709,0.0,9600,0,0,0,0.1437323902257247,3951.3792903655526,0.919,True
adaptive_naf_exact,False,128,11,0.0,0.4459380619227886,0.0,9600,0,0,0,0.09222927951578067,2242.4638876713416,0.9624000000000001,True
adaptive_naf_exact,False,32,12,0.0,0.16818499006330967,0.0,10400,0,0,0,0.2030077831020279,5945.833808496057,0.8472000000000001,True
adaptive_naf_exact,False,64,12,0.0,0.26142859808169305,0.0,10400,0,0,0,0.15148478471450524,3825.1362220422147,0.9106000000000002,True
adaptive_naf_exact,False,128,12,0.0,0.4400686318986118,0.0,10400,0,0,0,0.09552612208186827,2272.3728244061526,0.9574,True
adaptive_naf_exact,False,32,13,0.0,0.162406493909657,0.0,11200,0,0,0,0.21685193104973724,6157.389251665497,0.8282,True
adaptive_naf_exact,False,64,13,0.0,0.24897443014197052,0.0,11200,0,0,0,0.16099329178571384,4016.4767097961776,0.9046000000000001,True
adaptive_naf_exact,False,128,13,0.0,0.4584226820152253,0.0,11200,0,0,0,0.1103628560703283,2181.3929354542447,0.9502,True
adaptive_naf_exact,False,32,14,0.0,0.17086087609641254,0.0,12000,0,0,0,0.2070265683432926,5852.71492717692,0.83,True
adaptive_naf_exact,False,64,14,0.0,0.25025559216737747,0.0,12000,0,0,0,0.14458921121577503,3995.9147020026385,0.9086000000000001,True
adaptive_naf_exact,False,128,14,0.0,0.4487607521004975,0.0,12000,0,0,0,0.08900696601952006,2228.3588645382597,0.9576000000000001,True
