condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,n_promoted_nodes,n_upper_rewire_edges,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
adaptive_naf,False,32,0,0.0,0.15140220616012812,0.0,800,0,0,0,0.16732435566886253,6604.923569887522,0.8984000000000001,True
adaptive_naf,False,64,0,0.0,0.24709919607266784,0.0,800,0,0,0,0.1144340858311019,4046.9577234315093,0.9522,True
adaptive_naf,False,128,0,0.0,0.43017442198470235,0.0,800,0,0,0,0.07042840336114399,2324.638446391779,0.9772000000000001,True
adaptive_naf,False,32,1,0.0,0.1531624859198928,0.0,1600,0,0,0,0.1484128026822484,6529.013903071677,0.9057999999999999,True
adaptive_naf,False,64,1,0.0,0.24542315397411585,0.0,1600,0,0,0,0.11065965841263022,4074.595179008528,0.9538,True
adaptive_naf,False,128,1,0.0,0.43156549194827676,0.0,1600,0,0,0,0.061919625321863826,2317.145412821492,0.9814,True
adaptive_naf,False,32,2,0.0,0.1445651799440384,0.0,2400,0,0,0,0.15188034764247807,6917.295024895365,0.9106000000000001,True
adaptive_naf,False,64,2,0.0,0.24160951585508883,0.0,2400,0,0,0,0.09775479527879949,4138.909829196356,0.958,True
adaptive_naf,False,128,2,0.0,0.41881760815158486,0.0,2400,0,0,0,0.05425089861006911,2387.6742059948556,0.9822000000000001,True
adaptive_naf,False,32,3,0.0,0.152736698044464,0.0,3200,0,0,0,0.15535494842456743,6547.214996810293,0.8977999999999999,True
adaptive_naf,False,64,3,0.0,0.23769739596173167,0.0,3200,0,0,0,0.10629223866303691,4207.029681389509,0.9514000000000001,True
adaptive_naf,False,128,3,0.0,0.42911698995158076,0.0,3200,0,0,0,0.0623470929554859,2330.366830995982,0.9778000000000001,True
adaptive_naf,False,32,4,0.0,0.1520588540006429,0.0,4000,0,0,0,0.16858422227480246,6576.401003231104,0.9044,True
adaptive_naf,False,64,4,0.0,0.23357122391462326,0.0,4000,0,0,0,0.11123506641342917,4281.349317095362,0.9526000000000001,True
adaptive_naf,False,128,4,0.0,0.4114189001265913,0.0,4000,0,0,0,0.06660330322138686,2430.612691085182,0.978,True
adaptive_naf,False,32,5,0.0,0.14359956001862884,0.0,4800,0,0,0,0.17643537060351588,6963.809637510535,0.8916000000000001,True
adaptive_naf,False,64,5,0.0,0.24166608601808548,0.0,4800,0,0,0,0.11890096719539332,4137.940976646443,0.9484000000000001,True
adaptive_naf,False,128,5,0.0,0.43291445006616414,0.0,4800,0,0,0,0.06907242575731651,2309.925205423764,0.977,True
adaptive_naf,False,32,6,0.0,0.15615503210574389,0.0,5600,0,0,0,0.18040964497498466,6403.892250637351,0.8894,True
adaptive_naf,False,64,6,0.0,0.24792761798016727,0.0,5600,0,0,0,0.11567177702447559,4033.435274968011,0.9498000000000001,True
adaptive_naf,False,128,6,0.0,0.423930651973933,0.0,5600,0,0,0,0.07172698237065323,2358.8763759915355,0.9782000000000001,True
adaptive_naf,False,32,7,0.0,0.1527553079649806,0.0,6400,0,0,0,0.15827507700203466,6546.417360693296,0.907,True
adaptive_naf,False,64,7,0.0,0.2427894079592079,0.0,6400,0,0,0,0.10959470790143107,4118.795825590605,0.957,True
adaptive_naf,False,128,7,0.0,0.4288390821311623,0.0,6400,0,0,0,0.06384355879804947,2331.87701790236,0.982,True
adaptive_naf,False,32,8,0.0,0.15441501210443676,0.0,7200,0,0,0,0.1695877354056006,6476.054279772111,0.9,True
adaptive_naf,False,64,8,0.0,0.23316153604537249,0.0,7200,0,0,0,0.11300884921102418,4288.872071100969,0.953,True
adaptive_naf,False,128,8,0.0,0.428182435920462,0.0,7200,0,0,0,0.046999574466158725,2335.45310622166,0.9848000000000001,True
adaptive_naf,False,32,9,0.0,0.14857294410467148,0.0,8000,0,0,0,0.1663128377486236,6730.7005728814775,0.8998,True
