condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,n_promoted_nodes,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
static,False,32,0,0.0,0.08311501983553171,0.0,0,0,0,0.1664272814174407,12031.519717841655,0.8986000000000002,False
static,False,64,0,0.0,0.13890911801718175,0.0,0,0,0,0.1114147207508954,7198.951474706717,0.9526000000000001,False
static,False,128,0,0.0,0.24723877990618348,0.0,0,0,0,0.07463913182774837,4044.6729286540613,0.977,False
static,False,32,1,0.0,0.07626146404072642,0.0,0,0,0,0.14739063742314165,13112.782616735016,0.906,False
static,False,64,1,0.0,0.12699511600658298,0.0,0,0,0,0.10752841484928531,7874.318567874402,0.9542,False
static,False,128,1,0.0,0.2362737839575857,0.0,0,0,0,0.06677574409918619,4232.378147291675,0.981,False
static,False,32,2,0.0,0.0780109940096736,0.0,0,0,0,0.15347951003309854,12818.706038741117,0.9102,False
static,False,64,2,0.0,0.12985736411064863,0.0,0,0,0,0.09775479527879949,7700.756956285681,0.958,False
static,False,128,2,0.0,0.24010864808224142,0.0,0,0,0,0.05425089861006911,4164.781268759143,0.9822000000000001,False
static,False,32,3,0.0,0.08056105184368789,0.0,0,0,0,0.15484844203284706,12412.946170815816,0.8986000000000002,False
static,False,64,3,0.0,0.13284840201959014,0.0,0,0,0,0.10667239567948215,7527.376955972249,0.951,False
static,False,128,3,0.0,0.24656788003630936,0.0,0,0,0,0.06316043065084341,4055.678297808867,0.9774,False
static,False,32,4,0.0,0.07995734200812876,0.0,0,0,0,0.16858422227480246,12506.668867235936,0.9044,False
static,False,64,4,0.0,0.1315691820345819,0.0,0,0,0,0.11123506641342917,7600.564087547174,0.9526000000000001,False
static,False,128,4,0.0,0.24503206205554307,0.0,0,0,0,0.06660330322138686,4081.098577921298,0.978,False
static,False,32,5,0.0,0.07784435409121215,0.0,0,0,0,0.17643537060351588,12846.146797342237,0.8916000000000001,False
static,False,64,5,0.0,0.12846919195726514,0.0,0,0,0,0.11890096719539332,7783.9673836560505,0.9484000000000001,False
static,False,128,5,0.0,0.23962897597812116,0.0,0,0,0,0.06899391277496877,4173.118029312544,0.9772000000000001,False
static,False,32,6,0.0,0.07953438209369779,0.0,0,0,0,0.18056400527236874,12573.17871435678,0.8892,False
static,False,64,6,0.0,0.13049432006664574,0.0,0,0,0,0.11567177702447559,7663.168783815897,0.9498000000000001,False
static,False,128,6,0.0,0.24146734597161412,0.0,0,0,0,0.07172698237065323,4141.34671492002,0.9782000000000001,False
static,False,32,7,0.0,0.079816262004897,0.0,0,0,0,0.15731547921294967,12528.775150340247,0.9072,False
static,False,64,7,0.0,0.1311424500308931,0.0,0,0,0,0.1064201108813555,7625.29600266299,0.9574,False
static,False,128,7,0.0,0.24532344192266464,0.0,0,0,0,0.06856704747909158,4076.251303840904,0.9816,False
static,False,32,8,0.0,0.07777730608358979,0.0,0,0,0,0.1695877354056006,12857.22083155294,0.9,False
static,False,64,8,0.0,0.1285137499216944,0.0,0,0,0,0.11300884921102418,7781.268546045205,0.953,False
static,False,128,8,0.0,0.23955983202904463,0.0,0,0,0,0.046999574466158725,4174.322512794041,0.9848000000000001,False
static,False,32,9,0.0,0.07914452604018152,0.0,0,0,0,0.16792665065438542,12635.112622852805,0.8992,False
static,False,64,9,0.0,0.12971348990686238,0.0,0,0,0,0.12190159966136621,7709.2983984782595,0.95,False
static,False,128,9,0.0,0.24046917189843953,0.0,0,0,0,0.06904607157543431,4158.53721333703,0.9792000000000001,False
static,False,32,10,0.0,0.07923266408033669,0.0,0,0,0,0.17359942396217795,12621.057383430476,0.8982,False
static,False,64,10,0.0,0.1300295921973884,0.0,0,0,0,0.12139192724394814,7690.557073208175,0.952,False
static,False,128,10,0.0,0.24276570393703878,0.0,0,0,0,0.06572670690061992,4119.197991242411,0.98,False
static,False,32,11,0.0,0.07873399602249265,0.0,0,0,0,0.1624181024393525,12700.993859302163,0.8994000000000001,False
static,False,64,11,0.0,0.12808897392824292,0.0,0,0,0,0.11221835856935353,7807.073234579994,0.9552,False
static,False,128,11,0.0,0.2368839201517403,0.0,0,0,0,0.06526101439603892,4221.476913078067,0.981,False
static,False,32,12,0.0,0.07748592598363757,0.0,0,0,0,0.18178008691823205,12905.569460590385,0.894,False
static,False,64,12,0.0,0.12773222220130265,0.0,0,0,0,0.11887388274974449,7828.87812304734,0.947,False
static,False,128,12,0.0,0.23666727193631232,0.0,0,0,0,0.06271714279206284,4225.34130646126,0.9783999999999999,False
static,False,32,13,0.0,0.09379254817031324,0.0,0,0,0,0.22005962828288156,10661.827826493738,0.7624000000000001,False
static,False,64,13,0.0,0.15936112008057535,0.0,0,0,0,0.17259849362030946,6275.0562966323605,0.8676,False
static,False,128,13,0.0,0.28973712609149516,0.0,0,0,0,0.11226753760548949,3451.4044281788492,0.934,False
static,False,32,14,0.0,0.09223284409381449,0.0,0,0,0,0.21942871279757353,10842.12473143354,0.7652,False
