condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,n_promoted_nodes,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
static,False,32,0,0.0,0.09661495801992714,0.0,0,0,0,0.1664272814174407,10350.364172323574,0.8986000000000002,False
static,False,64,0,0.0,0.13556745601817966,0.0,0,0,0,0.1114147207508954,7376.401603832557,0.9526000000000001,False
static,False,128,0,0.0,0.24431419419124722,0.0,0,0,0,0.07463913182774837,4093.0900609778237,0.977,False
static,False,32,1,0.0,0.08047793805599213,0.0,0,0,0,0.14739063742314165,12425.765671385057,0.906,False
static,False,64,1,0.0,0.14216378796845675,0.0,0,0,0,0.10752841484928531,7034.1400879236535,0.9542,False
static,False,128,1,0.0,0.26809850987046957,0.0,0,0,0,0.06677574409918619,3729.9722422297123,0.981,False
static,False,32,2,0.0,0.07706970209255815,0.0,0,0,0,0.15347951003309854,12975.267489668422,0.9102,False
static,False,64,2,0.0,0.1388991461135447,0.0,0,0,0,0.09775479527879949,7199.468304740611,0.958,False
static,False,128,2,0.0,0.24445415590889752,0.0,0,0,0,0.05425089861006911,4090.7465707912825,0.9822000000000001,False
static,False,32,3,0.0,0.08719816780649126,0.0,0,0,0,0.15484844203284706,11468.130869666707,0.8986000000000002,False
static,False,64,3,0.0,0.15090311993844807,0.0,0,0,0,0.10667239567948215,6626.768223267288,0.951,False
static,False,128,3,0.0,0.2633873240556568,0.0,0,0,0,0.06316043065084341,3796.6899264624003,0.9774,False
static,False,32,4,0.0,0.07884855009615421,0.0,0,0,0,0.16858422227480246,12682.541388275627,0.9044,False
static,False,64,4,0.0,0.13066127384081483,0.0,0,0,0,0.11123506641342917,7653.377091809958,0.9526000000000001,False
static,False,128,4,0.0,0.2419588800985366,0.0,0,0,0,0.06660330322138686,4132.933660433354,0.978,False
static,False,32,5,0.0,0.08482008590362966,0.0,0,0,0,0.17888309031319868,11789.660306830785,0.8922,False
static,False,64,5,0.0,0.14153354614973068,0.0,0,0,0,0.12008263821219119,7065.462762743777,0.9496,False
static,False,128,5,0.0,0.2771709819789976,0.0,0,0,0,0.07870425655579245,3607.8812899532686,0.9758,False
static,False,32,6,0.0,0.08500013593584299,0.0,0,0,0,0.17619035160870755,11764.687067733481,0.8764,False
static,False,64,6,0.0,0.1388376858085394,0.0,0,0,0,0.12359223276565562,7202.6553466111845,0.9364,False
static,False,128,6,0.0,0.259053556015715,0.0,0,0,0,0.07931809377437156,3860.2056477438855,0.9692000000000001,False
static,False,32,7,0.0,0.08639192604459822,0.0,0,0,0,0.20212867188996222,11575.155755686807,0.852,False
static,False,64,7,0.0,0.15010539605282247,0.0,0,0,0,0.1430490824856979,6661.985686697748,0.9264000000000001,False
static,False,128,7,0.0,0.2936734058894217,0.0,0,0,0,0.08944808550215035,3405.143196304724,0.9648,False
static,False,32,8,0.0,0.0896005560643971,0.0,0,0,0,0.18717093791505135,11160.645021904627,0.8552000000000001,False
static,False,64,8,0.0,0.14261887199245393,0.0,0,0,0,0.12465055154310391,7011.694778043895,0.9332,False
static,False,128,8,0.0,0.26794248609803617,0.0,0,0,0,0.07367061829521998,3732.1442170769246,0.9708000000000001,False
static,False,32,9,0.0,0.096046312013641,0.0,0,0,0,0.21414714567324963,10411.643914635419,0.829,False
static,False,64,9,0.0,0.15393854398280382,0.0,0,0,0,0.15670149967374278,6496.098859501413,0.9092,False
static,False,128,9,0.0,0.2813855998683721,0.0,0,0,0,0.11070682002478438,3553.8421314658067,0.9520000000000001,False
static,False,32,10,0.0,0.08536805817857385,0.0,0,0,0,0.19960470936328129,11713.983207960393,0.8286000000000001,False
static,False,64,10,0.0,0.14967014803551137,0.0,0,0,0,0.1496256662474724,6681.3590627486765,0.9096000000000001,False
static,False,128,10,0.0,0.26688271993771195,0.0,0,0,0,0.10082281487837959,3746.9642104718923,0.9574000000000001,False
static,False,32,11,0.0,0.09247618610970676,0.0,0,0,0,0.20969921316018333,10813.594743339389,0.8432000000000001,False
static,False,64,11,0.0,0.16396210808306932,0.0,0,0,0,0.1437323902257247,6098.970132131764,0.919,False
static,False,128,11,0.0,0.2922549380455166,0.0,0,0,0,0.09222927951578067,3421.6701578683237,0.9624000000000001,False
static,False,32,12,0.0,0.08438972802832723,0.0,0,0,0,0.20290638235403044,11849.783419900685,0.847,False
static,False,64,12,0.0,0.14643874997273088,0.0,0,0,0,0.15148478471450524,6828.793609520808,0.9106000000000002,False
static,False,128,12,0.0,0.262048474047333,0.0,0,0,0,0.09552612208186827,3816.087857925756,0.9574,False
static,False,32,13,0.0,0.0893498258665204,0.0,0,0,0,0.21660618643058194,11191.9636138284,0.8276,False
static,False,64,13,0.0,0.16445783991366625,0.0,0,0,0,0.16093675776527872,6080.58576304395,0.9044,False
static,False,128,13,0.0,0.28283507796004415,0.0,0,0,0,0.1103628560703283,3535.6293399408864,0.9502,False
