condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,n_promoted_nodes,n_upper_rewire_edges,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
adaptive_mconj48_rewire,False,32,0,0.5954839972224422,0.10590883786790073,0.00027959607735411753,0,0,0,0,0.1664272814174407,9442.08264514518,0.8986000000000002,False
adaptive_mconj48_rewire,False,64,0,0.5954839972224422,0.16715176799334586,0.00027959607735411753,0,0,0,0,0.1114147207508954,5982.58703455538,0.9526000000000001,False
adaptive_mconj48_rewire,False,128,0,0.5954839972224422,0.27886298787780106,0.00027959607735411753,0,0,0,0,0.07463913182774837,3585.9904091618077,0.977,False
adaptive_mconj48_rewire,False,32,1,0.5919658342619039,0.09377160598523915,0.00031406373374130844,0,0,0,0,0.14739063742314165,10664.2089520938,0.906,False
adaptive_mconj48_rewire,False,64,1,0.5919658342619039,0.14749839785508811,0.00031406373374130844,0,0,0,0,0.10752841484928531,6779.734658422963,0.9542,False
adaptive_mconj48_rewire,False,128,1,0.5919658342619039,0.26603307388722897,0.00031406373374130844,0,0,0,0,0.06677574409918619,3758.9311185567044,0.981,False
adaptive_mconj48_rewire,False,32,2,0.5862687668883634,0.09714673785492778,0.0013022250239861123,0,0,0,0,0.15347951003309854,10293.706428859514,0.9102,False
adaptive_mconj48_rewire,False,64,2,0.5862687668883634,0.14603299601003528,0.0013022250239861123,0,0,0,0,0.09775479527879949,6847.76747257367,0.958,False
adaptive_mconj48_rewire,False,128,2,0.5862687668883634,0.2590440958738327,0.0013022250239861123,0,0,0,0,0.05425089861006911,3860.3466202412483,0.9822000000000001,False
adaptive_mconj48_rewire,False,32,3,0.5917926345685801,0.09690452995710075,0.0010949921691276246,0,0,0,0,0.15484844203284706,10319.435019629072,0.8986000000000002,False
adaptive_mconj48_rewire,False,64,3,0.5917926345685801,0.15796112408861518,0.0010949921691276246,0,0,0,0,0.10667239567948215,6330.671586250592,0.951,False
adaptive_mconj48_rewire,False,128,3,0.5917926345685801,0.27629298181273043,0.0010949921691276246,0,0,0,0,0.06316043065084341,3619.3463671755276,0.9774,False
adaptive_mconj48_rewire,False,32,4,0.5920054660917301,0.09613152989186347,0.0004775088225885858,0,0,0,0,0.16858422227480246,10402.414287225856,0.9044,False
adaptive_mconj48_rewire,False,64,4,0.5920054660917301,0.1568027399480343,0.0004775088225885858,0,0,0,0,0.11123506641342917,6377.43958001887,0.9526000000000001,False
adaptive_mconj48_rewire,False,128,4,0.5920054660917301,0.27187135396525264,0.0004775088225885858,0,0,0,0,0.06660330322138686,3678.210246923654,0.978,False
adaptive_mconj48_rewire,False,32,5,0.578041493304489,0.09569809795357287,0.0012358905823587453,0,0,0,0,0.17643537060351588,10449.528479501669,0.8916000000000001,False
adaptive_mconj48_rewire,False,64,5,0.578041493304489,0.14947028597816825,0.0012358905823587453,0,0,0,0,0.11890096719539332,6690.292946559698,0.9484000000000001,False
adaptive_mconj48_rewire,False,128,5,0.578041493304489,0.258700615959242,0.0012358905823587453,0,0,0,0,0.06899391277496877,3865.472048808531,0.9772000000000001,False
adaptive_mconj48_rewire,False,32,6,0.5929944374416505,0.09302500798366964,0.0008034093813511875,0,0,0,0,0.18056400527236874,10749.79751870108,0.8892,False
adaptive_mconj48_rewire,False,64,6,0.5929944374416505,0.15062391594983637,0.0008034093813511875,0,0,0,0,0.11567177702447559,6639.051930724195,0.9498000000000001,False
adaptive_mconj48_rewire,False,128,6,0.5929944374416505,0.2811122820712626,0.0008034093813511875,0,0,0,0,0.07172698237065323,3557.2974351454973,0.9782000000000001,False
adaptive_mconj48_rewire,False,32,7,0.5876373204320627,0.09896092605777085,0.0007058250111559168,0,0,0,0,0.15731547921294967,10104.99840529206,0.9072,False
adaptive_mconj48_rewire,False,64,7,0.5876373204320627,0.15650955005548894,0.0007058250111559168,0,0,0,0,0.1064201108813555,6389.38646009435,0.9574,False
adaptive_mconj48_rewire,False,128,7,0.5876373204320627,0.27827925607562065,0.0007058250111559168,0,0,0,0,0.06856704747909158,3593.5125531895783,0.9816,False
adaptive_mconj48_rewire,False,32,8,0.5887337191501947,0.09399872808717191,0.0014951380556719632,0,0,0,0,0.1695877354056006,10638.441820964073,0.9,False
adaptive_mconj48_rewire,False,64,8,0.5887337191501947,0.14430778590030968,0.0014951380556719632,0,0,0,0,0.11300884921102418,6929.633032349462,0.953,False
adaptive_mconj48_rewire,False,128,8,0.5887337191501947,0.27810982381924987,0.0014951380556719632,0,0,0,0,0.046999574466158725,3595.701821198246,0.9848000000000001,False
adaptive_mconj48_rewire,False,32,9,0.5990125398007032,0.09663578402251005,0.0007380042693161917,0,0,0,0,0.16792665065438542,10348.133562687948,0.8992,False
adaptive_mconj48_rewire,False,64,9,0.5990125398007032,0.1518758840393275,0.0007380042693161917,0,0,0,0,0.12190159966136621,6584.323813654674,0.95,False
adaptive_mconj48_rewire,False,128,9,0.5990125398007032,0.2653952881228179,0.0007380042693161917,0,0,0,0,0.06904607157543431,3767.96440913912,0.9792000000000001,False
adaptive_mconj48_rewire,False,32,10,0.5753078610680732,0.09761984180659056,0.0016323354089034358,0,0,0,0,0.17359942396217795,10243.819099617589,0.8982,False
adaptive_mconj48_rewire,False,64,10,0.5753078610680732,0.15622683218680322,0.0016323354089034358,0,0,0,0,0.12139192724394814,6400.949094354561,0.952,False
adaptive_mconj48_rewire,False,128,10,0.5753078610680732,0.27060918998904526,0.0016323354089034358,0,0,0,0,0.06572670690061992,3695.3660000995596,0.98,False
adaptive_mconj48_rewire,False,32,11,0.5738668697122278,0.09355775592848659,0.0011969198200034756,0,0,0,0,0.1624181024393525,10688.584715139781,0.8994000000000001,False
adaptive_mconj48_rewire,False,64,11,0.5738668697122278,0.14636404206976295,0.0011969198200034756,0,0,0,0,0.11221835856935353,6832.279198215639,0.9552,False
adaptive_mconj48_rewire,False,128,11,0.5738668697122278,0.2645341479219496,0.0011969198200034756,0,0,0,0,0.06526101439603892,3780.230294861775,0.981,False
adaptive_mconj48_rewire,False,32,12,0.5820563397359008,0.09654024010524154,0.0013282865475121594,0,0,0,0,0.18178008691823205,10358.374900558241,0.894,False
adaptive_mconj48_rewire,False,64,12,0.5820563397359008,0.14485575607977808,0.0013282865475121594,0,0,0,0,0.11887388274974449,6903.419146487065,0.947,False
adaptive_mconj48_rewire,False,128,12,0.5820563397359008,0.2573757360223681,0.0013282865475121594,0,0,0,0,0.06271714279206284,3885.37014193557,0.9783999999999999,False
adaptive_mconj48_rewire,True,32,13,0.7259554451572557,0.11845784983597696,0.11859409729162969,17004,0,0,19,0.22005962828288156,8441.821300864849,0.7624000000000001,True
adaptive_mconj48_rewire,True,64,13,0.7259554451572557,0.17774202185682952,0.11859409729162969,17004,0,0,19,0.17259849362030946,5626.131567275047,0.8676,True
adaptive_mconj48_rewire,True,128,13,0.7259554451572557,0.31110392208211124,0.11859409729162969,17004,0,0,19,0.11226753760548949,3214.3599904088155,0.934,True
adaptive_mconj48_rewire,True,32,14,0.7216551019583975,0.12869973992928863,0.11275277091412915,28306,0,0,0,0.21529105880179977,7770.023471293952,0.7676000000000001,True
adaptive_mconj48_rewire,True,64,14,0.7216551019583975,0.1929810259025544,0.11275277091412915,28306,0,0,0,0.1663272677584767,5181.85658576066,0.8717999999999999,True
adaptive_mconj48_rewire,True,128,14,0.7216551019583975,0.32324785785749555,0.11275277091412915,28306,0,0,0,0.1158923638554327,3093.6013207575593,0.9335999999999999,True
adaptive_mconj48_rewire,True,32,15,0.7220514099103044,0.13908089394681156,0.11092450633974615,33411,0,0,0,0.21650274825045523,7190.060198940252,0.7716000000000001,True
adaptive_mconj48_rewire,True,64,15,0.7220514099103044,0.20276699401438236,0.11092450633974615,33411,0,0,0,0.15935005491056475,4931.769121798341,0.8766,True
adaptive_mconj48_rewire,True,128,15,0.7220514099103044,0.3414722818415612,0.11092450633974615,33411,0,0,0,0.1095216873500404,2928.4953806704207,0.935,True
adaptive_mconj48_rewire,True,32,16,0.7131711731847069,0.1282086200080812,0.0952408912280015,38895,0,0,0,0.2116104912333035,7799.787564494247,0.789,True
adaptive_mconj48_rewire,True,64,16,0.7131711731847069,0.20383527991361916,0.0952408912280015,38895,0,0,0,0.16563224323784304,4905.922077982662,0.8814,True
adaptive_mconj48_rewire,True,128,16,0.7131711731847069,0.33034369186498225,0.0952408912280015,38895,0,0,0,0.1113155874080535,3027.150282042374,0.9378,True
adaptive_mconj48_rewire,True,32,17,0.7134741027134187,0.13756311009638011,0.10150420438230073,43119,0,0,0,0.20905654737414947,7269.390749448564,0.7744,True
adaptive_mconj48_rewire,True,64,17,0.7134741027134187,0.21097930590622127,0.10150420438230073,43119,0,0,0,0.1610390014872174,4739.801354946596,0.8762000000000001,True
adaptive_mconj48_rewire,True,128,17,0.7134741027134187,0.3446336998604238,0.10150420438230073,43119,0,0,0,0.10161417223989969,2901.631501518855,0.9384000000000001,True
adaptive_mconj48_rewire,True,32,18,0.7147853896892794,0.13433729810640216,0.09767770219560779,47479,0,0,0,0.21143500183271458,7443.949030506388,0.7782,True
