condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
periodic_rebuild,False,32,0,0.0,0.07928870606701821,0.0,0,0,0.1664272814174407,12612.136703993594,0.8986000000000002,False
periodic_rebuild,False,64,0,0.0,0.13279772794339806,0.0,0,0,0.1114147207508954,7530.249315908678,0.9526000000000001,False
periodic_rebuild,False,128,0,0.0,0.23882237391080707,0.0,0,0,0.07463913182774837,4187.212377235098,0.977,False
periodic_rebuild,False,32,1,0.0,0.07471260009333491,0.0,0,0,0.14739063742314165,13384.623192751254,0.906,False
periodic_rebuild,False,64,1,0.0,0.12824896397069097,0.0,0,0,0.10752841484928531,7797.333943598424,0.9542,False
periodic_rebuild,False,128,1,0.0,0.23600443208124489,0.0,0,0,0.06677574409918619,4237.208560794098,0.981,False
periodic_rebuild,False,32,2,0.0,0.07872992404736578,0.0,0,0,0.15347951003309854,12701.650764941376,0.9102,False
periodic_rebuild,False,64,2,0.0,0.13152454607188702,0.0,0,0,0.09775479527879949,7603.143518575101,0.958,False
periodic_rebuild,False,128,2,0.0,0.24262307805474848,0.0,0,0,0.05425089861006911,4121.619460183205,0.9822000000000001,False
periodic_rebuild,False,32,3,0.0,0.0795756239676848,0.0,0,0,0.15484844203284706,12566.662378998048,0.8986000000000002,False
periodic_rebuild,False,64,3,0.0,0.13149892806541175,0.0,0,0,0.10667239567948215,7604.62472745457,0.951,False
periodic_rebuild,False,128,3,0.0,0.24283045600168407,0.0,0,0,0.06316043065084341,4118.099584646272,0.9774,False
periodic_rebuild,False,32,4,0.0,0.07762652391102165,0.0,0,0,0.16858422227480246,12882.194765622076,0.9044,False
periodic_rebuild,False,64,4,0.0,0.1283432039199397,0.0,0,0,0.11123506641342917,7791.608511065366,0.9526000000000001,False
periodic_rebuild,False,128,4,0.0,0.2348800499457866,0.0,0,0,0.06660330322138686,4257.492282681365,0.978,False
periodic_rebuild,False,32,5,0.0,0.08059164590667933,0.0,0,1,0.15999799998749983,12408.233989388238,0.8992,False
periodic_rebuild,False,64,5,0.0,0.1430246039526537,0.0,0,1,0.11772782169054179,6991.804013881668,0.9496000000000001,False
periodic_rebuild,False,128,5,0.0,0.2618786219973117,0.0,0,1,0.0659487679945577,3818.5629371849427,0.9773999999999999,False
periodic_rebuild,False,32,6,0.0,0.08403652196284384,0.0,0,1,0.1630188946104101,11899.58813909675,0.8977999999999999,False
periodic_rebuild,False,64,6,0.0,0.1388107860693708,0.0,0,1,0.10683744661868327,7204.05112827651,0.9524000000000001,False
periodic_rebuild,False,128,6,0.0,0.2611644220305607,0.0,0,1,0.07031244555553447,3829.005467992049,0.9796,False
