condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,n_promoted_nodes,n_upper_rewire_edges,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
adaptive_mconj48_promote,False,32,0,0.5954839972224422,0.10752344597131014,0.00027959607735411753,0,0,0,0,0.1664272814174407,9300.297167436618,0.8986000000000002,False
adaptive_mconj48_promote,False,64,0,0.5954839972224422,0.1709173759445548,0.00027959607735411753,0,0,0,0,0.1114147207508954,5850.780205778479,0.9526000000000001,False
adaptive_mconj48_promote,False,128,0,0.5954839972224422,0.2828484959900379,0.00027959607735411753,0,0,0,0,0.07463913182774837,3535.461613468224,0.977,False
adaptive_mconj48_promote,False,32,1,0.5919658342619039,0.09578245994634926,0.00031406373374130844,0,0,0,0,0.14739063742314165,10440.32488370137,0.906,False
adaptive_mconj48_promote,False,64,1,0.5919658342619039,0.15138798812404275,0.00031406373374130844,0,0,0,0,0.10752841484928531,6605.543890183878,0.9542,False
adaptive_mconj48_promote,False,128,1,0.5919658342619039,0.26286290399730206,0.00031406373374130844,0,0,0,0,0.06677574409918619,3804.2644465735025,0.981,False
adaptive_mconj48_promote,False,32,2,0.5862687668883634,0.09338272013701499,0.0013022250239861123,0,0,0,0,0.15347951003309854,10708.619309147974,0.9102,False
adaptive_mconj48_promote,False,64,2,0.5862687668883634,0.15152040589600801,0.0013022250239861123,0,0,0,0,0.09775479527879949,6599.771127106954,0.958,False
adaptive_mconj48_promote,False,128,2,0.5862687668883634,0.26769814593717456,0.0013022250239861123,0,0,0,0,0.05425089861006911,3735.550713282443,0.9822000000000001,False
adaptive_mconj48_promote,False,32,3,0.5917926345685801,0.09821348800323904,0.0010949921691276246,0,0,0,0,0.15484844203284706,10181.900880732599,0.8986000000000002,False
adaptive_mconj48_promote,False,64,3,0.5917926345685801,0.15847630193457007,0.0010949921691276246,0,0,0,0,0.10667239567948215,6310.091715876036,0.951,False
adaptive_mconj48_promote,False,128,3,0.5917926345685801,0.27712375996634364,0.0010949921691276246,0,0,0,0,0.06316043065084341,3608.496074538859,0.9774,False
adaptive_mconj48_promote,False,32,4,0.5920054660917301,0.09310852410271764,0.0004775088225885858,0,0,0,0,0.16858422227480246,10740.155207452292,0.9044,False
adaptive_mconj48_promote,False,64,4,0.5920054660917301,0.15683629200793803,0.0004775088225885858,0,0,0,0,0.11123506641342917,6376.07525144363,0.9526000000000001,False
adaptive_mconj48_promote,False,128,4,0.5920054660917301,0.29270531004294753,0.0004775088225885858,0,0,0,0,0.06660330322138686,3416.4053937158633,0.978,False
adaptive_mconj48_promote,False,32,5,0.578041493304489,0.09484197990968823,0.0012358905823587453,0,0,0,0,0.17643537060351588,10543.854113465726,0.8916000000000001,False
adaptive_mconj48_promote,False,64,5,0.578041493304489,0.15011059399694204,0.0012358905823587453,0,0,0,0,0.11890096719539332,6661.754999253227,0.9484000000000001,False
adaptive_mconj48_promote,False,128,5,0.578041493304489,0.26098264404572546,0.0012358905823587453,0,0,0,0,0.06899391277496877,3831.6724227255318,0.9772000000000001,False
adaptive_mconj48_promote,False,32,6,0.5929944374416505,0.09436594205908477,0.0008034093813511875,0,0,0,0,0.18056400527236874,10597.043575041895,0.8892,False
adaptive_mconj48_promote,False,64,6,0.5929944374416505,0.15077115199528635,0.0008034093813511875,0,0,0,0,0.11567177702447559,6632.56854355841,0.9498000000000001,False
adaptive_mconj48_promote,False,128,6,0.5929944374416505,0.26682764384895563,0.0008034093813511875,0,0,0,0,0.07172698237065323,3747.737624089934,0.9782000000000001,False
adaptive_mconj48_promote,False,32,7,0.5876373204320627,0.09922590386122465,0.0007058250111559168,0,0,0,0,0.15731547921294967,10078.013513473054,0.9072,False
adaptive_mconj48_promote,False,64,7,0.5876373204320627,0.16358964797109365,0.0007058250111559168,0,0,0,0,0.1064201108813555,6112.856237557894,0.9574,False
adaptive_mconj48_promote,False,128,7,0.5876373204320627,0.27454899810254574,0.0007058250111559168,0,0,0,0,0.06856704747909158,3642.3370943298573,0.9816,False
