recall,mean_query_time_ms,ef_search,n_queries,epoch,t,data,drift,eval,index,output,schedule_used
0.9994000000000001,0.22234557004412636,256,500,1,0.0,"{'base_path': '/scratch/easchman/thesis/data/sift/sift_learn.fvecs', 'n_base': 5000000, 'n_queries_pool': 10000, 'query_path': '/scratch/easchman/thesis/data/sift/sift_query.fvecs'}","{'epoch_size': 500, 'n_epochs': 25, 'schedule_gradual': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.375, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.625, 0.75, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'schedule_sudden': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'seed': 42}","{'ef_search': [16, 32, 64, 128, 256, 512], 'k': 10, 'k_groundtruth': 100}","{'M': 16, 'ef_construction': 200, 'seed': 1234}","{'dataset_gradual_path': 'experiments/01_drift_baseline/dataset_gradual', 'dataset_sudden_path': 'experiments/01_drift_baseline/dataset_sudden', 'index_path': 'experiments/01_drift_baseline/index.bin', 'results_gradual': 'experiments/01_drift_baseline/results_gradual.csv', 'results_sudden': 'experiments/01_drift_baseline/results_sudden.csv'}",schedule_sudden
0.9996,0.4083950200001709,512,500,1,0.0,"{'base_path': '/scratch/easchman/thesis/data/sift/sift_learn.fvecs', 'n_base': 5000000, 'n_queries_pool': 10000, 'query_path': '/scratch/easchman/thesis/data/sift/sift_query.fvecs'}","{'epoch_size': 500, 'n_epochs': 25, 'schedule_gradual': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.375, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.625, 0.75, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'schedule_sudden': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'seed': 42}","{'ef_search': [16, 32, 64, 128, 256, 512], 'k': 10, 'k_groundtruth': 100}","{'M': 16, 'ef_construction': 200, 'seed': 1234}","{'dataset_gradual_path': 'experiments/01_drift_baseline/dataset_gradual', 'dataset_sudden_path': 'experiments/01_drift_baseline/dataset_sudden', 'index_path': 'experiments/01_drift_baseline/index.bin', 'results_gradual': 'experiments/01_drift_baseline/results_gradual.csv', 'results_sudden': 'experiments/01_drift_baseline/results_sudden.csv'}",schedule_sudden
0.9572,0.024579978198744357,16,500,2,0.0,"{'base_path': '/scratch/easchman/thesis/data/sift/sift_learn.fvecs', 'n_base': 5000000, 'n_queries_pool': 10000, 'query_path': '/scratch/easchman/thesis/data/sift/sift_query.fvecs'}","{'epoch_size': 500, 'n_epochs': 25, 'schedule_gradual': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.375, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.625, 0.75, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'schedule_sudden': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'seed': 42}","{'ef_search': [16, 32, 64, 128, 256, 512], 'k': 10, 'k_groundtruth': 100}","{'M': 16, 'ef_construction': 200, 'seed': 1234}","{'dataset_gradual_path': 'experiments/01_drift_baseline/dataset_gradual', 'dataset_sudden_path': 'experiments/01_drift_baseline/dataset_sudden', 'index_path': 'experiments/01_drift_baseline/index.bin', 'results_gradual': 'experiments/01_drift_baseline/results_gradual.csv', 'results_sudden': 'experiments/01_drift_baseline/results_sudden.csv'}",schedule_sudden
0.983,0.03866864199517295,32,500,2,0.0,"{'base_path': '/scratch/easchman/thesis/data/sift/sift_learn.fvecs', 'n_base': 5000000, 'n_queries_pool': 10000, 'query_path': '/scratch/easchman/thesis/data/sift/sift_query.fvecs'}","{'epoch_size': 500, 'n_epochs': 25, 'schedule_gradual': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.375, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.625, 0.75, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'schedule_sudden': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'seed': 42}","{'ef_search': [16, 32, 64, 128, 256, 512], 'k': 10, 'k_groundtruth': 100}","{'M': 16, 'ef_construction': 200, 'seed': 1234}","{'dataset_gradual_path': 'experiments/01_drift_baseline/dataset_gradual', 'dataset_sudden_path': 'experiments/01_drift_baseline/dataset_sudden', 'index_path': 'experiments/01_drift_baseline/index.bin', 'results_gradual': 'experiments/01_drift_baseline/results_gradual.csv', 'results_sudden': 'experiments/01_drift_baseline/results_sudden.csv'}",schedule_sudden
0.9967999999999999,0.06616698752623051,64,500,2,0.0,"{'base_path': '/scratch/easchman/thesis/data/sift/sift_learn.fvecs', 'n_base': 5000000, 'n_queries_pool': 10000, 'query_path': '/scratch/easchman/thesis/data/sift/sift_query.fvecs'}","{'epoch_size': 500, 'n_epochs': 25, 'schedule_gradual': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.375, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.625, 0.75, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'schedule_sudden': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'seed': 42}","{'ef_search': [16, 32, 64, 128, 256, 512], 'k': 10, 'k_groundtruth': 100}","{'M': 16, 'ef_construction': 200, 'seed': 1234}","{'dataset_gradual_path': 'experiments/01_drift_baseline/dataset_gradual', 'dataset_sudden_path': 'experiments/01_drift_baseline/dataset_sudden', 'index_path': 'experiments/01_drift_baseline/index.bin', 'results_gradual': 'experiments/01_drift_baseline/results_gradual.csv', 'results_sudden': 'experiments/01_drift_baseline/results_sudden.csv'}",schedule_sudden
0.9994,0.11914430349133909,128,500,2,0.0,"{'base_path': '/scratch/easchman/thesis/data/sift/sift_learn.fvecs', 'n_base': 5000000, 'n_queries_pool': 10000, 'query_path': '/scratch/easchman/thesis/data/sift/sift_query.fvecs'}","{'epoch_size': 500, 'n_epochs': 25, 'schedule_gradual': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.375, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.625, 0.75, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'schedule_sudden': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'seed': 42}","{'ef_search': [16, 32, 64, 128, 256, 512], 'k': 10, 'k_groundtruth': 100}","{'M': 16, 'ef_construction': 200, 'seed': 1234}","{'dataset_gradual_path': 'experiments/01_drift_baseline/dataset_gradual', 'dataset_sudden_path': 'experiments/01_drift_baseline/dataset_sudden', 'index_path': 'experiments/01_drift_baseline/index.bin', 'results_gradual': 'experiments/01_drift_baseline/results_gradual.csv', 'results_sudden': 'experiments/01_drift_baseline/results_sudden.csv'}",schedule_sudden
1.0,0.21781246428145096,256,500,2,0.0,"{'base_path': '/scratch/easchman/thesis/data/sift/sift_learn.fvecs', 'n_base': 5000000, 'n_queries_pool': 10000, 'query_path': '/scratch/easchman/thesis/data/sift/sift_query.fvecs'}","{'epoch_size': 500, 'n_epochs': 25, 'schedule_gradual': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.375, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.625, 0.75, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'schedule_sudden': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'seed': 42}","{'ef_search': [16, 32, 64, 128, 256, 512], 'k': 10, 'k_groundtruth': 100}","{'M': 16, 'ef_construction': 200, 'seed': 1234}","{'dataset_gradual_path': 'experiments/01_drift_baseline/dataset_gradual', 'dataset_sudden_path': 'experiments/01_drift_baseline/dataset_sudden', 'index_path': 'experiments/01_drift_baseline/index.bin', 'results_gradual': 'experiments/01_drift_baseline/results_gradual.csv', 'results_sudden': 'experiments/01_drift_baseline/results_sudden.csv'}",schedule_sudden
1.0,0.40165851690107957,512,500,2,0.0,"{'base_path': '/scratch/easchman/thesis/data/sift/sift_learn.fvecs', 'n_base': 5000000, 'n_queries_pool': 10000, 'query_path': '/scratch/easchman/thesis/data/sift/sift_query.fvecs'}","{'epoch_size': 500, 'n_epochs': 25, 'schedule_gradual': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.375, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.625, 0.75, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'schedule_sudden': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'seed': 42}","{'ef_search': [16, 32, 64, 128, 256, 512], 'k': 10, 'k_groundtruth': 100}","{'M': 16, 'ef_construction': 200, 'seed': 1234}","{'dataset_gradual_path': 'experiments/01_drift_baseline/dataset_gradual', 'dataset_sudden_path': 'experiments/01_drift_baseline/dataset_sudden', 'index_path': 'experiments/01_drift_baseline/index.bin', 'results_gradual': 'experiments/01_drift_baseline/results_gradual.csv', 'results_sudden': 'experiments/01_drift_baseline/results_sudden.csv'}",schedule_sudden
0.9582,0.025898390565998852,16,500,3,0.0,"{'base_path': '/scratch/easchman/thesis/data/sift/sift_learn.fvecs', 'n_base': 5000000, 'n_queries_pool': 10000, 'query_path': '/scratch/easchman/thesis/data/sift/sift_query.fvecs'}","{'epoch_size': 500, 'n_epochs': 25, 'schedule_gradual': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.375, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.625, 0.75, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'schedule_sudden': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'seed': 42}","{'ef_search': [16, 32, 64, 128, 256, 512], 'k': 10, 'k_groundtruth': 100}","{'M': 16, 'ef_construction': 200, 'seed': 1234}","{'dataset_gradual_path': 'experiments/01_drift_baseline/dataset_gradual', 'dataset_sudden_path': 'experiments/01_drift_baseline/dataset_sudden', 'index_path': 'experiments/01_drift_baseline/index.bin', 'results_gradual': 'experiments/01_drift_baseline/results_gradual.csv', 'results_sudden': 'experiments/01_drift_baseline/results_sudden.csv'}",schedule_sudden
0.9832000000000001,0.039921871677506715,32,500,3,0.0,"{'base_path': '/scratch/easchman/thesis/data/sift/sift_learn.fvecs', 'n_base': 5000000, 'n_queries_pool': 10000, 'query_path': '/scratch/easchman/thesis/data/sift/sift_query.fvecs'}","{'epoch_size': 500, 'n_epochs': 25, 'schedule_gradual': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.375, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.625, 0.75, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'schedule_sudden': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'seed': 42}","{'ef_search': [16, 32, 64, 128, 256, 512], 'k': 10, 'k_groundtruth': 100}","{'M': 16, 'ef_construction': 200, 'seed': 1234}","{'dataset_gradual_path': 'experiments/01_drift_baseline/dataset_gradual', 'dataset_sudden_path': 'experiments/01_drift_baseline/dataset_sudden', 'index_path': 'experiments/01_drift_baseline/index.bin', 'results_gradual': 'experiments/01_drift_baseline/results_gradual.csv', 'results_sudden': 'experiments/01_drift_baseline/results_sudden.csv'}",schedule_sudden
