condition,epoch,ef,recall,edge_count,drift_detected,mmd_squared,mean_eh,repair_count,mean_latency_ms
static,0,32,0.8252,0,False,0.0,0.0,0,0.0906436238437891
static,0,64,0.9062,0,False,0.0,0.0,0,0.15280085615813732
static,0,128,0.9576000000000001,0,False,0.0,0.0,0,0.2761473199352622
static,1,32,0.8125999999999999,0,False,0.0,0.0,0,0.09149736212566495
static,1,64,0.8972,0,False,0.0,0.0,0,0.1535531838890165
static,1,128,0.9536,0,False,0.0,0.0,0,0.28302653413265944
static,2,32,0.8218,0,False,0.0,0.0,0,0.08773306384682655
static,2,64,0.9047999999999999,0,False,0.0,0.0,0,0.14923071395605803
static,2,128,0.952,0,False,0.0,0.0,0,0.27591265412047505
static,3,32,0.8132,0,False,0.0,0.0,0,0.0913571200799197
static,3,64,0.8974000000000001,0,False,0.0,0.0,0,0.15871276799589396
static,3,128,0.9522,0,False,0.0,0.0,0,0.2844619080424309
static,4,32,0.8072,0,False,0.0,0.0,0,0.08905110601335764
static,4,64,0.8972,0,False,0.0,0.0,0,0.15029341797344387
static,4,128,0.9542,0,False,0.0,0.0,0,0.27736702584661543
static,5,32,0.8146000000000001,0,False,0.0,0.0,0,0.09161623194813728
static,5,64,0.9032,0,False,0.0,0.0,0,0.15821522194892168
static,5,128,0.9568,0,False,0.0,0.0,0,0.28750419011339545
static,6,32,0.8258,0,False,0.0,0.0,0,0.08786352607421577
static,6,64,0.907,0,False,0.0,0.0,0,0.14902635989710689
static,6,128,0.9566,0,False,0.0,0.0,0,0.27500723395496607
static,7,32,0.8284000000000001,0,False,0.0,0.0,0,0.08879464794881642
static,7,64,0.9054,0,False,0.0,0.0,0,0.1546204979531467
static,7,128,0.953,0,False,0.0,0.0,0,0.2769127779174596
static,8,32,0.823,0,False,0.0,0.0,0,0.08896115003153682
static,8,64,0.9068,0,False,0.0,0.0,0,0.14760299609042704
static,8,128,0.9522,0,False,0.0,0.0,0,0.27413952606730163
static,9,32,0.817,0,False,0.0,0.0,0,0.0893178980331868
static,9,64,0.908,0,False,0.0,0.0,0,0.1540156719274819
static,9,128,0.9586,0,False,0.0,0.0,0,0.2783755320124328
static,10,32,0.8084000000000001,0,False,0.0,0.0,0,0.08882872993126512
static,10,64,0.9026000000000001,0,False,0.0,0.0,0,0.151371065992862
static,10,128,0.9554,0,False,0.0,0.0,0,0.2766535298433155
static,11,32,0.8373999999999999,0,False,0.0,0.0,0,0.09152460005134344
static,11,64,0.9122,0,False,0.0,0.0,0,0.15391174796968699
static,11,128,0.9562,0,False,0.0,0.0,0,0.28023610007949173
static,12,32,0.8208,0,False,0.0,0.0,0,0.08750887215137482
static,12,64,0.9047999999999999,0,False,0.0,0.0,0,0.14889114606194198
static,12,128,0.9542,0,False,0.0,0.0,0,0.2762656300328672
static,13,32,0.22,0,False,0.0,0.0,0,0.10786687000654638
static,13,64,0.3092,0,False,0.0,0.0,0,0.1773113301023841
static,13,128,0.43539999999999995,0,False,0.0,0.0,0,0.32175764394924045
static,14,32,0.2026,0,False,0.0,0.0,0,0.10307157807983458
static,14,64,0.311,0,False,0.0,0.0,0,0.17780133406631649
static,14,128,0.44060000000000005,0,False,0.0,0.0,0,0.3176265419460833
static,15,32,0.2082,0,False,0.0,0.0,0,0.10575124202296138
static,15,64,0.312,0,False,0.0,0.0,0,0.18067138805054128
static,15,128,0.442,0,False,0.0,0.0,0,0.32290094601921737
static,16,32,0.20440000000000003,0,False,0.0,0.0,0,0.1062432040926069
static,16,64,0.309,0,False,0.0,0.0,0,0.17871359991841018
static,16,128,0.42860000000000004,0,False,0.0,0.0,0,0.3167142760939896
static,17,32,0.2154,0,False,0.0,0.0,0,0.10466032405383885
static,17,64,0.32880000000000004,0,False,0.0,0.0,0,0.17636120994575322
static,17,128,0.436,0,False,0.0,0.0,0,0.3191102461423725
static,18,32,0.2078,0,False,0.0,0.0,0,0.10599247412756085
static,18,64,0.3158,0,False,0.0,0.0,0,0.17956607998348773
static,18,128,0.43160000000000004,0,False,0.0,0.0,0,0.32357645011506975
static,19,32,0.18919999999999998,0,False,0.0,0.0,0,0.10101447603665292
static,19,64,0.28820000000000007,0,False,0.0,0.0,0,0.17312043998390436
static,19,128,0.40520000000000006,0,False,0.0,0.0,0,0.31255747005343437
static,20,32,0.2014,0,False,0.0,0.0,0,0.10620339610613883
static,20,64,0.3108,0,False,0.0,0.0,0,0.18083397787995636
static,20,128,0.4292,0,False,0.0,0.0,0,0.3193288501352072
static,21,32,0.2184,0,False,0.0,0.0,0,0.10784340393729508
static,21,64,0.31720000000000004,0,False,0.0,0.0,0,0.17608854989521205
static,21,128,0.43379999999999996,0,False,0.0,0.0,0,0.31888689612969756
static,22,32,0.2144,0,False,0.0,0.0,0,0.10528568178415298
static,22,64,0.31439999999999996,0,False,0.0,0.0,0,0.18203580379486084
static,22,128,0.4338,0,False,0.0,0.0,0,0.32339388597756624
static,23,32,0.2072,0,False,0.0,0.0,0,0.10255950200371444
static,23,64,0.307,0,False,0.0,0.0,0,0.17532141413539648
static,23,128,0.42040000000000005,0,False,0.0,0.0,0,0.30992334010079503
static,24,32,0.21359999999999998,0,False,0.0,0.0,0,0.1075735380873084
static,24,64,0.31320000000000003,0,False,0.0,0.0,0,0.1809059139341116
static,24,128,0.426,0,False,0.0,0.0,0,0.32169730216264725
static,25,32,0.2238,0,False,0.0,0.0,0,0.10622351011261344
static,25,64,0.3124,0,False,0.0,0.0,0,0.17553610587492585
static,25,128,0.438,0,False,0.0,0.0,0,0.31693665008060634
static,26,32,0.19360000000000002,0,False,0.0,0.0,0,0.10768626187928021
