condition,drift_detected,ef_search,entry_point_node,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
adaptive_mconj48_ep,True,32,66639,0,257.49439562567454,0.0900577181018889,0.001823125736363083,0,0,0.04963023272159823,11103.989986384362,0.9822000000000001,False
adaptive_mconj48_ep,True,64,66639,0,257.49439562567454,0.1438452999573201,0.001823125736363083,0,0,0.028436596139481952,6951.912925182171,0.9944,False
adaptive_mconj48_ep,True,128,66639,0,257.49439562567454,0.24342398392036557,0.001823125736363083,0,0,0.008908422980528033,4108.05863865552,0.9992000000000001,False
adaptive_mconj48_ep,False,32,,1,252.6864277325438,0.10216551797930151,0.00037247293129965024,0,0,0.0626916262350882,9788.038271411668,0.9824,False
adaptive_mconj48_ep,False,64,,1,252.6864277325438,0.15675556391943246,0.00037247293129965024,0,0,0.02078845833629805,6379.35888842816,0.9972000000000001,False
adaptive_mconj48_ep,False,128,,1,252.6864277325438,0.25727245199959725,0.00037247293129965024,0,0,0.008908422980528033,3886.9299539367917,0.9992000000000001,False
adaptive_mconj48_ep,False,32,,2,252.80247613134094,0.10139907395932823,0.0008054089580198433,0,0,0.043174066289845804,9862.023004284101,0.9840000000000001,False
adaptive_mconj48_ep,False,64,,2,252.80247613134094,0.15543451602570713,0.0008054089580198433,0,0,0.01705872210923198,6433.577467662402,0.997,False
adaptive_mconj48_ep,False,128,,2,252.80247613134094,0.2543433179380372,0.0008054089580198433,0,0,0.007722693830523126,3931.6936183226903,0.9994,False
adaptive_mconj48_ep,False,32,,3,254.0710506851147,0.10205255600158125,0.00047600362691360503,0,0,0.04630507531577937,9798.872651308267,0.9828,False
adaptive_mconj48_ep,False,64,,3,254.0710506851147,0.15643500199075788,0.00047600362691360503,0,0,0.025116528422534822,6392.431279919564,0.9945999999999999,False
adaptive_mconj48_ep,False,128,,3,254.0710506851147,0.2566068680025637,0.00047600362691360503,0,0,0.013295111883696201,3897.0118289663596,0.9982000000000001,False
adaptive_mconj48_ep,False,32,,4,252.23016577133205,0.10116609197575599,0.00038169154595182664,0,0,0.05727512549091445,9884.734899512037,0.9866000000000001,False
adaptive_mconj48_ep,False,64,,4,252.23016577133205,0.15554817602969706,0.00038169154595182664,0,0,0.02020989856481224,6428.876413241138,0.9966000000000002,False
adaptive_mconj48_ep,False,128,,4,252.23016577133205,0.2547703799791634,0.00038169154595182664,0,0,0.008908422980528033,3925.103067639911,0.9992000000000001,False
adaptive_mconj48_ep,False,32,,5,253.1209861350425,0.10201095603406429,0.00026505584234013014,0,0,0.04243159200407168,9802.868621935788,0.9866,False
adaptive_mconj48_ep,False,64,,5,253.1209861350425,0.15644457994494587,0.00026505584234013014,0,0,0.021962695645116055,6392.039918237552,0.9957999999999999,False
adaptive_mconj48_ep,False,128,,5,253.1209861350425,0.25685249001253396,0.00026505584234013014,0,0,0.009949874371066194,3893.285207985337,0.999,False
adaptive_mconj48_ep,False,32,,6,253.9629266279762,0.10332022199872881,0.0009381725323503395,0,0,0.04202665820642893,9678.647419208055,0.9875999999999999,False
adaptive_mconj48_ep,False,64,,6,253.9629266279762,0.15838436991907656,0.0009381725323503395,0,0,0.016497272501841024,6313.754321281391,0.9972000000000001,False
adaptive_mconj48_ep,False,128,,6,253.9629266279762,0.25848085794132203,0.0009381725323503395,0,0,0.008908422980528033,3868.758437141256,0.9992000000000001,False
adaptive_mconj48_ep,False,32,,7,254.06550164467848,0.10034500795882195,0.0004751557058368136,0,0,0.04239764144383505,9965.61782535674,0.9838,False
adaptive_mconj48_ep,False,64,,7,254.06550164467848,0.15433191193733364,0.0004751557058368136,0,0,0.019119623427254,6479.541317456426,0.9962,False
adaptive_mconj48_ep,False,128,,7,254.06550164467848,0.2526586699532345,0.0004751557058368136,0,0,0.010888526071052958,3957.908906055326,0.9987999999999999,False
adaptive_mconj48_ep,False,32,,8,253.65403423626952,0.10160449601244181,0.0007779959937308468,0,0,0.06009159675029445,9842.084152236202,0.983,False
adaptive_mconj48_ep,False,64,,8,253.65403423626952,0.1567052840255201,0.0007779959937308468,0,0,0.02277805961885252,6381.405746580606,0.9954000000000001,False
adaptive_mconj48_ep,False,128,,8,253.65403423626952,0.25730251194909215,0.0007779959937308468,0,0,0.010888526071052958,3886.4758545297536,0.9987999999999999,False
adaptive_mconj48_ep,False,32,,9,252.64045479113636,0.10096573201008141,0.0015916201345233458,0,0,0.06181779679024479,9904.350516669856,0.9816,False
adaptive_mconj48_ep,False,64,,9,252.64045479113636,0.15483651193790138,0.0015916201345233458,0,0,0.021882413029645515,6458.425002502377,0.9954000000000001,False
adaptive_mconj48_ep,False,128,,9,252.64045479113636,0.2538853340083733,0.0015916201345233458,0,0,0.011789826122551592,3938.786003160857,0.999,False
adaptive_mconj48_ep,True,32,66639,10,252.80803241239232,0.10119553201366216,0.0024750643053311075,15500,0,0.06030953490120778,9881.85920960416,0.9826000000000001,True
adaptive_mconj48_ep,True,64,66639,10,252.80803241239232,0.15528917603660375,0.0024750643053311075,15500,0,0.02244994432064365,6439.598853717187,0.996,True
adaptive_mconj48_ep,True,128,66639,10,252.80803241239232,0.25440699595492333,0.0024750643053311075,15500,0,0.014722771478223791,3930.7095162476717,0.9982000000000001,True
adaptive_mconj48_ep,False,32,,11,251.92057221527315,0.1270811778958887,0.0010368658278273916,15500,0,0.07860661549767932,7868.985923464216,0.979,False
adaptive_mconj48_ep,False,64,,11,251.92057221527315,0.18191297794692218,0.0010368658278273916,15500,0,0.022855196345689086,5497.133911423163,0.9957999999999999,False
adaptive_mconj48_ep,False,128,,11,251.92057221527315,0.2812627980019897,0.0010368658278273916,15500,0,0.008908422980528033,3555.393770892252,0.9992000000000001,False
adaptive_mconj48_ep,False,32,,12,257.0055885991313,0.12450491997878999,0.0004922280321580909,15500,0,0.04068218283229157,8031.811113732331,0.9864,False
adaptive_mconj48_ep,False,64,,12,257.0055885991313,0.17921254399698228,0.0004922280321580909,15500,0,0.017599999999999994,5579.9665452929385,0.9967999999999999,False
adaptive_mconj48_ep,False,128,,12,257.0055885991313,0.27948494791053236,0.0004922280321580909,15500,0,0.008908422980528033,3578.0102201429327,0.9992000000000001,False
