condition,drift_detected,ef_search,entry_point_node,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
adaptive_mconj48_ep,True,32,66639,0,257.49439562567454,0.09011475800070912,0.001823125736363083,0,0,0.04963023272159823,11096.961498716237,0.9822000000000001,False
adaptive_mconj48_ep,True,64,66639,0,257.49439562567454,0.14332489797379822,0.001823125736363083,0,0,0.028436596139481952,6977.1548009949665,0.9944,False
adaptive_mconj48_ep,True,128,66639,0,257.49439562567454,0.2430221219547093,0.001823125736363083,0,0,0.008908422980528033,4114.851734305754,0.9992000000000001,False
adaptive_mconj48_ep,False,32,,1,252.6864277325438,0.10094551194924861,0.00037247293129965024,0,0,0.0626916262350882,9906.33442428585,0.9824,False
adaptive_mconj48_ep,False,64,,1,252.6864277325438,0.15493013395462185,0.00037247293129965024,0,0,0.02078845833629805,6454.522270618409,0.9972000000000001,False
adaptive_mconj48_ep,False,128,,1,252.6864277325438,0.25382929400075227,0.00037247293129965024,0,0,0.008908422980528033,3939.6556017566527,0.9992000000000001,False
adaptive_mconj48_ep,False,32,,2,252.80247613134094,0.10239857796113938,0.0008054089580198433,0,0,0.043174066289845804,9765.760618077173,0.9840000000000001,False
adaptive_mconj48_ep,False,64,,2,252.80247613134094,0.15702934400178492,0.0008054089580198433,0,0,0.01705872210923198,6368.236499724747,0.997,False
adaptive_mconj48_ep,False,128,,2,252.80247613134094,0.2576691539725289,0.0008054089580198433,0,0,0.007722693830523126,3880.945718891187,0.9994,False
adaptive_mconj48_ep,False,32,,3,254.0710506851147,0.10046002804301679,0.00047600362691360503,0,0,0.04630507531577937,9954.207852418695,0.9828,False
adaptive_mconj48_ep,False,64,,3,254.0710506851147,0.15424458996858448,0.00047600362691360503,0,0,0.025116528422534822,6483.209558297463,0.9945999999999999,False
adaptive_mconj48_ep,False,128,,3,254.0710506851147,0.2528645299607888,0.00047600362691360503,0,0,0.013295111883696201,3954.6867255564393,0.9982000000000001,False
adaptive_mconj48_ep,False,32,,4,252.23016577133205,0.10184927401132882,0.00038169154595182664,0,0,0.05727512549091445,9818.430319775955,0.9866000000000001,False
adaptive_mconj48_ep,False,64,,4,252.23016577133205,0.15657544194255024,0.00038169154595182664,0,0,0.02020989856481224,6386.697604640415,0.9966000000000002,False
adaptive_mconj48_ep,False,128,,4,252.23016577133205,0.25664743001107126,0.00038169154595182664,0,0,0.008908422980528033,3896.3959232198895,0.9992000000000001,False
adaptive_mconj48_ep,False,32,,5,253.1209861350425,0.10113773192279041,0.00026505584234013014,0,0,0.04243159200407168,9887.506680132103,0.9866,False
adaptive_mconj48_ep,False,64,,5,253.1209861350425,0.15446359000634402,0.00026505584234013014,0,0,0.021962695645116055,6474.017598315103,0.9957999999999999,False
adaptive_mconj48_ep,False,128,,5,253.1209861350425,0.25348709407262504,0.00026505584234013014,0,0,0.009949874371066194,3944.9740179415057,0.999,False
adaptive_mconj48_ep,False,32,,6,254.90064813081457,0.10417110600974411,0.0011080390731663672,0,0,0.04615452307195904,9599.590887577411,0.9824,False
adaptive_mconj48_ep,False,64,,6,254.90064813081457,0.1589522740105167,0.0011080390731663672,0,0,0.019119623427254002,6291.1965634026565,0.9962,False
adaptive_mconj48_ep,False,128,,6,254.90064813081457,0.25979468401055783,0.0011080390731663672,0,0,0.009949874371066196,3849.193465249508,0.999,False
adaptive_mconj48_ep,True,32,34294,7,258.9595002326238,0.10151493398007005,0.0031519880286971294,15500,0,0.08788606260380538,9850.767377697603,0.9598000000000001,True
adaptive_mconj48_ep,True,64,34294,7,258.9595002326238,0.15593001805245876,0.0031519880286971294,15500,0,0.036680239911974395,6413.133356167348,0.9884000000000001,True
adaptive_mconj48_ep,True,128,34294,7,258.9595002326238,0.25518207997083664,0.0031519880286971294,15500,0,0.015362291495737212,3918.7704721047985,0.998,True
adaptive_mconj48_ep,True,32,16754,8,266.9651389251559,0.1337717700516805,0.012936402773827876,28550,0,0.10021896028197459,7475.418764464779,0.9296000000000001,True
adaptive_mconj48_ep,True,64,16754,8,266.9651389251559,0.19069880794268101,0.012936402773827876,28550,0,0.05953788709720895,5243.8712689833565,0.9718,True
adaptive_mconj48_ep,True,128,16754,8,266.9651389251559,0.29454715200699866,0.012936402773827876,28550,0,0.031771685507696934,3395.0421628121508,0.9916,True
adaptive_mconj48_ep,True,32,16754,9,278.25860368817854,0.19189263205043972,0.05816470625353803,38957,0,0.15575095505325162,5211.2475049961595,0.8642000000000001,True
adaptive_mconj48_ep,True,64,16754,9,278.25860368817854,0.2503964980132878,0.05816470625353803,38957,0,0.08924819325902346,3993.666077338402,0.9426000000000001,True
adaptive_mconj48_ep,True,128,16754,9,278.25860368817854,0.357336956076324,0.05816470625353803,38957,0,0.045582452764194245,2798.4790909407334,0.9832000000000001,True
adaptive_mconj48_ep,True,32,16754,10,279.2964731322299,0.33726339996792376,0.06470128195209257,47961,0,0.15714591945068124,2965.041567199724,0.8746,True
adaptive_mconj48_ep,True,64,16754,10,279.2964731322299,0.40524529200047255,0.06470128195209257,47961,0,0.09348711141114587,2467.641252693033,0.9496,True
adaptive_mconj48_ep,True,128,16754,10,279.2964731322299,0.523574686027132,0.06470128195209257,47961,0,0.0409580272962456,1909.9471893646503,0.9838000000000001,True
adaptive_mconj48_ep,True,32,16754,11,278.6600936386067,0.5010023179929703,0.060585209186049274,54150,0,0.13792751719653334,1995.9987490797023,0.896,True
adaptive_mconj48_ep,True,64,16754,11,278.6600936386067,0.5594629619736224,0.060585209186049274,54150,0,0.0862505652155393,1787.428423272724,0.9578,True
adaptive_mconj48_ep,True,128,16754,11,278.6600936386067,0.6777768359752372,0.060585209186049274,54150,0,0.03814498656442284,1475.4118862163878,0.9864,True
adaptive_mconj48_ep,True,32,13217,12,283.52516480394075,0.5792038759682328,0.08686986716892506,59933,0,0.1634540914140726,1726.5077833402593,0.8826,True
adaptive_mconj48_ep,True,64,13217,12,283.52516480394075,0.6677250280044973,0.08686986716892506,59933,0,0.0874885135317774,1497.62246143223,0.9524000000000001,True
adaptive_mconj48_ep,True,128,13217,12,283.52516480394075,0.7922290740534663,0.08686986716892506,59933,0,0.03756327994198589,1262.2611726220382,0.987,True
adaptive_mconj48_ep,True,32,52138,13,279.68799072909167,0.6517825518967584,0.06694875961454291,64602,0,0.1280568623698082,1534.254019365647,0.8987999999999999,True
adaptive_mconj48_ep,True,64,52138,13,279.68799072909167,0.7365112620173022,0.06694875961454291,64602,0,0.07495998932764064,1357.7524901126467,0.959,True
adaptive_mconj48_ep,True,128,52138,13,279.68799072909167,0.8576670719776303,0.06694875961454291,64602,0,0.04220142177699704,1165.953588137848,0.9852000000000001,True
adaptive_mconj48_ep,True,32,13217,14,279.23970946668067,0.7797976339934394,0.05415941915186832,68340,0,0.15647862473833288,1282.38398836744,0.8962,True
