strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,500,0.0,0.9971,16155.0451,6401.5303,134.396,35.769,501.725,6082.62,636.696,1000
no_adaptation,500,1.0,0.996,16040.0627,6446.4977,134.198,35.984,502.67,6112.865,646.132,1000
no_adaptation,500,2.0,0.995,16004.5798,6638.8762,133.21,35.533,503.404,6154.882,653.389,1000
no_adaptation,500,3.0,0.9945,16048.5967,6921.4169,132.858,35.208,504.32,6211.26,666.861,1000
no_adaptation,500,4.0,0.9887,16172.1133,7233.6769,132.26,34.944,505.008,6290.291,686.997,1000
no_adaptation,500,6.0,0.98,16657.6453,8151.1175,130.9,33.42,507.438,6489.34,739.03,1000
no_adaptation,500,8.0,0.9606,17461.1759,9196.7788,129.072,32.276,510.207,6788.882,802.389,1000
no_adaptation,500,10.0,0.9252,18582.7052,10414.9335,127.822,31.488,512.111,7158.234,863.862,1000
no_adaptation,500,12.0,0.8854,20022.2329,11858.1916,126.904,31.19,513.834,7575.817,928.639,1000
no_adaptation,500,16.0,0.8187,23855.2844,15067.518,127.456,30.647,507.624,8227.185,995.858,1000
poolAndRewire,10,0.0,0.8261,16155.0451,6401.5303,134.396,35.769,13.517,274.189,36.508,1000
poolAndRewire,10,1.0,0.8143,16040.0627,6446.4977,134.198,35.984,13.562,275.723,36.391,1000
poolAndRewire,10,2.0,0.8066,16004.5798,6638.8762,133.21,35.533,13.739,280.035,36.944,1000
poolAndRewire,10,3.0,0.7868,16048.5967,6921.4169,132.858,35.208,13.995,286.562,37.003,1000
poolAndRewire,10,4.0,0.7611,16172.1133,7233.6769,132.26,34.944,14.118,290.25,36.914,1000
poolAndRewire,10,6.0,0.7213,14645.3039,7927.0606,124.696,34.246,14.199,295.618,35.587,1000
poolAndRewire,10,8.0,0.6428,15277.1048,8818.0737,117.501,31.504,14.692,310.685,34.688,1000
poolAndRewire,10,10.0,0.544,15812.823,9902.2753,110.033,29.004,14.734,317.287,32.748,1000
poolAndRewire,10,12.0,0.4619,16256.8716,11145.7046,102.059,27.132,14.796,324.062,31.616,1000
poolAndRewire,10,16.0,0.3581,17770.8524,14040.9783,87.578,22.541,13.967,316.536,29.001,1000
