condition,epoch,ef,recall,edge_count
adaptive_layer0_eh,1,32,0.8208000000000001,0
adaptive_layer0_eh,1,64,0.9017999999999999,0
adaptive_layer0_eh,1,128,0.9564000000000001,0
adaptive_layer0_eh,2,32,0.8234000000000001,0
adaptive_layer0_eh,2,64,0.9084000000000001,0
adaptive_layer0_eh,2,128,0.9582,0
adaptive_layer0_eh,3,32,0.812,0
adaptive_layer0_eh,3,64,0.8982,0
adaptive_layer0_eh,3,128,0.9518,0
adaptive_layer0_eh,4,32,0.8140000000000002,0
adaptive_layer0_eh,4,64,0.908,0
adaptive_layer0_eh,4,128,0.9592,0
adaptive_layer0_eh,5,32,0.8174000000000001,0
adaptive_layer0_eh,5,64,0.9064000000000001,0
adaptive_layer0_eh,5,128,0.9581999999999999,0
adaptive_layer0_eh,6,32,0.8326,8894
adaptive_layer0_eh,6,64,0.9148,8894
adaptive_layer0_eh,6,128,0.9626000000000001,8894
adaptive_layer0_eh,7,32,0.8188000000000001,8894
adaptive_layer0_eh,7,64,0.901,8894
adaptive_layer0_eh,7,128,0.9526000000000001,8894
adaptive_layer0_eh,8,32,0.8142,8894
adaptive_layer0_eh,8,64,0.9048,8894
adaptive_layer0_eh,8,128,0.9538,8894
adaptive_layer0_eh,9,32,0.8194000000000001,8894
adaptive_layer0_eh,9,64,0.905,8894
adaptive_layer0_eh,9,128,0.9556,8894
adaptive_layer0_eh,10,32,0.809,16986
adaptive_layer0_eh,10,64,0.8990000000000001,16986
adaptive_layer0_eh,10,128,0.95,16986
adaptive_layer0_eh,11,32,0.8314000000000001,16986
adaptive_layer0_eh,11,64,0.9134,16986
adaptive_layer0_eh,11,128,0.9594000000000001,16986
adaptive_layer0_eh,12,32,0.8105999999999999,16986
adaptive_layer0_eh,12,64,0.8964000000000001,16986
adaptive_layer0_eh,12,128,0.9492,16986
adaptive_layer0_eh,13,32,0.8532000000000001,25239
adaptive_layer0_eh,13,64,0.9312,25239
adaptive_layer0_eh,13,128,0.9650000000000001,25239
adaptive_layer0_eh,14,32,0.8592000000000001,29233
adaptive_layer0_eh,14,64,0.9258,29233
adaptive_layer0_eh,14,128,0.9658,29233
adaptive_layer0_eh,15,32,0.8532000000000001,33065
adaptive_layer0_eh,15,64,0.9280000000000002,33065
adaptive_layer0_eh,15,128,0.9668,33065
adaptive_layer0_eh,16,32,0.8506000000000001,35158
adaptive_layer0_eh,16,64,0.9186000000000001,35158
adaptive_layer0_eh,16,128,0.957,35158
adaptive_layer0_eh,17,32,0.8614,36669
adaptive_layer0_eh,17,64,0.923,36669
adaptive_layer0_eh,17,128,0.963,36669
adaptive_layer0_eh,18,32,0.8534,37969
adaptive_layer0_eh,18,64,0.9194000000000001,37969
adaptive_layer0_eh,18,128,0.9588000000000001,37969
adaptive_layer0_eh,19,32,0.8623999999999999,39572
adaptive_layer0_eh,19,64,0.9264000000000001,39572
adaptive_layer0_eh,19,128,0.9652000000000001,39572
adaptive_layer0_eh,20,32,0.8488,40127
adaptive_layer0_eh,20,64,0.9176000000000001,40127
adaptive_layer0_eh,20,128,0.9594000000000001,40127
adaptive_layer0_eh,21,32,0.84,41277
adaptive_layer0_eh,21,64,0.9016000000000001,41277
