strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,12.0,10,0.3966,24358.9522,12062.7255,132.6125,32.7912,16.1862,353.9225,38.4162,800
no_adaptation,12.0,20,0.5231,24358.9522,12062.7255,132.6125,32.7912,27.9625,588.955,74.2475,800
no_adaptation,12.0,50,0.6779,24358.9522,12062.7255,132.6125,32.7912,59.5525,1168.4625,163.3988,800
no_adaptation,12.0,100,0.7771,24358.9522,12062.7255,132.6125,32.7912,110.5725,2021.5238,280.7738,800
no_adaptation,12.0,200,0.8469,24358.9522,12062.7255,132.6125,32.7912,211.5862,3550.68,474.6925,800
no_adaptation,12.0,500,0.9116,24358.9522,12062.7255,132.6125,32.7912,513.9075,7575.3825,949.0325,800
no_adaptation,16.0,10,0.2708,29547.1222,15378.9582,129.8212,31.62,16.4625,370.2912,36.4875,800
no_adaptation,16.0,20,0.3785,29547.1222,15378.9582,129.8212,31.62,28.0325,613.7925,71.7075,800
no_adaptation,16.0,50,0.5315,29547.1222,15378.9582,129.8212,31.62,58.925,1220.4088,162.0525,800
no_adaptation,16.0,100,0.6453,29547.1222,15378.9582,129.8212,31.62,108.9612,2138.6425,285.7988,800
no_adaptation,16.0,200,0.7419,29547.1222,15378.9582,129.8212,31.62,208.5875,3821.6625,497.9488,800
no_adaptation,16.0,500,0.8411,29547.1222,15378.9582,129.8212,31.62,511.5875,8353.1038,1031.8162,800
option1_directed_edges,0.0,10,0.8413,16934.3502,6276.0492,134.6612,36.6688,13.4525,275.095,36.3362,800
option1_directed_edges,0.0,20,0.8953,13934.0997,13934.0997,0.0,0.0,31.3775,652.3925,163.1762,800
option1_directed_edges,0.0,50,0.9586,15112.8057,15112.8057,0.0,0.0,60.2025,1104.64,253.0638,800
option1_directed_edges,0.0,100,0.9755,15112.8057,15112.8057,0.0,0.0,109.5638,1818.3575,337.3737,800
option1_directed_edges,0.0,200,0.9881,15112.8057,15112.8057,0.0,0.0,209.3812,3100.82,468.3262,800
option1_directed_edges,0.0,500,0.9946,15112.8057,15112.8057,0.0,0.0,508.5712,6400.83,801.22,800
option1_directed_edges,1.0,10,0.8355,17155.6595,6298.5058,134.985,35.8388,13.4825,274.9325,36.095,800
option1_directed_edges,1.0,20,0.8965,13698.3524,13698.3524,0.0,0.0,31.6725,652.4288,162.095,800
option1_directed_edges,1.0,50,0.953,15085.4056,15085.4056,0.0,0.0,60.575,1114.0438,254.6938,800
option1_directed_edges,1.0,100,0.9754,15085.4056,15085.4056,0.0,0.0,110.0188,1828.765,341.1062,800
option1_directed_edges,1.0,200,0.9868,15085.4056,15085.4056,0.0,0.0,209.65,3113.05,474.7088,800
option1_directed_edges,1.0,500,0.9931,15085.4056,15085.4056,0.0,0.0,508.855,6420.1962,810.1975,800
option1_directed_edges,2.0,10,0.8178,17456.4684,6538.0561,134.3325,35.1388,13.5925,278.4175,36.7888,800
option1_directed_edges,2.0,20,0.884,13570.8118,13570.8118,0.0,0.0,32.1012,662.8575,159.9512,800
option1_directed_edges,2.0,50,0.9519,15137.5053,15137.5053,0.0,0.0,61.0688,1127.225,259.1325,800
option1_directed_edges,2.0,100,0.9736,15137.5053,15137.5053,0.0,0.0,110.4238,1841.4212,348.175,800
option1_directed_edges,2.0,200,0.9851,15137.5053,15137.5053,0.0,0.0,209.81,3127.8625,483.9012,800
option1_directed_edges,2.0,500,0.994,15137.5053,15137.5053,0.0,0.0,509.2462,6445.4712,821.1275,800
option1_directed_edges,3.0,10,0.8042,17836.777,6742.5653,134.8875,34.91,13.8475,283.6388,36.9412,800
option1_directed_edges,3.0,20,0.8689,13431.6462,13431.6462,0.0,0.0,32.3713,667.1662,156.8913,800
option1_directed_edges,3.0,50,0.9426,15269.1046,15269.1046,0.0,0.0,61.6288,1141.6388,260.9212,800
option1_directed_edges,3.0,100,0.9716,15269.1046,15269.1046,0.0,0.0,111.215,1861.8738,353.0288,800
option1_directed_edges,3.0,200,0.9836,15269.1046,15269.1046,0.0,0.0,210.4562,3149.1638,492.3688,800
