condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,queries_per_second,recall_at_k,repair_happened
mconj_24,True,32,0,257.49439562567454,0.05534885601082351,0.001823125736363083,0,18067.220753477708,0.9822000000000001,False
mconj_24,True,64,0,257.49439562567454,0.0734529959881911,0.001823125736363083,0,13614.1485659859,0.9944,False
mconj_24,True,128,0,257.49439562567454,0.12198329000966623,0.001823125736363083,0,8197.844146692205,0.9992000000000001,False
mconj_24,False,32,1,252.52132330277027,0.04920593599672429,0.00031724391092231125,0,20322.751305179347,0.984,False
mconj_24,False,64,1,252.52132330277027,0.0716918899997836,0.00031724391092231125,0,13948.579121055653,0.9972000000000001,False
mconj_24,False,128,1,252.52132330277027,0.11856081199948676,0.00031724391092231125,0,8434.490141686352,0.999,False
mconj_24,False,32,2,252.91389566117573,0.04990699801419396,0.0007105384275595641,0,20037.270118222536,0.983,False
mconj_24,False,64,2,252.91389566117573,0.07325422800204251,0.0007105384275595641,0,13651.089189993478,0.9967999999999999,False
mconj_24,False,128,2,252.91389566117573,0.12108513800194487,0.0007105384275595641,0,8258.65185852898,0.9994,False
mconj_24,False,32,3,254.0705578079571,0.049099916010163724,0.0004716594085745089,0,20366.633616908817,0.9832000000000001,False
mconj_24,False,64,3,254.0705578079571,0.07191062999481801,0.0004716594085745089,0,13906.149898451196,0.9946,False
mconj_24,False,128,3,254.0705578079571,0.11861011800647248,0.0004716594085745089,0,8430.98393971272,0.9985999999999999,False
mconj_24,False,32,4,252.06051845874643,0.049272003991063684,0.0003339665724737102,0,20295.50087269369,0.988,False
mconj_24,False,64,4,252.06051845874643,0.07344838599965442,0.0003339665724737102,0,13615.003058129896,0.9966000000000002,False
mconj_24,False,128,4,252.06051845874643,0.11923742800718173,0.0003339665724737102,0,8386.628399429828,0.9992000000000001,False
mconj_24,False,32,5,253.13779109022582,0.048888999997871,0.00026102697622014756,0,20454.498967938547,0.9866000000000001,False
mconj_24,False,64,5,253.13779109022582,0.07167694400413893,0.00026102697622014756,0,13951.487663065765,0.9962000000000001,False
mconj_24,False,128,5,253.13779109022582,0.11848021599871572,0.00026102697622014756,0,8440.227691776317,0.999,False
mconj_24,False,32,6,254.87978279608686,0.050437789992429316,0.0010839715254060182,0,19826.40397507701,0.9816000000000001,False
mconj_24,False,64,6,254.87978279608686,0.07430463400669396,0.0010839715254060182,0,13458.110834782014,0.9962000000000001,False
mconj_24,False,128,6,254.87978279608686,0.1224431240116246,0.0010839715254060182,0,8167.057220012299,0.9987999999999999,False
