query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length
118,0.5,0.7,275.7890625,202.091552734375,60,200,4834,563,200
119,0.5,0.2,343.193603515625,243.70509338378906,44,203,4898,562,203
120,0.5,0.6,260.7086486816406,210.82350158691406,76,201,4833,605,201
121,0.5,0.7,342.4429626464844,208.53919982910156,133,209,5083,570,209
122,0.5,0.5,324.0332946777344,200.9326171875,92,209,4982,602,209
123,0.5,0.8,277.97210693359375,227.5772705078125,56,204,4980,606,204
124,0.5,0.8,231.7804718017578,216.8271942138672,41,201,4844,559,201
125,0.5,0.8,269.64019775390625,209.40965270996094,44,202,4894,552,202
126,0.5,0.8,319.2920837402344,213.79318237304688,79,200,4852,526,200
127,0.5,1.0,305.4534606933594,184.47906494140625,92,200,4777,525,200
128,0.5,0.6,288.2481994628906,221.08973693847656,44,200,4934,554,200
129,0.5,0.9,300.0110778808594,184.2625732421875,102,203,4861,551,203
130,0.5,0.7,247.85873413085938,197.9558868408203,53,202,4887,540,202
131,0.5,0.7,315.06903076171875,205.66416931152344,60,204,4867,543,204
132,0.5,0.6,294.3135070800781,227.78684997558594,73,202,4970,563,202
133,0.5,0.8,278.353759765625,194.17727661132812,82,202,4902,593,202
134,0.5,0.7,308.1695861816406,214.07308959960938,79,207,4834,562,207
135,0.5,0.7,287.4234313964844,201.07797241210938,76,206,4925,564,206
136,0.5,0.6,316.92919921875,216.16802978515625,75,201,4911,592,201
137,0.5,0.7,273.75128173828125,225.3689422607422,57,205,4900,564,205
138,0.5,0.6,304.681640625,232.09449768066406,57,202,4791,551,202
139,0.5,0.9,292.5407409667969,228.11849975585938,89,222,5166,589,222
140,0.5,0.8,222.44088745117188,170.57833862304688,107,200,4784,498,200
141,0.5,0.9,294.4789733886719,219.05335998535156,97,213,5101,545,213
142,0.5,0.6,305.9504089355469,212.5443115234375,44,201,4846,548,201
143,0.5,0.8,331.71246337890625,210.8247528076172,92,201,4854,524,201
144,0.5,0.4,308.0242614746094,231.32908630371094,50,207,4944,497,207
145,0.5,0.7,254.4279022216797,184.81411743164062,73,200,4952,543,200
146,0.5,0.9,256.54449462890625,203.3507537841797,76,200,4796,553,200
147,0.5,0.7,300.9181213378906,207.91928100585938,66,200,4710,553,200
148,0.5,0.7,335.3122863769531,218.68359375,60,201,4769,522,201
149,0.5,0.8,240.33706665039062,200.59735107421875,60,206,4949,544,206
150,0.5,0.3,271.20574951171875,220.07647705078125,76,200,4846,531,200
151,0.5,0.6,273.0168762207031,191.7047119140625,60,200,4756,555,200
152,0.5,0.6,318.4046630859375,232.91616821289062,60,203,4781,539,203
153,0.5,1.0,263.87457275390625,200.16551208496094,44,200,4700,538,200
154,0.5,0.9,228.6000213623047,206.302001953125,76,201,4694,526,201
155,0.5,0.5,316.9328308105469,204.44349670410156,84,201,4858,571,201
156,0.5,0.9,284.3584289550781,198.28915405273438,57,201,4874,570,201
157,0.5,0.6,277.48785400390625,172.58103942871094,56,205,4884,579,205
158,0.5,0.8,275.4597473144531,207.38754272460938,50,201,4859,541,201
159,0.5,0.6,259.49810791015625,205.15396118164062,70,201,4888,598,201
160,0.5,0.4,270.4812927246094,214.86318969726562,103,205,4923,497,205
161,0.5,0.8,300.6085205078125,212.08360290527344,60,202,4906,558,202
162,0.5,0.7,254.6818389892578,208.7115936279297,72,201,4874,556,201
163,0.5,0.6,227.9272918701172,188.4544677734375,72,232,5539,595,232
164,0.5,0.7,246.13270568847656,203.96119689941406,76,200,4849,576,200
165,0.5,0.7,257.0738830566406,193.64285278320312,44,200,4866,530,200
