query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
52,in_distribution,0.8,275.5556945800781,172.96749877929688,100,203,4773,504,203,0,16,62,22,0,0
53,in_distribution,0.5,282.85211181640625,206.7939453125,70,202,4943,515,202,0,16,29,25,0,0
54,in_distribution,0.6,269.4936828613281,183.20645141601562,91,200,4717,508,200,0,31,40,20,0,0
55,in_distribution,0.6,236.23968505859375,172.94447326660156,57,201,4798,513,201,0,32,16,9,0,0
56,in_distribution,0.7,280.9667663574219,200.25990295410156,98,200,4804,548,200,0,16,42,40,0,0
57,in_distribution,0.6,250.5829315185547,179.75550842285156,102,206,4829,535,206,0,32,48,22,0,0
58,in_distribution,0.6,240.7862548828125,193.5704803466797,42,200,4782,574,200,0,16,15,11,0,0
59,in_distribution,0.9,263.9432678222656,168.04495239257812,120,200,4832,528,200,0,48,45,27,0,0
60,in_distribution,0.8,219.6339111328125,179.5840606689453,59,205,4932,530,205,0,30,24,5,0,0
61,in_distribution,0.6,318.5397644042969,190.06729125976562,97,201,4801,568,201,0,46,14,37,0,0
62,in_distribution,0.5,249.62831115722656,142.07936096191406,151,201,4886,545,201,0,32,92,27,0,0
63,in_distribution,0.8,285.5789794921875,206.6162567138672,58,203,5008,555,203,0,16,31,11,0,0
64,in_distribution,0.9,318.1304931640625,207.50367736816406,118,202,4964,540,202,0,48,39,31,0,0
65,in_distribution,0.7,261.2489318847656,186.9993896484375,78,200,4754,532,200,0,16,44,18,0,0
66,in_distribution,1.0,252.90444946289062,177.76438903808594,92,203,4873,510,203,0,16,44,32,0,0
67,in_distribution,0.8,232.98403930664062,150.63006591796875,106,201,4766,488,201,0,58,26,22,0,0
68,in_distribution,0.5,242.07432556152344,169.32669067382812,88,203,4936,557,203,0,47,32,9,0,0
69,in_distribution,0.9,268.0575866699219,196.3962860107422,109,200,4867,551,200,0,32,60,17,0,0
70,in_distribution,1.0,268.7767639160156,187.9187469482422,68,205,4892,552,205,0,32,16,20,0,0
71,in_distribution,0.8,290.2359619140625,170.6237030029297,116,201,4970,552,201,0,32,74,10,0,0
72,in_distribution,0.9,268.0406494140625,210.10353088378906,59,201,4720,574,201,0,16,22,21,0,0
73,in_distribution,0.7,261.66180419921875,181.20474243164062,60,201,4854,512,201,0,32,9,19,0,0
74,in_distribution,0.9,267.20989990234375,182.9874725341797,85,202,4804,538,202,0,32,31,22,0,0
75,in_distribution,0.8,220.736328125,170.44485473632812,58,202,4939,555,202,0,16,31,11,0,0
76,in_distribution,0.7,257.6370544433594,185.10623168945312,106,200,4773,562,200,0,48,47,11,0,0
77,in_distribution,0.8,281.5483093261719,176.4158477783203,98,200,4805,555,200,0,32,46,20,0,0
78,in_distribution,0.6,258.0266418457031,204.60130310058594,74,201,4931,523,201,0,16,47,11,0,0
79,in_distribution,0.4,316.7450256347656,192.13616943359375,79,200,4766,546,200,0,16,33,30,0,0
80,in_distribution,0.9,185.52049255371094,162.0273895263672,57,200,4805,548,200,0,29,7,21,0,0
81,in_distribution,0.7,262.715576171875,174.24447631835938,65,200,4866,517,200,0,16,15,34,0,0
82,in_distribution,0.7,256.8034362792969,176.54908752441406,84,200,4789,506,200,0,16,48,20,0,0
83,in_distribution,0.9,274.91680908203125,180.96133422851562,100,202,4838,550,202,0,48,27,25,0,0
84,in_distribution,0.7,299.4056396484375,186.61767578125,85,200,4782,566,200,0,32,28,25,0,0
85,in_distribution,0.9,234.38455200195312,151.1009979248047,83,200,4883,537,200,0,32,28,23,0,0
86,in_distribution,0.8,309.6632385253906,168.40911865234375,78,201,4890,526,201,0,48,12,18,0,0
87,in_distribution,0.9,286.8544616699219,192.56854248046875,86,203,4984,610,203,0,32,24,30,0,0
88,in_distribution,0.7,282.3471374511719,154.38523864746094,110,203,4856,526,203,0,32,60,18,0,0
89,in_distribution,0.6,251.30831909179688,204.2032470703125,77,202,4969,558,202,0,12,43,22,0,0
90,in_distribution,0.8,223.00204467773438,174.7971649169922,58,200,4849,536,200,0,32,15,11,0,0
91,in_distribution,0.8,249.74508666992188,177.1483917236328,99,200,4863,559,200,0,32,26,41,0,0
92,in_distribution,0.4,300.8708190917969,220.36927795410156,46,205,4782,579,205,0,16,12,18,0,0
93,in_distribution,0.8,277.69146728515625,153.54417419433594,73,200,4899,502,200,0,48,16,9,0,0
94,in_distribution,0.7,323.02862548828125,200.2668914794922,41,204,4971,595,204,0,16,16,9,0,0
95,in_distribution,0.7,298.6162414550781,202.41102600097656,45,202,4897,557,202,0,16,12,17,0,0
96,in_distribution,0.2,266.0813293457031,178.904296875,100,203,4945,561,203,0,16,47,37,0,0
97,in_distribution,0.8,243.88101196289062,173.90158081054688,120,202,4807,514,202,0,16,77,27,0,0
98,in_distribution,0.8,240.82203674316406,178.72874450683594,114,205,4873,564,205,0,16,76,22,0,0
99,in_distribution,0.8,284.8294677734375,230.859619140625,55,201,4850,573,201,0,16,15,24,0,0
100,in_distribution,0.7,279.56121826171875,173.92984008789062,102,200,4737,503,200,0,64,16,22,0,0
101,in_distribution,0.7,325.3067626953125,213.5447540283203,68,203,4921,579,203,0,32,16,20,0,0
102,in_distribution,0.8,266.52569580078125,186.32505798339844,62,200,4839,489,200,0,16,28,18,0,0
103,in_distribution,0.9,272.5236511230469,186.01353454589844,99,200,4811,571,200,0,32,42,25,0,0
104,in_distribution,0.8,245.2227783203125,175.69114685058594,71,200,4824,577,200,0,16,29,26,0,0
