query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
54,0.0,0.8,246.47579956054688,194.68109130859375,69,202,4811,559,202,0,32,30,7,0,0
55,0.0,0.6,245.81753540039062,172.4996795654297,89,202,4805,572,202,0,16,71,2,0,0
56,0.0,0.9,272.7555236816406,154.430419921875,96,202,4788,518,202,0,29,47,20,0,0
57,0.0,0.5,252.47012329101562,170.22779846191406,86,203,4852,524,203,0,32,43,11,0,0
58,0.0,0.6,261.7354431152344,181.00958251953125,67,200,4880,558,200,0,32,28,7,0,0
59,0.0,0.8,264.0056457519531,192.607666015625,80,202,4745,556,202,0,16,53,11,0,0
60,0.0,0.9,267.3225402832031,187.130126953125,81,202,4849,525,202,0,32,25,24,0,0
61,0.0,0.7,263.23101806640625,184.34173583984375,63,201,4844,545,201,0,16,32,15,0,0
62,0.0,0.8,258.0623779296875,194.60345458984375,47,203,4853,515,203,0,16,16,15,0,0
63,0.0,0.6,251.6269989013672,161.7368621826172,77,200,4889,536,200,0,48,14,15,0,0
64,0.0,0.6,253.0395050048828,158.3094024658203,160,200,4767,515,200,0,112,28,20,0,0
65,0.0,0.6,279.43560791015625,171.6361846923828,93,200,4868,529,200,0,64,14,15,0,0
66,0.0,0.6,282.6322326660156,192.49826049804688,63,200,4780,507,200,0,16,32,15,0,0
67,0.0,0.8,242.1190948486328,166.6089324951172,103,200,4758,494,200,0,32,69,2,0,0
68,0.0,0.8,234.3173828125,168.81689453125,89,201,4883,524,201,0,32,55,2,0,0
69,0.0,0.8,292.795654296875,223.30404663085938,75,202,4938,560,202,0,32,31,12,0,0
70,0.0,0.9,226.85487365722656,169.46144104003906,57,204,5000,547,204,0,32,23,2,0,0
71,0.0,0.9,247.12380981445312,212.1019287109375,70,201,4831,554,201,0,16,52,2,0,0
72,0.0,0.8,257.56353759765625,187.0605926513672,85,201,4879,508,201,0,64,14,7,0,0
73,0.0,0.9,243.56527709960938,171.91848754882812,124,202,4901,569,202,0,64,32,28,0,0
74,0.0,0.7,263.80645751953125,163.68907165527344,104,200,4884,577,200,0,64,16,24,0,0
75,0.0,0.9,238.6905059814453,163.24777221679688,80,200,4869,523,200,0,32,12,36,0,0
76,0.0,0.9,247.67149353027344,155.21701049804688,97,200,4915,529,200,0,32,47,18,0,0
77,0.0,0.7,261.41961669921875,164.834228515625,67,201,4852,536,201,0,32,28,7,0,0
78,0.0,0.6,227.21498107910156,186.52972412109375,65,204,5008,586,204,0,32,15,18,0,0
79,0.0,0.9,238.8705596923828,164.1481170654297,54,203,4831,541,203,0,16,27,11,0,0
80,0.0,0.8,258.8111572265625,165.4102020263672,59,208,5017,551,208,0,16,26,17,0,0
81,0.0,0.8,282.0606994628906,178.22232055664062,92,202,4868,567,202,0,58,7,27,0,0
82,0.0,0.4,300.2552185058594,185.07907104492188,91,200,4791,565,200,0,48,31,12,0,0
83,0.0,0.5,294.7469787597656,193.93682861328125,103,200,4845,532,200,0,32,27,44,0,0
84,0.0,0.5,257.6546325683594,201.14976501464844,45,201,4793,583,201,0,16,27,2,0,0
85,0.0,0.8,261.2806701660156,177.5397491455078,52,200,4817,528,200,0,16,16,20,0,0
86,0.0,0.9,255.64178466796875,167.85873413085938,97,204,4865,531,204,0,64,15,18,0,0
