strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,500,0.0,0.9971,16481.2511,6376.8621,134.008,35.112,501.259,6073.995,631.566,1000
no_adaptation,500,1.0,0.9962,16415.8167,6446.6764,132.997,34.805,501.754,6096.342,638.24,1000
no_adaptation,500,2.0,0.9961,16429.882,6602.1594,132.358,34.815,502.461,6132.128,645.922,1000
no_adaptation,500,3.0,0.9964,16523.4469,6843.1883,133.232,34.777,502.591,6173.353,656.211,1000
no_adaptation,500,4.0,0.9932,16696.5115,7143.2726,133.134,34.56,503.386,6241.201,669.854,1000
no_adaptation,500,6.0,0.9831,17281.1396,8104.4692,132.067,33.732,507.138,6467.237,727.023,1000
no_adaptation,500,8.0,0.9617,18183.7662,9146.6282,131.075,33.862,510.532,6780.996,786.135,1000
no_adaptation,500,10.0,0.9264,19404.3916,10428.672,129.844,32.978,511.384,7135.137,851.459,1000
no_adaptation,500,12.0,0.8819,20943.0155,11865.6286,130.708,32.067,512.706,7539.371,921.781,1000
no_adaptation,500,16.0,0.8229,24974.2591,15236.7693,130.155,32.214,507.805,8222.169,999.853,1000
poolAndRewire,10,0.0,0.8399,16481.2511,6376.8621,134.008,35.112,13.484,273.262,37.049,1000
poolAndRewire,10,1.0,0.8313,16415.8167,6446.6764,132.997,34.805,13.594,275.794,37.193,1000
poolAndRewire,10,2.0,0.8161,16429.882,6602.1594,132.358,34.815,13.62,275.907,36.875,1000
poolAndRewire,10,3.0,0.8033,16523.4469,6843.1883,133.232,34.777,13.798,281.836,37.005,1000
poolAndRewire,10,4.0,0.781,16696.5115,7143.2726,133.134,34.56,13.985,286.121,37.308,1000
poolAndRewire,10,6.0,0.6992,17281.1396,8104.4692,132.067,33.732,14.373,297.586,37.49,1000
poolAndRewire,10,8.0,0.6298,17379.721,9039.6121,128.425,34.15,14.921,311.743,36.553,1000
poolAndRewire,10,10.0,0.5562,16338.1553,10059.9153,112.353,31.639,14.937,319.371,34.559,1000
poolAndRewire,10,12.0,0.4598,17263.9273,11318.3798,105.725,29.1,15.009,327.549,33.465,1000
poolAndRewire,10,16.0,0.3526,19465.9672,14427.1292,95.529,26.532,14.686,331.942,32.028,1000
poolAndRewire,20,0.0,0.9088,16481.2511,6376.8621,134.008,35.112,23.409,448.702,61.042,1000
poolAndRewire,20,1.0,0.9069,16415.8167,6446.6764,132.997,34.805,23.572,452.675,61.79,1000
poolAndRewire,20,2.0,0.894,16429.882,6602.1594,132.358,34.815,23.563,452.771,61.88,1000
poolAndRewire,20,3.0,0.8811,16523.4469,6843.1883,133.232,34.777,23.648,457.458,62.368,1000
poolAndRewire,20,4.0,0.8668,16696.5115,7143.2726,133.134,34.56,23.976,465.272,63.627,1000
poolAndRewire,20,6.0,0.7991,17281.1396,8104.4692,132.067,33.732,24.861,489.57,66.175,1000
poolAndRewire,20,8.0,0.7344,17379.721,9039.6121,128.425,34.15,25.453,507.786,66.426,1000
poolAndRewire,20,10.0,0.6659,16338.1553,10059.9153,112.353,31.639,26.095,533.18,65.627,1000
poolAndRewire,20,12.0,0.5687,17263.9273,11318.3798,105.725,29.1,26.269,553.606,64.542,1000
poolAndRewire,20,16.0,0.4487,19465.9672,14427.1292,95.529,26.532,26.302,575.792,63.393,1000
poolAndRewire,50,0.0,0.9619,16481.2511,6376.8621,134.008,35.112,52.77,915.158,112.639,1000
poolAndRewire,50,1.0,0.9608,16415.8167,6446.6764,132.997,34.805,52.942,919.626,114.391,1000
poolAndRewire,50,2.0,0.9534,16429.882,6602.1594,132.358,34.815,53.039,923.086,115.363,1000
poolAndRewire,50,3.0,0.9452,16523.4469,6843.1883,133.232,34.777,53.108,929.638,117.127,1000
poolAndRewire,50,4.0,0.9367,16696.5115,7143.2726,133.134,34.56,53.442,939.676,120.939,1000
poolAndRewire,50,6.0,0.8948,17281.1396,8104.4692,132.067,33.732,54.559,977.481,129.683,1000
poolAndRewire,50,8.0,0.8373,17379.721,9039.6121,128.425,34.15,55.82,1024.328,135.912,1000
poolAndRewire,50,10.0,0.7753,16338.1553,10059.9153,112.353,31.639,57.149,1079.694,141.914,1000
poolAndRewire,50,12.0,0.6896,17263.9273,11318.3798,105.725,29.1,57.483,1123.575,145.203,1000
poolAndRewire,50,16.0,0.571,19465.9672,14427.1292,95.529,26.532,57.371,1187.056,147.871,1000
poolAndRewire,100,0.0,0.9799,16481.2511,6376.8621,134.008,35.112,102.114,1611.322,182.897,1000
poolAndRewire,100,1.0,0.9773,16415.8167,6446.6764,132.997,34.805,102.335,1618.126,185.756,1000
poolAndRewire,100,2.0,0.9738,16429.882,6602.1594,132.358,34.815,102.658,1628.409,187.319,1000
poolAndRewire,100,3.0,0.9707,16523.4469,6843.1883,133.232,34.777,102.753,1636.948,190.77,1000
poolAndRewire,100,4.0,0.9642,16696.5115,7143.2726,133.134,34.56,103.09,1650.465,196.778,1000
poolAndRewire,100,6.0,0.9391,17281.1396,8104.4692,132.067,33.732,104.781,1716.924,214.818,1000
poolAndRewire,100,8.0,0.8942,17379.721,9039.6121,128.425,34.15,105.663,1781.847,227.919,1000
poolAndRewire,100,10.0,0.8424,16338.1553,10059.9153,112.353,31.639,107.23,1867.857,244.297,1000
poolAndRewire,100,12.0,0.7614,17263.9273,11318.3798,105.725,29.1,108.159,1968.686,255.936,1000
poolAndRewire,100,16.0,0.6654,19465.9672,14427.1292,95.529,26.532,106.486,2073.271,267.179,1000
poolAndRewire,200,0.0,0.9894,16481.2511,6376.8621,134.008,35.112,201.724,2857.019,307.48,1000
poolAndRewire,200,1.0,0.9879,16415.8167,6446.6764,132.997,34.805,201.82,2863.833,312.291,1000
poolAndRewire,200,2.0,0.9864,16429.882,6602.1594,132.358,34.815,202.136,2881.123,315.552,1000
poolAndRewire,200,3.0,0.9877,16523.4469,6843.1883,133.232,34.777,202.736,2902.586,321.691,1000
poolAndRewire,200,4.0,0.9824,16696.5115,7143.2726,133.134,34.56,202.982,2927.748,329.446,1000
poolAndRewire,200,6.0,0.9641,17281.1396,8104.4692,132.067,33.732,205.403,3039.498,360.473,1000
poolAndRewire,200,8.0,0.926,17379.721,9039.6121,128.425,34.15,206.386,3169.483,384.339,1000
poolAndRewire,200,10.0,0.8882,16338.1553,10059.9153,112.353,31.639,208.396,3315.812,416.618,1000
poolAndRewire,200,12.0,0.8215,17263.9273,11318.3798,105.725,29.1,208.208,3484.619,443.136,1000
poolAndRewire,200,16.0,0.7518,19465.9672,14427.1292,95.529,26.532,207.305,3756.983,474.837,1000
poolAndRewire,500,0.0,0.9971,16481.2511,6376.8621,134.008,35.112,501.259,6073.995,631.566,1000
poolAndRewire,500,1.0,0.9962,16415.8167,6446.6764,132.997,34.805,501.754,6096.342,638.24,1000
poolAndRewire,500,2.0,0.9961,16429.882,6602.1594,132.358,34.815,502.461,6132.128,645.922,1000
poolAndRewire,500,3.0,0.9964,16523.4469,6843.1883,133.232,34.777,502.591,6173.353,656.211,1000
poolAndRewire,500,4.0,0.9932,16696.5115,7143.2726,133.134,34.56,503.386,6241.201,669.854,1000
poolAndRewire,500,6.0,0.9831,17281.1396,8104.4692,132.067,33.732,507.138,6467.237,727.023,1000
poolAndRewire,500,8.0,0.9617,17379.721,9039.6121,128.425,34.15,510.093,6772.715,782.34,1000
poolAndRewire,500,10.0,0.9297,16338.1553,10059.9153,112.353,31.639,510.685,7111.392,845.392,1000
poolAndRewire,500,12.0,0.8835,17263.9273,11318.3798,105.725,29.1,512.037,7537.442,914.835,1000
poolAndRewire,500,16.0,0.8274,19465.9672,14427.1292,95.529,26.532,507.269,8228.975,997.1,1000
