strategy,ef_search,hardness_bin,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
hardness_adaptive,200,3,0.1,0.1,0.9997,196816.3538,55121.93,129.1656,39.5004,600.1484,8158.8284,727.1468,5000
hardness_adaptive,200,4,0.1,0.2,0.9996,205910.9946,80226.088,122.4222,36.5772,600.5574,10114.68,931.8992,5000
hardness_adaptive,200,5,0.2,0.3,0.9994,211035.2696,70545.7416,128.7828,38.0658,600.2742,9452.2984,858.152,5000
hardness_adaptive,200,6,0.3,0.3,0.9993,208445.653,62863.4768,131.0278,40.0912,600.1888,8998.0378,830.3446,5000
hardness_adaptive,200,7,0.3,0.4,0.9964,206385.284,89584.0618,118.4564,35.4222,600.9308,11000.8688,1072.2944,5000
hardness_adaptive,200,8,0.4,0.6,0.995,203375.6246,89223.9632,118.6852,35.5188,600.8528,11055.2314,1085.0896,5000
hardness_adaptive,200,9,0.6,1.0,0.9948,212591.2992,81611.6994,126.5364,37.482,600.4692,10606.7232,1034.8944,5000
hardness_adaptive,500,1,0.0,0.0,0.9999,197086.2706,41344.6594,129.123,39.682,1499.9118,14707.6376,1289.6446,5000
hardness_adaptive,500,2,0.0,0.1,1.0,209717.2612,68177.3108,127.4066,38.4546,1500.209,19527.7124,1683.2376,5000
hardness_adaptive,500,3,0.1,0.1,0.9999,196816.3538,55121.93,129.1656,39.5004,1500.1292,17492.4776,1534.7582,5000
hardness_adaptive,500,4,0.1,0.2,0.9999,205910.9946,80226.088,122.4222,36.5772,1500.3066,22131.4636,1965.2646,5000
hardness_adaptive,500,5,0.2,0.3,0.9999,211035.2696,70545.7416,128.7828,38.0658,1500.1808,20520.7828,1810.6784,5000
hardness_adaptive,500,6,0.3,0.3,0.9999,208445.653,62863.4768,131.0278,40.0912,1500.1456,19412.3338,1742.9664,5000
hardness_adaptive,500,7,0.3,0.4,0.9995,206385.284,89584.0618,118.4564,35.4222,1500.4816,24309.3036,2240.5892,5000
hardness_adaptive,500,8,0.4,0.6,0.9992,203375.6246,89223.9632,118.6852,35.5188,1500.4564,24435.6668,2265.6244,5000
hardness_adaptive,500,9,0.6,1.0,0.9992,212591.2992,81611.6994,126.5364,37.482,1500.2746,23310.986,2162.3386,5000
no_adaptation,10,1,0.0,0.0,0.901,260630.2234,43310.9298,142.4676,38.2914,12.2204,241.4522,31.0642,5000
no_adaptation,10,2,0.0,0.1,0.7955,271659.955,75881.5338,134.0012,33.9432,15.1642,342.8134,39.8856,5000
no_adaptation,10,3,0.1,0.1,0.7741,264467.2876,57644.3782,140.3338,37.5414,12.8948,275.4466,32.5498,5000
no_adaptation,10,4,0.1,0.2,0.5794,272869.1822,88269.8924,130.0496,31.8826,17.2042,406.361,40.9834,5000
no_adaptation,10,5,0.2,0.3,0.6501,271164.4738,74859.9728,136.608,35.4982,14.1172,322.3534,35.642,5000
no_adaptation,10,6,0.3,0.3,0.5851,263827.1128,65249.374,139.9052,38.2926,12.9006,282.8576,31.505,5000
no_adaptation,10,7,0.3,0.4,0.3255,271088.3298,98426.575,127.5774,30.872,18.1944,441.4202,40.346,5000
no_adaptation,10,8,0.4,0.6,0.3216,269819.2658,97173.386,128.7358,31.0316,17.6316,427.8934,39.5858,5000
no_adaptation,10,9,0.6,1.0,0.3213,270566.1862,84889.687,134.776,35.0488,13.8266,325.1698,33.7606,5000
no_adaptation,50,1,0.0,0.0,1.0,260630.2234,43310.9298,142.4676,38.2914,50.7758,851.605,97.455,5000
no_adaptation,50,2,0.0,0.1,1.0,271659.955,75881.5338,134.0012,33.9432,52.551,1060.9946,140.1582,5000
no_adaptation,50,3,0.1,0.1,0.9745,264467.2876,57644.3782,140.3338,37.5414,51.1352,968.3134,113.0338,5000
no_adaptation,50,4,0.1,0.2,0.9527,272869.1822,88269.8924,130.0496,31.8826,54.2976,1182.2094,162.1654,5000
no_adaptation,50,5,0.2,0.3,0.9271,271164.4738,74859.9728,136.608,35.4982,52.025,1083.511,133.7416,5000
no_adaptation,50,6,0.3,0.3,0.8999,263827.1128,65249.374,139.9052,38.2926,51.4098,1032.0974,120.6674,5000
no_adaptation,50,7,0.3,0.4,0.8254,271088.3298,98426.575,127.5774,30.872,57.3522,1307.8674,177.9606,5000
no_adaptation,50,8,0.4,0.6,0.7728,269819.2658,97173.386,128.7358,31.0316,56.5528,1291.4906,172.71,5000
no_adaptation,50,9,0.6,1.0,0.7277,270566.1862,84889.687,134.776,35.0488,53.4412,1184.8468,143.0698,5000
no_adaptation,100,1,0.0,0.0,1.0,260630.2234,43310.9298,142.4676,38.2914,100.478,1534.4058,154.074,5000
no_adaptation,100,2,0.0,0.1,1.0,271659.955,75881.5338,134.0012,33.9432,101.7984,1915.4058,219.8222,5000
no_adaptation,100,3,0.1,0.1,0.9943,264467.2876,57644.3782,140.3338,37.5414,100.7232,1765.763,183.845,5000
no_adaptation,100,4,0.1,0.2,0.9825,272869.1822,88269.8924,130.0496,31.8826,102.98,2117.4662,264.6838,5000
no_adaptation,100,5,0.2,0.3,0.9767,271164.4738,74859.9728,136.608,35.4982,101.3266,1983.1018,219.783,5000
no_adaptation,100,6,0.3,0.3,0.9688,263827.1128,65249.374,139.9052,38.2926,100.848,1900.5282,204.0654,5000
no_adaptation,100,7,0.3,0.4,0.9197,271088.3298,98426.575,127.5774,30.872,104.7476,2281.9352,300.877,5000
no_adaptation,100,8,0.4,0.6,0.893,269819.2658,97173.386,128.7358,31.0316,104.2744,2278.5762,294.2448,5000
no_adaptation,100,9,0.6,1.0,0.8804,270566.1862,84889.687,134.776,35.0488,101.9392,2159.6726,249.8166,5000
no_adaptation,200,1,0.0,0.0,1.0,260630.2234,43310.9298,142.4676,38.2914,200.2826,2755.9648,254.0788,5000
no_adaptation,200,2,0.0,0.1,1.0,271659.955,75881.5338,134.0012,33.9432,201.2254,3495.24,349.0592,5000
no_adaptation,200,3,0.1,0.1,0.9987,264467.2876,57644.3782,140.3338,37.5414,200.4452,3211.2974,306.426,5000
no_adaptation,200,4,0.1,0.2,0.9952,272869.1822,88269.8924,130.0496,31.8826,202.0426,3880.8406,425.8784,5000
no_adaptation,200,5,0.2,0.3,0.994,271164.4738,74859.9728,136.608,35.4982,200.8468,3647.5666,364.8788,5000
no_adaptation,200,6,0.3,0.3,0.992,263827.1128,65249.374,139.9052,38.2926,200.5286,3494.5262,347.4742,5000
no_adaptation,200,7,0.3,0.4,0.9701,271088.3298,98426.575,127.5774,30.872,203.1466,4177.8776,496.3698,5000
no_adaptation,200,8,0.4,0.6,0.9616,269819.2658,97173.386,128.7358,31.0316,202.7792,4188.4312,489.5116,5000
no_adaptation,200,9,0.6,1.0,0.9571,270566.1862,84889.687,134.776,35.0488,201.1786,4016.2992,431.8702,5000
no_adaptation,500,1,0.0,0.0,1.0,260630.2234,43310.9298,142.4676,38.2914,500.1502,5928.7452,524.0844,5000
no_adaptation,500,2,0.0,0.1,1.0,271659.955,75881.5338,134.0012,33.9432,500.707,7704.683,690.5172,5000
no_adaptation,500,3,0.1,0.1,0.9997,264467.2876,57644.3782,140.3338,37.5414,500.2258,7000.321,628.9836,5000
no_adaptation,500,4,0.1,0.2,0.9993,272869.1822,88269.8924,130.0496,31.8826,501.209,8647.3784,820.3508,5000
no_adaptation,500,5,0.2,0.3,0.9993,271164.4738,74859.9728,136.608,35.4982,500.4878,8086.4426,743.4222,5000
no_adaptation,500,6,0.3,0.3,0.9989,263827.1128,65249.374,139.9052,38.2926,500.2666,7705.9684,718.64,5000
no_adaptation,500,7,0.3,0.4,0.9946,271088.3298,98426.575,127.5774,30.872,501.886,9390.3556,955.518,5000
no_adaptation,500,8,0.4,0.6,0.9924,269819.2658,97173.386,128.7358,31.0316,501.6008,9430.9226,956.8288,5000
no_adaptation,500,9,0.6,1.0,0.9926,270566.1862,84889.687,134.776,35.0488,500.6364,9046.426,896.5684,5000
poolAndRewire,10,1,0.0,0.0,0.9089,197973.014,41481.1662,127.669,39.2824,12.1034,239.0926,30.0052,5000
poolAndRewire,10,2,0.0,0.1,0.8341,216845.8382,67915.0118,126.2678,37.3254,14.2786,322.3028,35.449,5000
poolAndRewire,10,3,0.1,0.1,0.792,219084.3878,55105.7486,132.9896,38.8516,12.7684,272.982,31.3184,5000
poolAndRewire,10,4,0.1,0.2,0.6753,217211.1348,79472.288,125.5614,36.3026,15.546,366.796,35.6592,5000
poolAndRewire,10,5,0.2,0.3,0.6844,211235.5336,70536.9218,129.293,37.844,13.9092,317.9448,33.586,5000
poolAndRewire,10,6,0.3,0.3,0.6159,218316.4176,63474.4738,133.3072,38.8892,13.0208,286.1392,30.9036,5000
poolAndRewire,10,7,0.3,0.4,0.4811,210795.5722,88621.8894,123.5526,35.0818,15.9804,386.8406,35.0758,5000
poolAndRewire,10,8,0.4,0.6,0.4407,220508.2292,88406.2306,127.1152,35.1668,15.8006,382.7808,34.8506,5000
poolAndRewire,10,9,0.6,1.0,0.3931,223522.8332,81578.6098,130.3102,36.63,14.0116,330.3804,32.4256,5000
poolAndRewire,50,1,0.0,0.0,0.9999,197973.014,41481.1662,127.669,39.2824,50.6648,849.599,95.4684,5000
poolAndRewire,50,2,0.0,0.1,0.9997,216845.8382,67915.0118,126.2678,37.3254,51.844,1045.288,128.2028,5000
poolAndRewire,50,3,0.1,0.1,0.9749,219084.3878,55105.7486,132.9896,38.8516,51.0194,966.1696,110.894,5000
poolAndRewire,50,4,0.1,0.2,0.9537,217211.1348,79472.288,125.5614,36.3026,53.0534,1153.2392,145.1832,5000
poolAndRewire,50,5,0.2,0.3,0.9292,211235.5336,70536.9218,129.293,37.844,51.8162,1079.2612,129.4846,5000
poolAndRewire,50,6,0.3,0.3,0.9029,218316.4176,63474.4738,133.3072,38.8892,51.4324,1032.8944,120.574,5000
poolAndRewire,50,7,0.3,0.4,0.8352,210795.5722,88621.8894,123.5526,35.0818,55.2254,1257.1808,157.2638,5000
poolAndRewire,50,8,0.4,0.6,0.7869,220508.2292,88406.2306,127.1152,35.1668,55.0478,1255.8934,155.7882,5000
poolAndRewire,50,9,0.6,1.0,0.7449,223522.8332,81578.6098,130.3102,36.63,53.6334,1189.6838,142.0626,5000
poolAndRewire,100,1,0.0,0.0,0.9999,197973.014,41481.1662,127.669,39.2824,100.3802,1532.7534,152.3542,5000
poolAndRewire,100,2,0.0,0.1,1.0,216845.8382,67915.0118,126.2678,37.3254,101.1828,1902.1648,206.778,5000
poolAndRewire,100,3,0.1,0.1,0.9943,219084.3878,55105.7486,132.9896,38.8516,100.5994,1763.625,182.1106,5000
poolAndRewire,100,4,0.1,0.2,0.9826,217211.1348,79472.288,125.5614,36.3026,101.9074,2093.0292,243.4432,5000
poolAndRewire,100,5,0.2,0.3,0.977,211235.5336,70536.9218,129.293,37.844,101.107,1978.7496,215.9722,5000
poolAndRewire,100,6,0.3,0.3,0.9691,218316.4176,63474.4738,133.3072,38.8892,100.812,1900.2254,204.6562,5000
poolAndRewire,100,7,0.3,0.4,0.9222,210795.5722,88621.8894,123.5526,35.0818,103.075,2242.3746,272.2146,5000
poolAndRewire,100,8,0.4,0.6,0.8957,220508.2292,88406.2306,127.1152,35.1668,103.061,2250.1286,271.935,5000
poolAndRewire,100,9,0.6,1.0,0.8842,223522.8332,81578.6098,130.3102,36.63,101.911,2159.6076,250.3728,5000
poolAndRewire,200,1,0.0,0.0,1.0,197973.014,41481.1662,127.669,39.2824,200.215,2754.8342,252.747,5000
poolAndRewire,200,2,0.0,0.1,1.0,216845.8382,67915.0118,126.2678,37.3254,200.714,3484.576,337.8208,5000
poolAndRewire,200,3,0.1,0.1,0.9987,219084.3878,55105.7486,132.9896,38.8516,200.3362,3209.434,305.0022,5000
poolAndRewire,200,4,0.1,0.2,0.9952,217211.1348,79472.288,125.5614,36.3026,201.1726,3861.6182,404.127,5000
poolAndRewire,200,5,0.2,0.3,0.9941,211235.5336,70536.9218,129.293,37.844,200.6414,3643.6202,362.079,5000
poolAndRewire,200,6,0.3,0.3,0.9921,218316.4176,63474.4738,133.3072,38.8892,200.4748,3493.8038,348.391,5000
poolAndRewire,200,7,0.3,0.4,0.9706,210795.5722,88621.8894,123.5526,35.0818,201.8524,4147.8534,462.6802,5000
poolAndRewire,200,8,0.4,0.6,0.9619,220508.2292,88406.2306,127.1152,35.1668,201.795,4166.0716,464.7262,5000
poolAndRewire,200,9,0.6,1.0,0.9577,223522.8332,81578.6098,130.3102,36.63,201.1012,4015.2416,433.3444,5000
poolAndRewire,500,1,0.0,0.0,1.0,197973.014,41481.1662,127.669,39.2824,500.1132,5928.1812,523.1866,5000
poolAndRewire,500,2,0.0,0.1,1.0,216845.8382,67915.0118,126.2678,37.3254,500.3536,7697.6962,682.763,5000
poolAndRewire,500,3,0.1,0.1,0.9997,219084.3878,55105.7486,132.9896,38.8516,500.165,6999.3114,627.7568,5000
poolAndRewire,500,4,0.1,0.2,0.9994,217211.1348,79472.288,125.5614,36.3026,500.5702,8633.7764,805.2998,5000
poolAndRewire,500,5,0.2,0.3,0.9993,211235.5336,70536.9218,129.293,37.844,500.3378,8083.7764,740.92,5000
poolAndRewire,500,6,0.3,0.3,0.9989,218316.4176,63474.4738,133.3072,38.8892,500.2322,7705.4878,718.3822,5000
poolAndRewire,500,7,0.3,0.4,0.9947,210795.5722,88621.8894,123.5526,35.0818,500.9298,9369.1526,928.8416,5000
poolAndRewire,500,8,0.4,0.6,0.9924,220508.2292,88406.2306,127.1152,35.1668,500.8932,9415.6674,938.8638,5000
poolAndRewire,500,9,0.6,1.0,0.9926,223522.8332,81578.6098,130.3102,36.63,500.5464,9044.799,896.1984,5000
