strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries,mean_t_query_ms,mean_t_global_knn_ms,mean_t_orig_knn_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms
hardness_adaptive,100,7,6,True,0.3,0.3,0.9969,210027.5132,63121.0406,132.0304,40.2332,300.3156,4983.3998,479.0634,5000,1.9084,1.0054,,0.3948,0.4447,1.4271
hardness_adaptive,100,8,7,False,0.3,0.4,0.986,209362.095,89832.5157,119.2767,35.0307,301.6003,5990.1097,639.0157,3000,2.0458,1.0569,,0.4003,0.5193,1.8983
hardness_adaptive,100,9,8,False,0.4,0.6,0.9807,211457.6117,89605.3707,119.9773,35.698,301.4783,6003.793,641.9467,3000,2.0552,1.0597,,0.4009,0.522,1.9037
hardness_adaptive,100,10,9,False,0.6,1.0,0.9798,218059.511,81875.121,127.479,37.608,300.737,5779.3957,596.3577,3000,2.0937,1.1259,,0.396,0.5041,1.8639
hardness_adaptive,100,11,9,True,0.6,1.0,0.9797,220619.0536,81390.9538,128.128,37.8868,300.7424,5765.0728,596.9982,5000,2.1112,1.1164,,0.4,0.5271,1.4807
hardness_adaptive,200,0,1,False,0.0,0.0,1.0,204361.859,41374.9133,129.94,40.4487,599.9603,6889.889,607.672,3000,2.7444,1.4401,,0.4189,0.7999,1.6261
hardness_adaptive,200,1,2,False,0.0,0.1,1.0,211176.2733,68252.9143,126.312,37.833,600.3393,8989.7807,793.0913,3000,4.3724,2.5875,,0.4447,1.2447,2.0643
hardness_adaptive,200,2,3,False,0.1,0.1,0.9999,207436.6977,55198.5157,131.5893,40.431,600.1403,8178.505,728.1797,3000,3.473,1.9325,,0.4275,1.0223,1.8537
hardness_adaptive,200,3,3,True,0.1,0.1,0.9998,212804.4778,54983.1312,131.2566,39.9382,600.1444,8167.146,726.1388,5000,3.191,1.6427,,0.4387,1.0248,1.4783
hardness_adaptive,200,4,4,False,0.1,0.2,0.9995,211608.1293,80213.9213,124.4703,36.6867,600.5693,10143.9463,931.6477,3000,3.9935,2.0429,,0.4573,1.3915,1.9666
hardness_adaptive,200,5,5,False,0.2,0.3,0.9996,222433.7953,70831.7483,130.206,38.136,600.3077,9451.3913,858.3703,3000,3.5883,1.8024,,0.4468,1.2412,1.9058
hardness_adaptive,200,6,6,False,0.3,0.3,0.9993,215557.0253,62970.987,131.25,40.013,600.2067,9018.0213,832.5747,3000,3.4585,1.759,,0.4425,1.1622,1.8728
hardness_adaptive,200,7,6,True,0.3,0.3,0.9993,215993.1642,63092.5794,133.1256,40.1732,600.197,9022.7036,833.2654,5000,3.5465,1.8386,,0.4421,1.1759,1.4908
hardness_adaptive,200,8,7,False,0.3,0.4,0.9963,211663.8173,89748.429,118.891,34.7127,600.947,11055.2673,1080.5547,3000,4.1003,1.974,,0.4628,1.5627,2.0339
hardness_adaptive,200,9,8,False,0.4,0.6,0.9945,212883.834,89683.938,119.7103,35.5623,600.9043,11092.8557,1090.8693,3000,4.3146,2.1611,,0.467,1.5841,2.0336
hardness_adaptive,200,10,9,False,0.6,1.0,0.995,220232.8943,81848.9013,128.0627,37.747,600.4437,10645.0867,1035.5547,3000,4.0738,2.0253,,0.4573,1.4844,1.95
hardness_adaptive,200,11,9,True,0.6,1.0,0.9947,222789.4104,81243.2732,128.8568,37.9266,600.4504,10611.9792,1035.2898,5000,4.0462,2.0027,,0.458,1.4809,1.5771
hardness_adaptive,500,0,1,False,0.0,0.0,1.0,191388.7807,41414.516,127.243,40.1,1499.78,14701.123,1289.084,3000,5.5456,2.6026,,0.5106,2.2654,1.0844
hardness_adaptive,500,1,2,False,0.0,0.1,1.0,209111.606,68186.6307,125.298,37.4093,1500.2,19499.7463,1685.2833,3000,6.6344,3.0808,,0.5112,2.864,1.7043
hardness_adaptive,500,2,3,False,0.1,0.1,0.9999,212880.8737,55259.043,131.31,40.1137,1500.1433,17545.7153,1535.803,3000,6.2026,2.8837,,0.5039,2.6268,1.535
hardness_adaptive,500,3,3,True,0.1,0.1,0.9999,212637.422,54937.606,130.1284,39.76,1500.1222,17515.547,1531.914,5000,6.6673,2.8777,,0.5007,2.6172,1.2539
hardness_adaptive,500,4,4,False,0.1,0.2,1.0,217653.7643,79983.7127,125.3313,36.9543,1500.3413,22207.2477,1967.711,3000,7.1983,3.3371,,0.5105,3.1698,1.7893
