strategy,ef_search,hardness_bin,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,500,7,0.3,0.4,0.9946,271088.3298,98426.575,127.5774,30.872,501.886,9390.3556,955.518,5000
no_adaptation,500,8,0.4,0.6,0.9924,269819.2658,97173.386,128.7358,31.0316,501.6008,9430.9226,956.8288,5000
no_adaptation,500,9,0.6,1.0,0.9926,270566.1862,84889.687,134.776,35.0488,500.6364,9046.426,896.5684,5000
poolAndRewire,10,1,0.0,0.0,0.9089,197973.014,41481.1662,127.669,39.2824,12.1034,239.0926,30.0052,5000
poolAndRewire,10,2,0.0,0.1,0.8341,216845.8382,67915.0118,126.2678,37.3254,14.2786,322.3028,35.449,5000
poolAndRewire,10,3,0.1,0.1,0.792,219084.3878,55105.7486,132.9896,38.8516,12.7684,272.982,31.3184,5000
poolAndRewire,10,4,0.1,0.2,0.6753,217211.1348,79472.288,125.5614,36.3026,15.546,366.796,35.6592,5000
poolAndRewire,10,5,0.2,0.3,0.6844,211235.5336,70536.9218,129.293,37.844,13.9092,317.9448,33.586,5000
poolAndRewire,10,6,0.3,0.3,0.6159,218316.4176,63474.4738,133.3072,38.8892,13.0208,286.1392,30.9036,5000
poolAndRewire,10,7,0.3,0.4,0.4811,210795.5722,88621.8894,123.5526,35.0818,15.9804,386.8406,35.0758,5000
poolAndRewire,10,8,0.4,0.6,0.4407,220508.2292,88406.2306,127.1152,35.1668,15.8006,382.7808,34.8506,5000
poolAndRewire,10,9,0.6,1.0,0.3931,223522.8332,81578.6098,130.3102,36.63,14.0116,330.3804,32.4256,5000
poolAndRewire,50,1,0.0,0.0,0.9999,197973.014,41481.1662,127.669,39.2824,50.6648,849.599,95.4684,5000
poolAndRewire,50,2,0.0,0.1,0.9997,216845.8382,67915.0118,126.2678,37.3254,51.844,1045.288,128.2028,5000
poolAndRewire,50,3,0.1,0.1,0.9749,219084.3878,55105.7486,132.9896,38.8516,51.0194,966.1696,110.894,5000
poolAndRewire,50,4,0.1,0.2,0.9537,217211.1348,79472.288,125.5614,36.3026,53.0534,1153.2392,145.1832,5000
poolAndRewire,50,5,0.2,0.3,0.9292,211235.5336,70536.9218,129.293,37.844,51.8162,1079.2612,129.4846,5000
poolAndRewire,50,6,0.3,0.3,0.9029,218316.4176,63474.4738,133.3072,38.8892,51.4324,1032.8944,120.574,5000
poolAndRewire,50,7,0.3,0.4,0.8352,210795.5722,88621.8894,123.5526,35.0818,55.2254,1257.1808,157.2638,5000
poolAndRewire,50,8,0.4,0.6,0.7869,220508.2292,88406.2306,127.1152,35.1668,55.0478,1255.8934,155.7882,5000
poolAndRewire,50,9,0.6,1.0,0.7449,223522.8332,81578.6098,130.3102,36.63,53.6334,1189.6838,142.0626,5000
poolAndRewire,100,1,0.0,0.0,0.9999,197973.014,41481.1662,127.669,39.2824,100.3802,1532.7534,152.3542,5000
poolAndRewire,100,2,0.0,0.1,1.0,216845.8382,67915.0118,126.2678,37.3254,101.1828,1902.1648,206.778,5000
poolAndRewire,100,3,0.1,0.1,0.9943,219084.3878,55105.7486,132.9896,38.8516,100.5994,1763.625,182.1106,5000
poolAndRewire,100,4,0.1,0.2,0.9826,217211.1348,79472.288,125.5614,36.3026,101.9074,2093.0292,243.4432,5000
poolAndRewire,100,5,0.2,0.3,0.977,211235.5336,70536.9218,129.293,37.844,101.107,1978.7496,215.9722,5000
poolAndRewire,100,6,0.3,0.3,0.9691,218316.4176,63474.4738,133.3072,38.8892,100.812,1900.2254,204.6562,5000
poolAndRewire,100,7,0.3,0.4,0.9222,210795.5722,88621.8894,123.5526,35.0818,103.075,2242.3746,272.2146,5000
poolAndRewire,100,8,0.4,0.6,0.8957,220508.2292,88406.2306,127.1152,35.1668,103.061,2250.1286,271.935,5000
poolAndRewire,100,9,0.6,1.0,0.8842,223522.8332,81578.6098,130.3102,36.63,101.911,2159.6076,250.3728,5000
