strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,500,0.0,0.9967,15852.6229,6411.6412,131.442,36.422,501.312,6076.417,633.556,1000
no_adaptation,500,1.0,0.9959,16024.4752,6500.2142,132.927,36.663,501.803,6099.926,642.317,1000
no_adaptation,500,2.0,0.9956,16275.827,6661.835,132.261,36.383,502.546,6138.164,654.187,1000
no_adaptation,500,3.0,0.9961,16606.6785,6885.6263,131.519,35.443,503.903,6199.388,668.749,1000
no_adaptation,500,4.0,0.992,17017.0298,7209.7923,131.214,35.942,505.529,6288.388,688.471,1000
no_adaptation,500,6.0,0.9806,18076.2312,8187.5576,129.006,34.744,508.525,6511.726,745.281,1000
no_adaptation,500,8.0,0.9582,19453.4311,9262.9173,127.014,33.228,511.833,6827.9,810.972,1000
no_adaptation,500,10.0,0.9173,21148.6297,10554.7047,124.878,31.388,511.68,7187.495,875.128,1000
no_adaptation,500,12.0,0.8696,23161.8269,11920.7963,125.626,31.171,513.135,7623.508,935.635,1000
no_adaptation,500,16.0,0.8136,28142.2172,15132.9787,127.139,30.112,507.629,8270.285,1010.543,1000
poolAndRewire,10,0.0,0.8365,15852.6229,6411.6412,131.442,36.422,13.456,273.318,37.036,1000
poolAndRewire,10,1.0,0.8199,16024.4752,6500.2142,132.927,36.663,13.521,275.565,36.574,1000
poolAndRewire,10,2.0,0.8131,16275.827,6661.835,132.261,36.383,13.706,279.736,37.318,1000
poolAndRewire,10,3.0,0.786,16606.6785,6885.6263,131.519,35.443,13.967,286.673,37.359,1000
poolAndRewire,10,4.0,0.7618,17017.0298,7209.7923,131.214,35.942,14.407,297.252,37.388,1000
poolAndRewire,10,6.0,0.6749,18076.2312,8187.5576,129.006,34.744,14.833,310.073,38.158,1000
poolAndRewire,10,8.0,0.5669,19453.4311,9262.9173,127.014,33.228,15.245,322.807,37.7,1000
poolAndRewire,10,10.0,0.5156,16822.7522,10183.8033,106.773,29.66,15.029,324.694,34.351,1000
poolAndRewire,10,12.0,0.4496,17308.4794,11363.9784,97.782,27.129,14.892,327.067,32.799,1000
poolAndRewire,10,16.0,0.3502,18772.6775,14174.9167,84.089,22.717,14.335,326.018,30.423,1000
poolAndRewire,20,0.0,0.9072,15852.6229,6411.6412,131.442,36.422,23.332,449.002,60.624,1000
poolAndRewire,20,1.0,0.9017,16024.4752,6500.2142,132.927,36.663,23.617,454.71,61.32,1000
poolAndRewire,20,2.0,0.8924,16275.827,6661.835,132.261,36.383,23.893,461.576,62.576,1000
poolAndRewire,20,3.0,0.8722,16606.6785,6885.6263,131.519,35.443,24.087,467.654,63.784,1000
poolAndRewire,20,4.0,0.8486,17017.0298,7209.7923,131.214,35.942,24.52,479.317,65.09,1000
poolAndRewire,20,6.0,0.7891,18076.2312,8187.5576,129.006,34.744,25.573,508.465,69.133,1000
poolAndRewire,20,8.0,0.7013,19453.4311,9262.9173,127.014,33.228,26.415,533.671,70.378,1000
poolAndRewire,20,10.0,0.6326,16822.7522,10183.8033,106.773,29.66,26.634,551.22,66.198,1000
poolAndRewire,20,12.0,0.5493,17308.4794,11363.9784,97.782,27.129,26.501,563.524,63.851,1000
poolAndRewire,20,16.0,0.4427,18772.6775,14174.9167,84.089,22.717,26.074,573.144,60.759,1000
poolAndRewire,50,0.0,0.9603,15852.6229,6411.6412,131.442,36.422,52.693,916.172,112.554,1000
poolAndRewire,50,1.0,0.9599,16024.4752,6500.2142,132.927,36.663,53.047,924.522,114.639,1000
poolAndRewire,50,2.0,0.9518,16275.827,6661.835,132.261,36.383,53.26,929.717,117.809,1000
poolAndRewire,50,3.0,0.9438,16606.6785,6885.6263,131.519,35.443,53.768,944.885,121.244,1000
poolAndRewire,50,4.0,0.9292,17017.0298,7209.7923,131.214,35.942,54.322,963.149,125.802,1000
poolAndRewire,50,6.0,0.8923,18076.2312,8187.5576,129.006,34.744,55.92,1010.414,137.85,1000
poolAndRewire,50,8.0,0.8219,19453.4311,9262.9173,127.014,33.228,56.857,1054.331,144.839,1000
poolAndRewire,50,10.0,0.7511,16822.7522,10183.8033,106.773,29.66,57.907,1107.721,145.516,1000
poolAndRewire,50,12.0,0.67,17308.4794,11363.9784,97.782,27.129,57.907,1143.272,146.215,1000
poolAndRewire,50,16.0,0.5701,18772.6775,14174.9167,84.089,22.717,57.614,1195.223,145.354,1000
poolAndRewire,100,0.0,0.9791,15852.6229,6411.6412,131.442,36.422,102.129,1613.333,183.722,1000
poolAndRewire,100,1.0,0.9759,16024.4752,6500.2142,132.927,36.663,102.428,1622.789,187.17,1000
poolAndRewire,100,2.0,0.9736,16275.827,6661.835,132.261,36.383,103.035,1636.345,192.4,1000
poolAndRewire,100,3.0,0.9686,16606.6785,6885.6263,131.519,35.443,103.403,1654.42,197.955,1000
poolAndRewire,100,4.0,0.9582,17017.0298,7209.7923,131.214,35.942,103.865,1674.578,205.574,1000
poolAndRewire,100,6.0,0.9353,18076.2312,8187.5576,129.006,34.744,105.709,1746.116,227.304,1000
poolAndRewire,100,8.0,0.8835,19453.4311,9262.9173,127.014,33.228,107.357,1826.241,243.167,1000
poolAndRewire,100,10.0,0.8229,16822.7522,10183.8033,106.773,29.66,108.432,1912.285,252.448,1000
poolAndRewire,100,12.0,0.7446,17308.4794,11363.9784,97.782,27.129,108.577,1994.393,259.726,1000
poolAndRewire,100,16.0,0.6641,18772.6775,14174.9167,84.089,22.717,106.56,2084.205,265.856,1000
poolAndRewire,200,0.0,0.989,15852.6229,6411.6412,131.442,36.422,201.773,2859.524,308.941,1000
poolAndRewire,200,1.0,0.9883,16024.4752,6500.2142,132.927,36.663,202.225,2871.832,314.891,1000
poolAndRewire,200,2.0,0.9874,16275.827,6661.835,132.261,36.383,202.693,2889.966,322.338,1000
poolAndRewire,200,3.0,0.9851,16606.6785,6885.6263,131.519,35.443,203.316,2920.086,330.351,1000
poolAndRewire,200,4.0,0.9793,17017.0298,7209.7923,131.214,35.942,204.075,2961.114,342.894,1000
poolAndRewire,200,6.0,0.9578,18076.2312,8187.5576,129.006,34.744,205.829,3065.255,374.853,1000
poolAndRewire,200,8.0,0.9197,19453.4311,9262.9173,127.014,33.228,207.525,3202.497,404.693,1000
poolAndRewire,200,10.0,0.8779,16822.7522,10183.8033,106.773,29.66,210.269,3381.469,432.617,1000
poolAndRewire,200,12.0,0.8129,17308.4794,11363.9784,97.782,27.129,209.409,3534.178,451.72,1000
poolAndRewire,200,16.0,0.7414,18772.6775,14174.9167,84.089,22.717,207.33,3775.697,475.859,1000
poolAndRewire,500,0.0,0.9967,15852.6229,6411.6412,131.442,36.422,501.312,6076.417,633.556,1000
poolAndRewire,500,1.0,0.9959,16024.4752,6500.2142,132.927,36.663,501.803,6099.926,642.317,1000
poolAndRewire,500,2.0,0.9956,16275.827,6661.835,132.261,36.383,502.546,6138.164,654.187,1000
poolAndRewire,500,3.0,0.9961,16606.6785,6885.6263,131.519,35.443,503.903,6199.388,668.749,1000
poolAndRewire,500,4.0,0.992,17017.0298,7209.7923,131.214,35.942,505.529,6288.388,688.471,1000
poolAndRewire,500,6.0,0.9806,18076.2312,8187.5576,129.006,34.744,508.525,6511.726,745.281,1000
poolAndRewire,500,8.0,0.9582,19453.4311,9262.9173,127.014,33.228,511.833,6827.9,810.972,1000
poolAndRewire,500,10.0,0.9184,16822.7522,10183.8033,106.773,29.66,511.893,7191.737,873.418,1000
poolAndRewire,500,12.0,0.8742,17308.4794,11363.9784,97.782,27.129,514.255,7623.564,933.266,1000
poolAndRewire,500,16.0,0.8209,18772.6775,14174.9167,84.089,22.717,507.78,8263.162,1000.832,1000
