condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
static,False,32,0,0.0,0.12741731805726886,0.0,0,0,0.3430481598842938,7848.2267186830995,0.6714,False
static,False,64,0,0.0,0.21322622196748853,0.0,0,0,0.31467341800666926,4689.854703482361,0.7492000000000001,False
static,False,128,0,0.0,0.3794714380055666,0.0,0,0,0.26975277570397677,2635.2444475289617,0.8188,False
static,False,32,1,0.0,0.13458581001032144,0.0,0,0,0.34129611776285995,7430.203822552389,0.6764,False
static,False,64,1,0.0,0.22452064999379218,0.0,0,0,0.30135985134055265,4453.9333020265585,0.7667999999999999,False
static,False,128,1,0.0,0.38259123999159783,0.0,0,0,0.25490390346167713,2613.755610353131,0.832,False
static,False,32,2,0.0,0.13264813809655607,0.0,0,0,0.3219475733718147,7538.741322340226,0.6824,False
static,False,64,2,0.0,0.21868430799804628,0.0,0,0,0.2829416901059298,4572.801812597061,0.772,False
static,False,128,2,0.0,0.38824851205572486,0.0,0,0,0.23637893307145624,2575.669883974909,0.845,False
static,False,32,3,0.0,0.12878648401238024,0.0,0,0,0.3456018518468904,7764.7899751954565,0.6456,False
static,False,64,3,0.0,0.2179905059747398,0.0,0,0,0.31156097316576736,4587.355745281299,0.7324,False
static,False,128,3,0.0,0.405554165947251,0.0,0,0,0.2615965596104047,2465.7618734215307,0.8082,False
static,False,32,4,0.0,0.1285230420762673,0.0,0,0,0.3331872746669656,7780.705964044849,0.6567999999999999,False
static,False,64,4,0.0,0.21473200002219528,0.0,0,0,0.29485155587176404,4656.967754673907,0.7484000000000001,False
static,False,128,4,0.0,0.39207049808464944,0.0,0,0,0.2545014734731412,2550.5617099098754,0.817,False
static,False,32,5,0.0,0.1319826920516789,0.0,0,0,0.33465080307687894,7576.751045572262,0.6878,False
static,False,64,5,0.0,0.21725074807181954,0.0,0,0,0.295812034914065,4602.976095020931,0.7782,False
static,False,128,5,0.0,0.3796322119887918,0.0,0,0,0.2470565927070152,2634.1284233001907,0.8452000000000001,False
static,False,32,6,0.0,0.12561443797312677,0.0,0,0,0.3293393994043227,7960.868321633014,0.6834000000000001,False
static,False,64,6,0.0,0.2127845479408279,0.0,0,0,0.29101718162335366,4699.589371865877,0.7730000000000001,False
static,False,128,6,0.0,0.38294491602573544,0.0,0,0,0.2428250398949828,2611.3416268275932,0.834,False
static,False,32,7,0.0,0.1290862400783226,0.0,0,0,0.33373348648285206,7746.759061176883,0.7014,False
static,False,64,7,0.0,0.21523736789822578,0.0,0,0,0.2794602655119328,4646.033399148639,0.7986000000000001,False
static,False,128,7,0.0,0.3797637920361012,0.0,0,0,0.22972540129467617,2633.2157540309627,0.8568,False
static,False,32,8,0.0,0.14284256799146533,0.0,0,0,0.3430496174024976,7000.714241287995,0.6764000000000001,False
static,False,64,8,0.0,0.21798030799254775,0.0,0,0,0.3033463367176205,4587.570359952825,0.769,False
