condition,epoch,ef,recall,edge_count,lN_attempts,l0_edge_count,lN_edge_count
adaptive_eh,19,64,0.7308,141802,,,
adaptive_eh,19,128,0.8036,141802,,,
adaptive_eh,20,32,0.6794,147227,,,
adaptive_eh,20,64,0.7514000000000001,147227,,,
adaptive_eh,20,128,0.8158,147227,,,
adaptive_eh,21,32,0.7348,150229,,,
adaptive_eh,21,64,0.7898,150229,,,
adaptive_eh,21,128,0.843,150229,,,
adaptive_eh,22,32,0.7692,152227,,,
adaptive_eh,22,64,0.8192,152227,,,
adaptive_eh,22,128,0.871,152227,,,
adaptive_eh,23,32,0.7607999999999999,154205,,,
adaptive_eh,23,64,0.7975999999999999,154205,,,
adaptive_eh,23,128,0.8526,154205,,,
adaptive_eh,24,32,0.7716000000000002,65995,,,
adaptive_eh,24,64,0.815,65995,,,
adaptive_eh,24,128,0.8562000000000001,65995,,,
adaptive_layer0_eh,0,32,0.9822000000000001,0,,,
adaptive_layer0_eh,0,64,0.9944,0,,,
adaptive_layer0_eh,0,128,0.9992000000000001,0,,,
adaptive_layer0_eh,1,32,0.984,0,,,
adaptive_layer0_eh,1,64,0.9972000000000001,0,,,
adaptive_layer0_eh,1,128,0.999,0,,,
adaptive_layer0_eh,2,32,0.983,0,,,
adaptive_layer0_eh,2,64,0.9967999999999999,0,,,
adaptive_layer0_eh,2,128,0.9994,0,,,
adaptive_layer0_eh,3,32,0.9832000000000001,0,,,
adaptive_layer0_eh,3,64,0.9946,0,,,
adaptive_layer0_eh,3,128,0.9985999999999999,0,,,
adaptive_layer0_eh,4,32,0.988,0,,,
adaptive_layer0_eh,4,64,0.9966000000000002,0,,,
adaptive_layer0_eh,4,128,0.9992000000000001,0,,,
adaptive_layer0_eh,5,32,0.9866000000000001,0,,,
adaptive_layer0_eh,5,64,0.9962000000000001,0,,,
adaptive_layer0_eh,5,128,0.999,0,,,
adaptive_layer0_eh,6,32,0.9816000000000001,0,,,
adaptive_layer0_eh,6,64,0.9962000000000001,0,,,
adaptive_layer0_eh,6,128,0.9987999999999999,0,,,
adaptive_layer0_eh,7,32,0.9624000000000001,9746,,,
adaptive_layer0_eh,7,64,0.9888000000000001,9746,,,
adaptive_layer0_eh,7,128,0.998,9746,,,
adaptive_layer0_eh,8,32,0.9268000000000002,16890,,,
adaptive_layer0_eh,8,64,0.9726,16890,,,
adaptive_layer0_eh,8,128,0.992,16890,,,
adaptive_layer0_eh,9,32,0.866,22606,,,
adaptive_layer0_eh,9,64,0.9396000000000001,22606,,,
adaptive_layer0_eh,9,128,0.9822000000000001,22606,,,
adaptive_layer0_eh,10,32,0.8697999999999999,27178,,,
adaptive_layer0_eh,10,64,0.948,27178,,,
adaptive_layer0_eh,10,128,0.9832000000000001,27178,,,
adaptive_layer0_eh,11,32,0.8844000000000001,30941,,,
adaptive_layer0_eh,11,64,0.9532,30941,,,
adaptive_layer0_eh,11,128,0.9846,30941,,,
adaptive_layer0_eh,12,32,0.8726000000000002,34545,,,
adaptive_layer0_eh,12,64,0.948,34545,,,
adaptive_layer0_eh,12,128,0.9856,34545,,,
adaptive_layer0_eh,13,32,0.8798,37789,,,
adaptive_layer0_eh,13,64,0.9506000000000001,37789,,,
adaptive_layer0_eh,13,128,0.9834,37789,,,
adaptive_layer0_eh,14,32,0.8708,40337,,,
adaptive_layer0_eh,14,64,0.9508,40337,,,
adaptive_layer0_eh,14,128,0.9842000000000001,40337,,,
adaptive_layer0_eh,15,32,0.8828,42536,,,
adaptive_layer0_eh,15,64,0.9476,42536,,,
adaptive_layer0_eh,15,128,0.9842000000000001,42536,,,
adaptive_layer0_eh,16,32,0.7964000000000001,44239,,,
adaptive_layer0_eh,16,64,0.8988,44239,,,
adaptive_layer0_eh,16,128,0.9606000000000001,44239,,,
adaptive_layer0_eh,17,32,0.7,46373,,,
adaptive_layer0_eh,17,64,0.8274000000000001,46373,,,
adaptive_layer0_eh,17,128,0.9164000000000001,46373,,,
adaptive_layer0_eh,18,32,0.6192000000000001,48561,,,
adaptive_layer0_eh,18,64,0.7494000000000001,48561,,,
adaptive_layer0_eh,18,128,0.8502000000000001,48561,,,
adaptive_layer0_eh,19,32,0.5272,52751,,,
adaptive_layer0_eh,19,64,0.658,52751,,,
adaptive_layer0_eh,19,128,0.7674000000000001,52751,,,
adaptive_layer0_eh,20,32,0.552,55121,,,
adaptive_layer0_eh,20,64,0.6886,55121,,,
adaptive_layer0_eh,20,128,0.7952,55121,,,
adaptive_layer0_eh,21,32,0.5838,56782,,,
adaptive_layer0_eh,21,64,0.7108,56782,,,
adaptive_layer0_eh,21,128,0.817,56782,,,
adaptive_layer0_eh,22,32,0.5818,58310,,,
adaptive_layer0_eh,22,64,0.7004000000000001,58310,,,
adaptive_layer0_eh,22,128,0.8144000000000001,58310,,,
adaptive_layer0_eh,23,32,0.5561999999999999,59946,,,
adaptive_layer0_eh,23,64,0.6846000000000001,59946,,,
adaptive_layer0_eh,23,128,0.7982,59946,,,
adaptive_layer0_eh,24,32,0.5754,61087,,,
adaptive_layer0_eh,24,64,0.6942,61087,,,
adaptive_layer0_eh,24,128,0.8066,61087,,,
adaptive_layerN_eh,0,32,0.9822000000000001,0,0.0,,
adaptive_layerN_eh,0,64,0.9944,0,0.0,,
adaptive_layerN_eh,0,128,0.9992000000000001,0,0.0,,
adaptive_layerN_eh,1,32,0.984,0,0.0,,
adaptive_layerN_eh,1,64,0.9972000000000001,0,0.0,,
adaptive_layerN_eh,1,128,0.999,0,0.0,,
adaptive_layerN_eh,2,32,0.983,0,0.0,,
adaptive_layerN_eh,2,64,0.9967999999999999,0,0.0,,
adaptive_layerN_eh,2,128,0.9994,0,0.0,,
adaptive_layerN_eh,3,32,0.9832000000000001,0,0.0,,
adaptive_layerN_eh,3,64,0.9946,0,0.0,,
adaptive_layerN_eh,3,128,0.9985999999999999,0,0.0,,
adaptive_layerN_eh,4,32,0.988,0,0.0,,
adaptive_layerN_eh,4,64,0.9966000000000002,0,0.0,,
adaptive_layerN_eh,4,128,0.9992000000000001,0,0.0,,
adaptive_layerN_eh,5,32,0.9866000000000001,0,0.0,,
adaptive_layerN_eh,5,64,0.9962000000000001,0,0.0,,
adaptive_layerN_eh,5,128,0.999,0,0.0,,
adaptive_layerN_eh,6,32,0.9816000000000001,0,0.0,,
adaptive_layerN_eh,6,64,0.9962000000000001,0,0.0,,
adaptive_layerN_eh,6,128,0.9987999999999999,0,0.0,,
adaptive_layerN_eh,7,32,0.9624000000000001,37,76.0,,
adaptive_layerN_eh,7,64,0.9888000000000001,37,76.0,,
adaptive_layerN_eh,7,128,0.998,37,76.0,,
adaptive_layerN_eh,8,32,0.9262,68,145.0,,
adaptive_layerN_eh,8,64,0.9724,68,145.0,,
adaptive_layerN_eh,8,128,0.992,68,145.0,,
adaptive_layerN_eh,9,32,0.8652000000000001,105,229.0,,
adaptive_layerN_eh,9,64,0.9388000000000002,105,229.0,,
adaptive_layerN_eh,9,128,0.9818000000000001,105,229.0,,
adaptive_layerN_eh,10,32,0.8644000000000001,123,274.0,,
adaptive_layerN_eh,10,64,0.9424000000000001,123,274.0,,
