condition,epoch,ef,recall,edge_count,lN_attempts,l0_edge_count,lN_edge_count
adaptive_layer0_eh,1,128,0.999,0,,,
adaptive_layer0_eh,2,32,0.983,0,,,
adaptive_layer0_eh,2,64,0.9967999999999999,0,,,
adaptive_layer0_eh,2,128,0.9994,0,,,
adaptive_layer0_eh,3,32,0.9832000000000001,0,,,
adaptive_layer0_eh,3,64,0.9946,0,,,
adaptive_layer0_eh,3,128,0.9985999999999999,0,,,
adaptive_layer0_eh,4,32,0.988,0,,,
adaptive_layer0_eh,4,64,0.9966000000000002,0,,,
adaptive_layer0_eh,4,128,0.9992000000000001,0,,,
adaptive_layer0_eh,5,32,0.9866000000000001,0,,,
adaptive_layer0_eh,5,64,0.9962000000000001,0,,,
adaptive_layer0_eh,5,128,0.999,0,,,
adaptive_layer0_eh,6,32,0.9874,0,,,
adaptive_layer0_eh,6,64,0.9966,0,,,
adaptive_layer0_eh,6,128,0.9992000000000001,0,,,
adaptive_layer0_eh,7,32,0.9838000000000001,0,,,
adaptive_layer0_eh,7,64,0.9964000000000001,0,,,
adaptive_layer0_eh,7,128,0.9987999999999999,0,,,
adaptive_layer0_eh,8,32,0.9858000000000001,0,,,
adaptive_layer0_eh,8,64,0.9952000000000001,0,,,
adaptive_layer0_eh,8,128,0.999,0,,,
adaptive_layer0_eh,9,32,0.9826000000000001,0,,,
adaptive_layer0_eh,9,64,0.9952000000000001,0,,,
adaptive_layer0_eh,9,128,0.9986,0,,,
adaptive_layer0_eh,10,32,0.9845999999999999,9928,,,
adaptive_layer0_eh,10,64,0.9958,9928,,,
adaptive_layer0_eh,10,128,0.9984,9928,,,
adaptive_layer0_eh,11,32,0.9834,9928,,,
adaptive_layer0_eh,11,64,0.9954,9928,,,
adaptive_layer0_eh,11,128,0.9994000000000001,9928,,,
adaptive_layer0_eh,12,32,0.985,9928,,,
adaptive_layer0_eh,12,64,0.9967999999999999,9928,,,
adaptive_layer0_eh,12,128,0.9994,9928,,,
adaptive_layer0_eh,13,32,0.5046,20456,,,
adaptive_layer0_eh,13,64,0.639,20456,,,
adaptive_layer0_eh,13,128,0.7622000000000001,20456,,,
adaptive_layer0_eh,14,32,0.5846,25023,,,
adaptive_layer0_eh,14,64,0.7076000000000001,25023,,,
adaptive_layer0_eh,14,128,0.8168,25023,,,
adaptive_layer0_eh,15,32,0.605,28167,,,
adaptive_layer0_eh,15,64,0.7328000000000001,28167,,,
adaptive_layer0_eh,15,128,0.8412000000000001,28167,,,
adaptive_layer0_eh,16,32,0.5942000000000001,31260,,,
adaptive_layer0_eh,16,64,0.7142000000000001,31260,,,
adaptive_layer0_eh,16,128,0.8166000000000001,31260,,,
adaptive_layer0_eh,17,32,0.6058,33413,,,
adaptive_layer0_eh,17,64,0.7223999999999999,33413,,,
adaptive_layer0_eh,17,128,0.8296000000000001,33413,,,
adaptive_layer0_eh,18,32,0.596,35332,,,
adaptive_layer0_eh,18,64,0.719,35332,,,
adaptive_layer0_eh,18,128,0.8294000000000001,35332,,,
adaptive_layer0_eh,19,32,0.5885999999999999,36721,,,
adaptive_layer0_eh,19,64,0.7206000000000001,36721,,,
adaptive_layer0_eh,19,128,0.8338,36721,,,
adaptive_layer0_eh,20,32,0.5716,37852,,,
adaptive_layer0_eh,20,64,0.702,37852,,,
adaptive_layer0_eh,20,128,0.8164000000000001,37852,,,
adaptive_layer0_eh,21,32,0.5973999999999999,39184,,,
adaptive_layer0_eh,21,64,0.7198000000000001,39184,,,
adaptive_layer0_eh,21,128,0.823,39184,,,
adaptive_layer0_eh,22,32,0.5852,39995,,,
adaptive_layer0_eh,22,64,0.7118,39995,,,
adaptive_layer0_eh,22,128,0.8232,39995,,,
adaptive_layer0_eh,23,32,0.5668,40709,,,
adaptive_layer0_eh,23,64,0.686,40709,,,
adaptive_layer0_eh,23,128,0.8078000000000001,40709,,,
adaptive_layer0_eh,24,32,0.5811999999999999,41319,,,
adaptive_layer0_eh,24,64,0.6996,41319,,,
adaptive_layer0_eh,24,128,0.8006,41319,,,
adaptive_layerN_eh,0,32,0.9822000000000001,0,0.0,,
adaptive_layerN_eh,0,64,0.9944,0,0.0,,
adaptive_layerN_eh,0,128,0.9992000000000001,0,0.0,,
adaptive_layerN_eh,1,32,0.984,0,0.0,,
adaptive_layerN_eh,1,64,0.9972000000000001,0,0.0,,
adaptive_layerN_eh,1,128,0.999,0,0.0,,
adaptive_layerN_eh,2,32,0.983,0,0.0,,
adaptive_layerN_eh,2,64,0.9967999999999999,0,0.0,,
adaptive_layerN_eh,2,128,0.9994,0,0.0,,
adaptive_layerN_eh,3,32,0.9832000000000001,0,0.0,,
adaptive_layerN_eh,3,64,0.9946,0,0.0,,
adaptive_layerN_eh,3,128,0.9985999999999999,0,0.0,,
adaptive_layerN_eh,4,32,0.988,0,0.0,,
adaptive_layerN_eh,4,64,0.9966000000000002,0,0.0,,
adaptive_layerN_eh,4,128,0.9992000000000001,0,0.0,,
adaptive_layerN_eh,5,32,0.9866000000000001,0,0.0,,
adaptive_layerN_eh,5,64,0.9962000000000001,0,0.0,,
adaptive_layerN_eh,5,128,0.999,0,0.0,,
adaptive_layerN_eh,6,32,0.9874,0,0.0,,
adaptive_layerN_eh,6,64,0.9966,0,0.0,,
adaptive_layerN_eh,6,128,0.9992000000000001,0,0.0,,
adaptive_layerN_eh,7,32,0.9838000000000001,0,0.0,,
adaptive_layerN_eh,7,64,0.9964000000000001,0,0.0,,
adaptive_layerN_eh,7,128,0.9987999999999999,0,0.0,,
adaptive_layerN_eh,8,32,0.9858000000000001,0,0.0,,
adaptive_layerN_eh,8,64,0.9952000000000001,0,0.0,,
adaptive_layerN_eh,8,128,0.999,0,0.0,,
adaptive_layerN_eh,9,32,0.9826000000000001,0,0.0,,
adaptive_layerN_eh,9,64,0.9952000000000001,0,0.0,,
adaptive_layerN_eh,9,128,0.9986,0,0.0,,
adaptive_layerN_eh,10,32,0.9845999999999999,32,57.0,,
adaptive_layerN_eh,10,64,0.9958,32,57.0,,
adaptive_layerN_eh,10,128,0.9984,32,57.0,,
adaptive_layerN_eh,11,32,0.9834,32,57.0,,
