shift_sigma,shift_absolute,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
8,400.0,10,0.0107,693859.7561,558635.3828,116.432,25.118,14.893,446.419,33.409,1000
8,400.0,20,0.0182,693859.7561,558635.3828,116.432,25.118,27.326,814.28,68.366,1000
8,400.0,50,0.0389,693859.7561,558635.3828,116.432,25.118,61.941,1828.516,169.921,1000
8,400.0,100,0.0643,693859.7561,558635.3828,116.432,25.118,114.874,3350.889,334.227,1000
8,400.0,200,0.101,693859.7561,558635.3828,116.432,25.118,213.577,6108.895,649.489,1000
8,400.0,500,0.1649,693859.7561,558635.3828,116.432,25.118,508.86,13942.242,1535.161,1000
8,400.0,1000,0.2441,693859.7561,558635.3828,116.432,25.118,1005.766,26197.244,2916.271,1000
8,400.0,2000,0.3277,693859.7561,558635.3828,116.432,25.118,2003.896,48770.699,5494.613,1000
8,400.0,5000,0.4601,693859.7561,558635.3828,116.432,25.118,5002.566,108251.705,12593.007,1000
10,500.0,10,0.0072,776062.8279,632050.3991,116.732,25.242,14.929,444.004,33.064,1000
10,500.0,20,0.0137,776062.8279,632050.3991,116.732,25.242,27.521,814.878,67.858,1000
10,500.0,50,0.0297,776062.8279,632050.3991,116.732,25.242,62.216,1822.311,170.336,1000
10,500.0,100,0.0458,776062.8279,632050.3991,116.732,25.242,114.856,3320.518,334.772,1000
10,500.0,200,0.0751,776062.8279,632050.3991,116.732,25.242,215.444,6107.495,650.418,1000
10,500.0,500,0.132,776062.8279,632050.3991,116.732,25.242,510.341,13856.998,1544.04,1000
10,500.0,1000,0.1981,776062.8279,632050.3991,116.732,25.242,1006.119,25979.867,2935.944,1000
10,500.0,2000,0.2703,776062.8279,632050.3991,116.732,25.242,2004.309,48358.926,5542.819,1000
10,500.0,5000,0.3954,776062.8279,632050.3991,116.732,25.242,5002.715,107274.903,12739.063,1000
12,600.0,10,0.0048,881353.3479,725839.0589,114.207,25.352,14.959,439.221,32.698,1000
12,600.0,20,0.0085,881353.3479,725839.0589,114.207,25.352,27.59,807.582,67.781,1000
12,600.0,50,0.02,881353.3479,725839.0589,114.207,25.352,62.939,1825.342,169.978,1000
12,600.0,100,0.0352,881353.3479,725839.0589,114.207,25.352,115.844,3317.148,334.896,1000
12,600.0,200,0.057,881353.3479,725839.0589,114.207,25.352,216.573,6077.977,651.353,1000
12,600.0,500,0.1007,881353.3479,725839.0589,114.207,25.352,510.83,13739.667,1549.671,1000
