strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,n_queries,mean_t_query_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_orig_knn_ms,mean_t_adapt_ms
pool_rewire,50,1.0,0.955,16098.2198,6385.5811,131.743,35.617,52.616,915.752,1000,0.1964,0.0,0.0,0.1964,0.0
pool_rewire,50,2.0,0.9492,16048.6637,6484.4249,131.417,35.338,52.937,920.709,1000,0.1916,0.0,0.0,0.1916,0.0
pool_rewire,50,3.0,0.9454,16078.6074,6715.9762,131.457,35.263,53.174,928.789,1000,0.1956,0.0,0.0,0.1956,0.0
pool_rewire,50,4.0,0.935,16188.0505,7011.7649,131.813,35.337,53.272,934.048,1000,0.1937,0.0,0.0,0.1937,0.0
pool_rewire,50,6.0,0.9164,14851.1159,7473.3631,121.3,36.791,53.388,948.454,1000,1.0143,0.6551,0.2162,0.1261,0.1805
pool_rewire,50,8.0,0.8771,16370.8654,8233.5334,124.21,34.609,53.581,969.244,1000,1.152,0.7852,0.2246,0.1239,0.5643
pool_rewire,50,10.0,0.8261,17076.0776,9300.101,123.238,33.396,54.225,996.608,1000,1.1878,0.8041,0.2303,0.1353,1.1051
pool_rewire,50,12.0,0.7428,17820.6317,10912.502,119.527,32.353,55.464,1057.994,1000,1.1896,0.7989,0.2324,0.14,1.493
pool_rewire,50,16.0,0.6055,20606.2435,14513.9298,114.788,30.521,57.313,1159.418,1000,1.2115,0.8093,0.2354,0.1483,1.7912
pool_rewire,100,0.0,0.9788,16227.2755,6335.6364,132.216,35.572,102.201,1612.854,1000,0.3349,0.0,0.0,0.3349,0.0
pool_rewire,100,1.0,0.9747,16098.2198,6385.5811,131.743,35.617,102.208,1617.16,1000,0.3333,0.0,0.0,0.3333,0.0
pool_rewire,100,2.0,0.9703,16048.6637,6484.4249,131.417,35.338,102.484,1624.203,1000,0.3285,0.0,0.0,0.3285,0.0
pool_rewire,100,3.0,0.9685,16078.6074,6715.9762,131.457,35.263,102.799,1635.748,1000,0.3362,0.0,0.0,0.3362,0.0
pool_rewire,100,4.0,0.9655,16188.0505,7011.7649,131.813,35.337,103.046,1646.874,1000,0.3333,0.0,0.0,0.3333,0.0
pool_rewire,100,6.0,0.9501,14851.1159,7473.3631,121.3,36.791,103.007,1674.942,1000,1.2456,0.6602,0.3611,0.2067,0.1812
pool_rewire,100,8.0,0.9191,16370.8654,8233.5334,124.21,34.609,103.196,1717.298,1000,1.3225,0.7293,0.3726,0.2023,0.5698
pool_rewire,100,10.0,0.8804,17076.0776,9300.101,123.238,33.396,103.664,1763.548,1000,1.3392,0.7286,0.3757,0.2164,1.0992
pool_rewire,100,12.0,0.8072,17820.6317,10912.502,119.527,32.353,105.073,1866.764,1000,1.3659,0.734,0.385,0.2284,1.4748
pool_rewire,100,16.0,0.7018,20606.2435,14513.9298,114.788,30.521,106.296,2028.701,1000,1.3744,0.7294,0.3896,0.2368,1.7634
pool_rewire,200,0.0,0.9891,16227.2755,6335.6364,132.216,35.572,201.816,2859.18,1000,0.5853,0.0,0.0,0.5853,0.0
pool_rewire,200,1.0,0.9874,16098.2198,6385.5811,131.743,35.617,202.054,2868.327,1000,0.5891,0.0,0.0,0.5891,0.0
pool_rewire,200,2.0,0.9843,16048.6637,6484.4249,131.417,35.338,202.161,2882.981,1000,0.5776,0.0,0.0,0.5776,0.0
pool_rewire,200,3.0,0.9851,16078.6074,6715.9762,131.457,35.263,202.51,2898.845,1000,0.5935,0.0,0.0,0.5935,0.0
pool_rewire,200,4.0,0.9835,16188.0505,7011.7649,131.813,35.337,202.951,2924.343,1000,0.5871,0.0,0.0,0.5871,0.0
pool_rewire,200,6.0,0.971,14851.1159,7473.3631,121.3,36.791,203.211,2985.978,1000,1.6168,0.6378,0.591,0.3701,0.1858
pool_rewire,200,8.0,0.9442,16370.8654,8233.5334,124.21,34.609,202.832,3073.633,1000,1.7268,0.7092,0.635,0.3638,0.5694
pool_rewire,200,10.0,0.9206,17076.0776,9300.101,123.238,33.396,203.577,3168.574,1000,1.7712,0.7054,0.6525,0.3944,1.1008
pool_rewire,200,12.0,0.864,17820.6317,10912.502,119.527,32.353,205.703,3365.152,1000,1.8074,0.7114,0.6703,0.4066,1.481
pool_rewire,200,16.0,0.7779,20606.2435,14513.9298,114.788,30.521,205.913,3668.167,1000,1.8547,0.7174,0.689,0.4293,1.7758
pool_rewire,500,0.0,0.9967,16227.2755,6335.6364,132.216,35.572,501.361,6075.089,1000,1.2622,0.0,0.0,1.2622,0.0
pool_rewire,500,1.0,0.996,16098.2198,6385.5811,131.743,35.617,501.843,6099.247,1000,1.266,0.0,0.0,1.266,0.0
pool_rewire,500,2.0,0.996,16048.6637,6484.4249,131.417,35.338,502.914,6139.511,1000,1.2586,0.0,0.0,1.2586,0.0
pool_rewire,500,3.0,0.9944,16078.6074,6715.9762,131.457,35.263,502.423,6177.205,1000,1.276,0.0,0.0,1.276,0.0
pool_rewire,500,4.0,0.9926,16188.0505,7011.7649,131.813,35.337,502.76,6227.682,1000,1.2727,0.0,0.0,1.2727,0.0
pool_rewire,500,6.0,0.9868,14851.1159,7473.3631,121.3,36.791,503.743,6391.573,1000,2.9156,0.652,1.2784,0.9654,0.1881
pool_rewire,500,8.0,0.9687,16370.8654,8233.5334,124.21,34.609,503.869,6639.515,1000,3.1063,0.7367,1.375,0.9737,0.5714
pool_rewire,500,10.0,0.9492,17076.0776,9300.101,123.238,33.396,503.964,6894.742,1000,3.1841,0.7169,1.4138,1.0328,1.1035
pool_rewire,500,12.0,0.9102,17820.6317,10912.502,119.527,32.353,506.845,7326.272,1000,3.2764,0.7234,1.4638,1.0679,1.478
pool_rewire,500,16.0,0.8483,20606.2435,14513.9298,114.788,30.521,506.859,8106.218,1000,3.3499,0.7141,1.5208,1.094,1.7666
rewire_only,10,0.0,0.8432,16227.2755,6335.6364,132.216,35.572,13.481,272.49,1000,0.0731,0.0,0.0,0.0731,0.0
rewire_only,10,1.0,0.8288,16098.2198,6385.5811,131.743,35.617,13.414,272.078,1000,0.0728,0.0,0.0,0.0728,0.0
rewire_only,10,2.0,0.8139,16048.6637,6484.4249,131.417,35.338,13.536,273.633,1000,0.072,0.0,0.0,0.072,0.0
rewire_only,10,3.0,0.8038,16078.6074,6715.9762,131.457,35.263,13.688,278.687,1000,0.0736,0.0,0.0,0.0736,0.0
rewire_only,10,4.0,0.7837,16188.0505,7011.7649,131.813,35.337,13.742,279.132,1000,0.0724,0.0,0.0,0.0724,0.0
rewire_only,10,6.0,0.7049,16645.436,7944.0434,129.495,34.26,14.259,294.158,1000,0.0752,0.0,0.0,0.0752,0.2588
rewire_only,10,8.0,0.6276,17420.8201,8769.9153,131.814,33.21,14.467,299.661,1000,0.0787,0.0,0.0,0.0787,0.7018
rewire_only,10,10.0,0.5273,18514.2029,10103.5448,130.262,31.094,14.867,314.23,1000,0.0782,0.0,0.0,0.0782,1.0188
rewire_only,10,12.0,0.4292,19925.5841,11575.3586,131.624,30.678,15.271,329.377,1000,0.0803,0.0,0.0,0.0803,1.2538
rewire_only,10,16.0,0.2984,23702.3425,15084.3856,130.89,28.71,15.857,353.521,1000,0.0841,0.0,0.0,0.0841,1.4215
rewire_only,20,0.0,0.9057,16227.2755,6335.6364,132.216,35.572,23.246,444.946,1000,0.1047,0.0,0.0,0.1047,0.0
rewire_only,20,1.0,0.9014,16098.2198,6385.5811,131.743,35.617,23.352,448.076,1000,0.1043,0.0,0.0,0.1043,0.0
rewire_only,20,2.0,0.8906,16048.6637,6484.4249,131.417,35.338,23.555,452.216,1000,0.1034,0.0,0.0,0.1034,0.0
rewire_only,20,3.0,0.8799,16078.6074,6715.9762,131.457,35.263,23.757,458.205,1000,0.1048,0.0,0.0,0.1048,0.0
rewire_only,20,4.0,0.8661,16188.0505,7011.7649,131.813,35.337,23.832,460.145,1000,0.1041,0.0,0.0,0.1041,0.0
rewire_only,20,6.0,0.807,16645.436,7944.0434,129.495,34.26,24.659,483.494,1000,0.1065,0.0,0.0,0.1065,0.2467
rewire_only,20,8.0,0.7328,17420.8201,8769.9153,131.814,33.21,24.857,493.71,1000,0.1098,0.0,0.0,0.1098,0.6703
rewire_only,20,10.0,0.6391,18514.2029,10103.5448,130.262,31.094,25.768,523.257,1000,0.115,0.0,0.0,0.115,0.982
rewire_only,20,12.0,0.537,19925.5841,11575.3586,131.624,30.678,26.121,543.202,1000,0.1176,0.0,0.0,0.1176,1.2076
rewire_only,20,16.0,0.3994,23702.3425,15084.3856,130.89,28.71,27.302,591.57,1000,0.1239,0.0,0.0,0.1239,1.3661
rewire_only,50,0.0,0.9581,16227.2755,6335.6364,132.216,35.572,52.609,913.172,1000,0.1971,0.0,0.0,0.1971,0.0
rewire_only,50,1.0,0.955,16098.2198,6385.5811,131.743,35.617,52.616,915.752,1000,0.1957,0.0,0.0,0.1957,0.0
rewire_only,50,2.0,0.9492,16048.6637,6484.4249,131.417,35.338,52.937,920.709,1000,0.1939,0.0,0.0,0.1939,0.0
rewire_only,50,3.0,0.9454,16078.6074,6715.9762,131.457,35.263,53.174,928.789,1000,0.1985,0.0,0.0,0.1985,0.0
rewire_only,50,4.0,0.935,16188.0505,7011.7649,131.813,35.337,53.272,934.048,1000,0.1969,0.0,0.0,0.1969,0.0
rewire_only,50,6.0,0.9021,16645.436,7944.0434,129.495,34.26,54.773,977.849,1000,0.2056,0.0,0.0,0.2056,0.2591
rewire_only,50,8.0,0.8472,17420.8201,8769.9153,131.814,33.21,55.105,1004.605,1000,0.2055,0.0,0.0,0.2055,0.7033
rewire_only,50,10.0,0.7628,18514.2029,10103.5448,130.262,31.094,56.293,1057.504,1000,0.2161,0.0,0.0,0.2161,1.0261
rewire_only,50,12.0,0.6811,19925.5841,11575.3586,131.624,30.678,57.32,1110.576,1000,0.2216,0.0,0.0,0.2216,1.2643
rewire_only,50,16.0,0.5457,23702.3425,15084.3856,130.89,28.71,58.26,1191.957,1000,0.2244,0.0,0.0,0.2244,1.4352
rewire_only,100,0.0,0.9788,16227.2755,6335.6364,132.216,35.572,102.201,1612.854,1000,0.3323,0.0,0.0,0.3323,0.0
rewire_only,100,1.0,0.9747,16098.2198,6385.5811,131.743,35.617,102.208,1617.16,1000,0.3285,0.0,0.0,0.3285,0.0
rewire_only,100,2.0,0.9703,16048.6637,6484.4249,131.417,35.338,102.484,1624.203,1000,0.3261,0.0,0.0,0.3261,0.0
rewire_only,100,3.0,0.9685,16078.6074,6715.9762,131.457,35.263,102.799,1635.748,1000,0.3313,0.0,0.0,0.3313,0.0
rewire_only,100,4.0,0.9655,16188.0505,7011.7649,131.813,35.337,103.046,1646.874,1000,0.3307,0.0,0.0,0.3307,0.0
rewire_only,100,6.0,0.9425,16645.436,7944.0434,129.495,34.26,104.529,1708.885,1000,0.3466,0.0,0.0,0.3466,0.2563
rewire_only,100,8.0,0.903,17420.8201,8769.9153,131.814,33.21,105.508,1771.287,1000,0.3491,0.0,0.0,0.3491,0.6965
rewire_only,100,10.0,0.8342,18514.2029,10103.5448,130.262,31.094,106.132,1843.938,1000,0.3616,0.0,0.0,0.3616,1.0121
rewire_only,100,12.0,0.7598,19925.5841,11575.3586,131.624,30.678,107.414,1943.292,1000,0.3677,0.0,0.0,0.3677,1.2445
rewire_only,100,16.0,0.6591,23702.3425,15084.3856,130.89,28.71,108.08,2082.95,1000,0.375,0.0,0.0,0.375,1.4105
rewire_only,200,0.0,0.9891,16227.2755,6335.6364,132.216,35.572,201.816,2859.18,1000,0.5816,0.0,0.0,0.5816,0.0
rewire_only,200,1.0,0.9874,16098.2198,6385.5811,131.743,35.617,202.054,2868.327,1000,0.5828,0.0,0.0,0.5828,0.0
rewire_only,200,2.0,0.9843,16048.6637,6484.4249,131.417,35.338,202.161,2882.981,1000,0.5774,0.0,0.0,0.5774,0.0
rewire_only,200,3.0,0.9851,16078.6074,6715.9762,131.457,35.263,202.51,2898.845,1000,0.5875,0.0,0.0,0.5875,0.0
rewire_only,200,4.0,0.9835,16188.0505,7011.7649,131.813,35.337,202.951,2924.343,1000,0.5848,0.0,0.0,0.5848,0.0
rewire_only,200,6.0,0.9665,16645.436,7944.0434,129.495,34.26,204.784,3024.682,1000,0.6216,0.0,0.0,0.6216,0.2627
rewire_only,200,8.0,0.9314,17420.8201,8769.9153,131.814,33.21,204.83,3130.909,1000,0.6137,0.0,0.0,0.6137,0.7134
rewire_only,200,10.0,0.8861,18514.2029,10103.5448,130.262,31.094,206.943,3285.955,1000,0.6414,0.0,0.0,0.6414,1.039
rewire_only,200,12.0,0.824,19925.5841,11575.3586,131.624,30.678,207.729,3467.502,1000,0.6527,0.0,0.0,0.6527,1.2777
rewire_only,200,16.0,0.7478,23702.3425,15084.3856,130.89,28.71,208.195,3746.644,1000,0.6648,0.0,0.0,0.6648,1.4484
rewire_only,500,0.0,0.9967,16227.2755,6335.6364,132.216,35.572,501.361,6075.089,1000,1.2436,0.0,0.0,1.2436,0.0
rewire_only,500,1.0,0.996,16098.2198,6385.5811,131.743,35.617,501.843,6099.247,1000,1.2472,0.0,0.0,1.2472,0.0
rewire_only,500,2.0,0.996,16048.6637,6484.4249,131.417,35.338,502.914,6139.511,1000,1.2404,0.0,0.0,1.2404,0.0
rewire_only,500,3.0,0.9944,16078.6074,6715.9762,131.457,35.263,502.423,6177.205,1000,1.2613,0.0,0.0,1.2613,0.0
rewire_only,500,4.0,0.9926,16188.0505,7011.7649,131.813,35.337,502.76,6227.682,1000,1.2543,0.0,0.0,1.2543,0.0
rewire_only,500,6.0,0.9846,16645.436,7944.0434,129.495,34.26,505.798,6440.239,1000,1.3039,0.0,0.0,1.3039,0.2505
rewire_only,500,8.0,0.9617,17420.8201,8769.9153,131.814,33.21,507.089,6731.645,1000,1.3308,0.0,0.0,1.3308,0.6778
rewire_only,500,10.0,0.9278,18514.2029,10103.5448,130.262,31.094,509.858,7100.857,1000,1.3962,0.0,0.0,1.3962,0.9905
rewire_only,500,12.0,0.8851,19925.5841,11575.3586,131.624,30.678,512.38,7538.369,1000,1.4297,0.0,0.0,1.4297,1.2248
rewire_only,500,16.0,0.8268,23702.3425,15084.3856,130.89,28.71,509.26,8223.811,1000,1.4616,0.0,0.0,1.4616,1.3948
