condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
static,False,16,0,0.0,0.05478032992687076,0.0,0,0,0.24598894284093342,18254.727588076858,0.7212,False
static,False,32,0,0.0,0.08049858396407217,0.0,0,0,0.1955296396969012,12422.578767923624,0.8396,False
static,False,64,0,0.0,0.14029139198828489,0.0,0,0,0.1377324943504618,7128.021084027063,0.9176,False
static,False,128,0,0.0,0.2566752100829035,0.0,0,0,0.08346759850385058,3895.9742145609234,0.9646,False
static,False,16,1,0.0,0.04777411196846515,0.0,0,0,0.2579372791978701,20931.838579439893,0.7094000000000001,False
static,False,32,1,0.0,0.07957578601781279,0.0,0,0,0.20048690730319524,12566.636787931358,0.825,False
static,False,64,1,0.0,0.13849993201438338,0.0,0,0,0.13930628126541889,7220.220150694001,0.9124000000000001,False
static,False,128,1,0.0,0.25420191197190434,0.0,0,0,0.08054092127608176,3933.8807180589774,0.9646,False
static,False,16,2,0.0,0.05060759000480175,0.0,0,0,0.23639255487430225,19759.881865647385,0.7316,False
static,False,32,2,0.0,0.07951624598354101,0.0,0,0,0.19549680304291422,12576.046412037473,0.841,False
static,False,64,2,0.0,0.13909661397337914,0.0,0,0,0.14079772725438433,7189.2476131114445,0.916,False
static,False,128,2,0.0,0.25709245004691184,0.0,0,0,0.08874142212067598,3889.6513678932592,0.9636,False
static,False,16,3,0.0,0.04876910999882966,0.0,0,0,0.24566350970382234,20504.78263851847,0.7212000000000001,False
static,False,32,3,0.0,0.07709710602648556,0.0,0,0,0.20032164136707745,12970.655469953243,0.8318000000000001,False
static,False,64,3,0.0,0.13461933401413262,0.0,0,0,0.13573194170864866,7428.353492634408,0.9178,False
static,False,128,3,0.0,0.249559371965006,0.0,0,0,0.08790244592728919,4007.0624962953634,0.9646,False
static,False,16,4,0.0,0.048148930072784424,0.0,0,0,0.2512639249872532,20768.8934829569,0.7238,False
static,False,32,4,0.0,0.07607746601570398,0.0,0,0,0.19737264248117065,13144.49668701609,0.8398,False
static,False,64,4,0.0,0.13522839394863695,0.0,0,0,0.13706917961379939,7394.896669258857,0.9198,False
static,False,128,4,0.0,0.254727712017484,0.0,0,0,0.07935842740377358,3925.7605388900993,0.9668000000000001,False
static,False,16,5,0.0,0.05077700992114842,0.0,0,0,0.2556610255787925,19693.95207699113,0.7088,False
static,False,32,5,0.0,0.07611466408707201,0.0,0,0,0.19763602910400727,13138.07282728124,0.83,False
static,False,64,5,0.0,0.1330511539708823,0.0,0,0,0.1355882000765553,7515.906252258781,0.9172,False
static,False,128,5,0.0,0.2552445720648393,0.0,0,0,0.08450585778512636,3917.811030849157,0.9626,False
static,False,16,6,0.0,0.04969707201234996,0.0,0,0,0.21945532574991203,20121.909792824317,0.7456,False
static,False,32,6,0.0,0.07978378608822823,0.0,0,0,0.16219136845097523,12533.874976729714,0.8586,False
static,False,64,6,0.0,0.13852681394200772,0.0,0,0,0.11569114054239417,7218.8190253089615,0.9334000000000001,False
static,False,128,6,0.0,0.2556087899720296,0.0,0,0,0.0732,3912.2285274674105,0.9724,False
static,False,16,7,0.0,0.04870015196502209,0.0,0,0,0.23762314702065537,20533.81682911852,0.7218,False
static,False,32,7,0.0,0.07716188603080809,0.0,0,0,0.18744641901087364,12959.766167466854,0.8372,False
static,False,64,7,0.0,0.13533485401421785,0.0,0,0,0.13895308560805694,7389.079533753686,0.9198,False
static,False,128,7,0.0,0.24881371401716024,0.0,0,0,0.08589388802470173,4019.071070700837,0.9668000000000001,False
static,False,16,8,0.0,0.04894809192046523,0.0,0,0,0.22739709760680765,20429.80555043657,0.7416,False
static,False,32,8,0.0,0.07716982602141798,0.0,0,0,0.1771348638749583,12958.432739273723,0.8482000000000001,False
static,False,64,8,0.0,0.135923093999736,0.0,0,0,0.1207143736263416,7357.10150919565,0.9298,False
static,False,128,8,0.0,0.2487723520025611,0.0,0,0,0.08280096617793781,4019.7392996055487,0.968,False
static,False,16,9,0.0,0.04470799199771136,0.0,0,0,0.21046614929722074,22367.36554956865,0.772,False
static,False,32,9,0.0,0.06776806607376784,0.0,0,0,0.1650595044218902,14756.212740547533,0.8756000000000002,False
static,False,64,9,0.0,0.12043687794357538,0.0,0,0,0.1075284148492853,8303.10463933231,0.9458,False
static,False,128,9,0.0,0.23149519599974155,0.0,0,0,0.05876597655106227,4319.744069337476,0.9784,False
static,False,16,10,0.0,0.04802046995609999,0.0,0,0,0.20866001054346758,20824.452591034486,0.769,False
static,False,32,10,0.0,0.07107132603414357,0.0,0,0,0.15894955174519998,14070.372058621606,0.8752000000000001,False
static,False,64,10,0.0,0.12496155593544245,0.0,0,0,0.10559753785008437,8002.461177072885,0.9446000000000001,False
static,False,128,10,0.0,0.22497311607003212,0.0,0,0,0.057714816122032296,4444.97554849491,0.977,False
static,False,16,11,0.0,0.04536342993378639,0.0,0,0,0.21349763464731875,22044.188489706914,0.7626000000000001,False
static,False,32,11,0.0,0.06877288804389536,0.0,0,0,0.17302207951588144,14540.613727923343,0.8656,False
static,False,64,11,0.0,0.12124623800627887,0.0,0,0,0.11012647274838143,8247.678579093017,0.9404000000000001,False
static,False,128,11,0.0,0.23516211402602494,0.0,0,0,0.07249827584156743,4252.385653793416,0.972,False
static,False,16,12,0.0,0.04795931000262499,0.0,0,0,0.21299239423040442,20851.008906201245,0.7631999999999999,False
static,False,32,12,0.0,0.0728908859891817,0.0,0,0,0.17018707353967868,13719.136301188844,0.8694000000000001,False
static,False,64,12,0.0,0.125303476001136,0.0,0,0,0.11457678647963557,7980.6245757375,0.9404,False
static,False,128,12,0.0,0.23997403401881456,0.0,0,0,0.06910021707635945,4167.117513728996,0.9754,False
static,False,16,13,0.0,0.046502272016368806,0.0,0,0,0.21656370887108486,21504.325630541232,0.7495999999999999,False
static,False,32,13,0.0,0.0709534480702132,0.0,0,0,0.17535381375949596,14093.747762764579,0.8652000000000001,False
static,False,64,13,0.0,0.12331613793503493,0.0,0,0,0.12099768592828541,8109.238715591444,0.9366000000000001,False
static,False,128,13,0.0,0.23343091597780585,0.0,0,0,0.0751986702010082,4283.922700689218,0.9754,False
static,False,16,14,0.0,0.048399450024589896,0.0,0,0,0.21995126732983375,20661.391802839466,0.7512,False
static,False,32,14,0.0,0.07409172598272562,0.0,0,0,0.165154352046805,13496.78370609356,0.8602000000000001,False
static,False,64,14,0.0,0.1308296760544181,0.0,0,0,0.1113155874080535,7643.525766921978,0.9378,False
static,False,128,14,0.0,0.24332775198854506,0.0,0,0,0.0646912667985409,4109.683305039025,0.9752000000000001,False
static,False,16,15,0.0,0.04706695000641048,0.0,0,0,0.22271201135098215,21246.331021317525,0.7544,False
static,False,32,15,0.0,0.07258616597391665,0.0,0,0,0.17577303547472803,13776.729857302882,0.8628000000000001,False
static,False,64,15,0.0,0.12582103593740612,0.0,0,0,0.12451040117195028,7947.796587030832,0.9346,False
static,False,128,15,0.0,0.23383183404803276,0.0,0,0,0.07252585745787499,4276.577669893245,0.97,False
static,False,16,16,0.0,0.047088189981877804,0.0,0,0,0.214291297070133,21236.747481371793,0.7617999999999999,False
static,False,32,16,0.0,0.0755600460106507,0.0,0,0,0.16704143198619917,13234.507557857274,0.8654000000000001,False
static,False,64,16,0.0,0.12246123608201742,0.0,0,0,0.11220267376493308,8165.849308676405,0.9416,False
static,False,128,16,0.0,0.23204973398242146,0.0,0,0,0.05899288092643042,4309.4210143578675,0.9772000000000001,False
static,False,16,17,0.0,0.04253045201767236,0.0,0,0,0.22257439205802632,23512.564587474346,0.7508,False
static,False,32,17,0.0,0.06307920790277421,0.0,0,0,0.17155710419565842,15853.084292709074,0.8604,False
static,False,64,17,0.0,0.11533971794415265,0.0,0,0,0.12238611032302643,8670.040276014883,0.9358,False
static,False,128,17,0.0,0.2174923779675737,0.0,0,0,0.06866119719317454,4597.862276116599,0.9758000000000001,False
static,False,16,18,0.0,0.03788529406301677,0.0,0,0,0.20308855211458868,26395.466228575206,0.7747999999999999,False
static,False,32,18,0.0,0.05732679006177932,0.0,0,0,0.15158825812047583,17443.851276555528,0.879,False
static,False,64,18,0.0,0.10572431806940585,0.0,0,0,0.09787236586493657,9458.561835731307,0.951,False
static,False,128,18,0.0,0.2099129599519074,0.0,0,0,0.05522897790109826,4763.879277530588,0.9823999999999999,False
static,False,16,19,0.0,0.03632275201380253,0.0,0,0,0.18701871564097536,27530.95359129185,0.788,False
static,False,32,19,0.0,0.05238332995213568,0.0,0,0,0.1294505310919967,19090.04259396514,0.8984000000000001,False
static,False,64,19,0.0,0.09771749994251877,0.0,0,0,0.08106170489201421,10233.581503704443,0.9630000000000001,False
static,False,128,19,0.0,0.19002344401087612,0.0,0,0,0.043314662644421,5262.508556274584,0.9872000000000001,False
static,False,16,20,0.0,0.037579911993816495,0.0,0,0,0.1892980718338145,26609.96119853987,0.7932,False
static,False,32,20,0.0,0.0555629680166021,0.0,0,0,0.1366002928254548,17997.598683014956,0.8994,False
static,False,64,20,0.0,0.09810298203956336,0.0,0,0,0.08114185110040317,10193.370060827672,0.964,False
static,False,128,20,0.0,0.19680502405390143,0.0,0,0,0.04290407906015464,5081.171097167304,0.9882000000000001,False
static,False,16,21,0.0,0.03767829400021583,0.0,0,0,0.18994736112934027,26540.479778470646,0.78,False
static,False,32,21,0.0,0.05478596792090684,0.0,0,0,0.14946892653658822,18252.849004031024,0.8852000000000001,False
static,False,64,21,0.0,0.09461734199430794,0.0,0,0,0.09715369267300136,10568.887044619778,0.9545999999999999,False
