condition,epoch,ef,recall,edge_count,gate_open,mean_coverage,n_efhigh_queries
static,0,32,0.8986000000000002,0,False,0.0,0
static,0,64,0.9526000000000001,0,False,0.0,0
static,0,128,0.977,0,False,0.0,0
static,1,32,0.906,0,False,0.0,0
static,1,64,0.9542,0,False,0.0,0
static,1,128,0.981,0,False,0.0,0
static,2,32,0.9102,0,False,0.0,0
static,2,64,0.958,0,False,0.0,0
static,2,128,0.9822000000000001,0,False,0.0,0
static,3,32,0.8986000000000002,0,False,0.0,0
static,3,64,0.951,0,False,0.0,0
static,3,128,0.9774,0,False,0.0,0
static,4,32,0.9044,0,False,0.0,0
static,4,64,0.9526000000000001,0,False,0.0,0
static,4,128,0.978,0,False,0.0,0
static,5,32,0.8916000000000001,0,False,0.0,0
static,5,64,0.9484000000000001,0,False,0.0,0
static,5,128,0.9772000000000001,0,False,0.0,0
static,6,32,0.8892,0,False,0.0,0
static,6,64,0.9498000000000001,0,False,0.0,0
static,6,128,0.9782000000000001,0,False,0.0,0
static,7,32,0.9072,0,False,0.0,0
static,7,64,0.9574,0,False,0.0,0
static,7,128,0.9816,0,False,0.0,0
static,8,32,0.9,0,False,0.0,0
static,8,64,0.953,0,False,0.0,0
static,8,128,0.9848000000000001,0,False,0.0,0
static,9,32,0.8992,0,False,0.0,0
static,9,64,0.95,0,False,0.0,0
static,9,128,0.9792000000000001,0,False,0.0,0
static,10,32,0.8982,0,False,0.0,0
static,10,64,0.952,0,False,0.0,0
static,10,128,0.98,0,False,0.0,0
static,11,32,0.8994000000000001,0,False,0.0,0
static,11,64,0.9552,0,False,0.0,0
static,11,128,0.981,0,False,0.0,0
static,12,32,0.894,0,False,0.0,0
static,12,64,0.947,0,False,0.0,0
static,12,128,0.9783999999999999,0,False,0.0,0
static,13,32,0.7624000000000001,0,False,0.0,0
static,13,64,0.8676,0,False,0.0,0
static,13,128,0.934,0,False,0.0,0
static,14,32,0.7652,0,False,0.0,0
static,14,64,0.869,0,False,0.0,0
static,14,128,0.9322,0,False,0.0,0
static,15,32,0.7746000000000001,0,False,0.0,0
static,15,64,0.875,0,False,0.0,0
static,15,128,0.9334000000000001,0,False,0.0,0
static,16,32,0.7847999999999999,0,False,0.0,0
static,16,64,0.874,0,False,0.0,0
static,16,128,0.9362,0,False,0.0,0
static,17,32,0.774,0,False,0.0,0
static,17,64,0.879,0,False,0.0,0
static,17,128,0.9364000000000001,0,False,0.0,0
static,18,32,0.7692,0,False,0.0,0
static,18,64,0.8732000000000001,0,False,0.0,0
static,18,128,0.936,0,False,0.0,0
static,19,32,0.7766000000000001,0,False,0.0,0
static,19,64,0.8756,0,False,0.0,0
static,19,128,0.9376000000000001,0,False,0.0,0
static,20,32,0.7647999999999999,0,False,0.0,0
static,20,64,0.8622000000000001,0,False,0.0,0
static,20,128,0.9346,0,False,0.0,0
static,21,32,0.7844000000000001,0,False,0.0,0
static,21,64,0.8694,0,False,0.0,0
static,21,128,0.9328,0,False,0.0,0
static,22,32,0.7686000000000001,0,False,0.0,0
static,22,64,0.8806000000000002,0,False,0.0,0
static,22,128,0.941,0,False,0.0,0
static,23,32,0.7994000000000001,0,False,0.0,0
static,23,64,0.8912,0,False,0.0,0
static,23,128,0.9474000000000001,0,False,0.0,0
static,24,32,0.781,0,False,0.0,0
static,24,64,0.8836,0,False,0.0,0
static,24,128,0.9406,0,False,0.0,0
adaptive_eh,0,32,0.8986000000000002,0,False,0.0,0
adaptive_eh,0,64,0.9526000000000001,0,False,0.0,0
adaptive_eh,0,128,0.977,0,False,0.0,0
adaptive_eh,1,32,0.906,0,False,0.0,0
adaptive_eh,1,64,0.9542,0,False,0.0,0
adaptive_eh,1,128,0.981,0,False,0.0,0
adaptive_eh,2,32,0.9102,0,False,0.0,0
adaptive_eh,2,64,0.958,0,False,0.0,0
adaptive_eh,2,128,0.9822000000000001,0,False,0.0,0
adaptive_eh,3,32,0.8986000000000002,0,False,0.0,0
adaptive_eh,3,64,0.951,0,False,0.0,0
adaptive_eh,3,128,0.9774,0,False,0.0,0
adaptive_eh,4,32,0.9044,0,False,0.0,0
adaptive_eh,4,64,0.9526000000000001,0,False,0.0,0
adaptive_eh,4,128,0.978,0,False,0.0,0
adaptive_eh,5,32,0.8916000000000001,0,False,0.0,0
adaptive_eh,5,64,0.9484000000000001,0,False,0.0,0
adaptive_eh,5,128,0.9772000000000001,0,False,0.0,0
adaptive_eh,6,32,0.8892,0,False,0.0,0
adaptive_eh,6,64,0.9498000000000001,0,False,0.0,0
adaptive_eh,6,128,0.9782000000000001,0,False,0.0,0
adaptive_eh,7,32,0.9072,0,False,0.0,0
adaptive_eh,7,64,0.9574,0,False,0.0,0
adaptive_eh,7,128,0.9816,0,False,0.0,0
adaptive_eh,8,32,0.9,0,False,0.0,0
adaptive_eh,8,64,0.953,0,False,0.0,0
adaptive_eh,8,128,0.9848000000000001,0,False,0.0,0
adaptive_eh,9,32,0.8992,0,False,0.0,0
adaptive_eh,9,64,0.95,0,False,0.0,0
adaptive_eh,9,128,0.9792000000000001,0,False,0.0,0
adaptive_eh,10,32,0.8982,0,False,0.0,0
adaptive_eh,10,64,0.952,0,False,0.0,0
adaptive_eh,10,128,0.98,0,False,0.0,0
adaptive_eh,11,32,0.8994000000000001,0,False,0.0,0
adaptive_eh,11,64,0.9552,0,False,0.0,0
adaptive_eh,11,128,0.981,0,False,0.0,0
adaptive_eh,12,32,0.894,0,False,0.0,0
adaptive_eh,12,64,0.947,0,False,0.0,0
adaptive_eh,12,128,0.9783999999999999,0,False,0.0,0
adaptive_eh,13,32,0.7624000000000001,17004,False,0.0,0
adaptive_eh,13,64,0.8676,17004,False,0.0,0
adaptive_eh,13,128,0.934,17004,False,0.0,0
adaptive_eh,14,32,0.7652,28348,False,0.0,0
adaptive_eh,14,64,0.869,28348,False,0.0,0
adaptive_eh,14,128,0.9322,28348,False,0.0,0
adaptive_eh,15,32,0.7746000000000001,33284,False,0.0,0
adaptive_eh,15,64,0.875,33284,False,0.0,0
adaptive_eh,15,128,0.9334000000000001,33284,False,0.0,0
adaptive_eh,16,32,0.787,38840,False,0.0,0
adaptive_eh,16,64,0.8752000000000001,38840,False,0.0,0
adaptive_eh,16,128,0.9366,38840,False,0.0,0
adaptive_eh,17,32,0.775,43570,False,0.0,0
adaptive_eh,17,64,0.8796,43570,False,0.0,0
adaptive_eh,17,128,0.9366000000000001,43570,False,0.0,0
adaptive_eh,18,32,0.771,48010,False,0.0,0
adaptive_eh,18,64,0.8737999999999999,48010,False,0.0,0
adaptive_eh,18,128,0.9364000000000001,48010,False,0.0,0
adaptive_eh,19,32,0.779,52800,False,0.0,0
adaptive_eh,19,64,0.8767999999999999,52800,False,0.0,0
adaptive_eh,19,128,0.9380000000000002,52800,False,0.0,0
adaptive_eh,20,32,0.7704000000000001,57245,False,0.0,0
adaptive_eh,20,64,0.8658,57245,False,0.0,0
adaptive_eh,20,128,0.9364,57245,False,0.0,0
adaptive_eh,21,32,0.7916000000000001,57245,False,0.0,0
adaptive_eh,21,64,0.875,57245,False,0.0,0
adaptive_eh,21,128,0.9342,57245,False,0.0,0
adaptive_eh,22,32,0.7704,57245,False,0.0,0
adaptive_eh,22,64,0.8814000000000001,57245,False,0.0,0
adaptive_eh,22,128,0.9412,57245,False,0.0,0
adaptive_eh,23,32,0.8066,57245,False,0.0,0
adaptive_eh,23,64,0.8938,57245,False,0.0,0
adaptive_eh,23,128,0.9482,57245,False,0.0,0
adaptive_eh,24,32,0.7860000000000001,57245,False,0.0,0
adaptive_eh,24,64,0.8858,57245,False,0.0,0
adaptive_eh,24,128,0.9412,57245,False,0.0,0
gateway_coverage_gate,0,32,0.8986000000000002,0,True,0.0,500
gateway_coverage_gate,0,64,0.9526000000000001,0,True,0.0,500
gateway_coverage_gate,0,128,0.977,0,True,0.0,500
gateway_coverage_gate,1,32,0.906,0,True,0.0,500
gateway_coverage_gate,1,64,0.9542,0,True,0.0,500
gateway_coverage_gate,1,128,0.981,0,True,0.0,500
gateway_coverage_gate,2,32,0.9102,0,True,0.0,500
gateway_coverage_gate,2,64,0.958,0,True,0.0,500
gateway_coverage_gate,2,128,0.9822000000000001,0,True,0.0,500
gateway_coverage_gate,3,32,0.8986000000000002,0,True,0.0,500
gateway_coverage_gate,3,64,0.951,0,True,0.0,500
gateway_coverage_gate,3,128,0.9774,0,True,0.0,500
gateway_coverage_gate,4,32,0.9044,0,True,0.0,500
gateway_coverage_gate,4,64,0.9526000000000001,0,True,0.0,500
gateway_coverage_gate,4,128,0.978,0,True,0.0,500
gateway_coverage_gate,5,32,0.8968,14288,True,0.8569051580698835,500
gateway_coverage_gate,5,64,0.9674,14288,True,0.8569051580698835,500
gateway_coverage_gate,5,128,0.9823999999999999,14288,True,0.8569051580698835,500
gateway_coverage_gate,6,32,0.9036,26612,True,0.9123740518510133,500
gateway_coverage_gate,6,64,0.9654,26612,True,0.9123740518510133,500
gateway_coverage_gate,6,128,0.9818,26612,True,0.9123740518510133,500
gateway_coverage_gate,7,32,0.9184,35720,True,0.7741467767120231,500
gateway_coverage_gate,7,64,0.9692000000000001,35720,True,0.7741467767120231,500
gateway_coverage_gate,7,128,0.9844,35720,True,0.7741467767120231,500
gateway_coverage_gate,8,32,0.9252,42672,True,0.8256546237984753,500
gateway_coverage_gate,8,64,0.9702000000000001,42672,True,0.8256546237984753,500
gateway_coverage_gate,8,128,0.9867999999999999,42672,True,0.8256546237984753,500
gateway_coverage_gate,9,32,0.9214000000000001,48490,True,0.8461707988980717,499
gateway_coverage_gate,9,64,0.9632000000000001,48490,True,0.8461707988980717,499
gateway_coverage_gate,9,128,0.9824,48490,True,0.8461707988980717,499
gateway_coverage_gate,10,32,0.9226,54135,True,0.8741289680345095,500
gateway_coverage_gate,10,64,0.9663999999999999,54135,True,0.8741289680345095,500
gateway_coverage_gate,10,128,0.9825999999999999,54135,True,0.8741289680345095,500
gateway_coverage_gate,11,32,0.9294,57651,True,0.8870572510581421,499
gateway_coverage_gate,11,64,0.9714,57651,True,0.8870572510581421,499
gateway_coverage_gate,11,128,0.9865999999999999,57651,True,0.8870572510581421,499
gateway_coverage_gate,12,32,0.9256,61029,True,0.9408509166378416,497
gateway_coverage_gate,12,64,0.9632000000000001,61029,True,0.9408509166378416,497
gateway_coverage_gate,12,128,0.9836,61029,True,0.9408509166378416,497
gateway_coverage_gate,13,32,0.7684000000000001,91219,True,1.6991256830601094,500
gateway_coverage_gate,13,64,0.8964000000000001,91219,True,1.6991256830601094,500
gateway_coverage_gate,13,128,0.9448000000000001,91219,True,1.6991256830601094,500
gateway_coverage_gate,14,32,0.777,116903,True,1.7267918825561313,500
gateway_coverage_gate,14,64,0.9018,116903,True,1.7267918825561313,500
gateway_coverage_gate,14,128,0.9452,116903,True,1.7267918825561313,500
gateway_coverage_gate,15,32,0.7926,138340,True,1.6400043530307977,500
gateway_coverage_gate,15,64,0.905,138340,True,1.6400043530307977,500
gateway_coverage_gate,15,128,0.9456,138340,True,1.6400043530307977,500
gateway_coverage_gate,16,32,0.8076,155076,True,1.6015153178873394,500
gateway_coverage_gate,16,64,0.9052,155076,True,1.6015153178873394,500
gateway_coverage_gate,16,128,0.9474000000000001,155076,True,1.6015153178873394,500
gateway_coverage_gate,17,32,0.7972,172327,True,1.674226139294927,498
gateway_coverage_gate,17,64,0.9106000000000001,172327,True,1.674226139294927,498
gateway_coverage_gate,17,128,0.9486,172327,True,1.674226139294927,498
gateway_coverage_gate,18,32,0.8025999999999999,189329,True,1.7810682748223132,498
gateway_coverage_gate,18,64,0.9016000000000001,189329,True,1.7810682748223132,498
gateway_coverage_gate,18,128,0.9446,189329,True,1.7810682748223132,498
gateway_coverage_gate,19,32,0.8118,202377,True,1.7362708221386352,498
gateway_coverage_gate,19,64,0.9102,202377,True,1.7362708221386352,498
gateway_coverage_gate,19,128,0.9496,202377,True,1.7362708221386352,498
gateway_coverage_gate,20,32,0.807,213886,True,1.8376827287493231,497
gateway_coverage_gate,20,64,0.895,213886,True,1.8376827287493231,497
gateway_coverage_gate,20,128,0.945,213886,True,1.8376827287493231,497
gateway_coverage_gate,21,32,0.8264,222714,True,1.7189444325252092,496
gateway_coverage_gate,21,64,0.9048,222714,True,1.7189444325252092,496
gateway_coverage_gate,21,128,0.9462,222714,True,1.7189444325252092,496
gateway_coverage_gate,22,32,0.8158,230819,True,1.8438581314878892,496
gateway_coverage_gate,22,64,0.9064,230819,True,1.8438581314878892,496
gateway_coverage_gate,22,128,0.9518000000000001,230819,True,1.8438581314878892,496
gateway_coverage_gate,23,32,0.848,237020,True,1.6064707824364477,499
gateway_coverage_gate,23,64,0.9206000000000001,237020,True,1.6064707824364477,499
gateway_coverage_gate,23,128,0.958,237020,True,1.6064707824364477,499
gateway_coverage_gate,24,32,0.8314000000000001,242401,True,1.7140544041450778,499
gateway_coverage_gate,24,64,0.9092,242401,True,1.7140544041450778,499
gateway_coverage_gate,24,128,0.951,242401,True,1.7140544041450778,499
