bridge_edges_added,bridge_nodes_found,condition,drift_detected,edges_added,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,recall_at_k,repair_happened,total_edges
0,0,baseline,False,0,0,257.49439562567454,0.09227689600083977,0.0001641420102581288,0.9822000000000001,False,0
0,0,baseline,True,0,1,252.50020923908153,0.08981108595617115,0.004642365205047325,0.9862000000000001,False,0
0,0,baseline,True,15500,2,255.74954117832735,0.090477907913737,0.0025779724896518785,0.978,True,15500
0,0,baseline,False,0,3,262.19215035450696,0.12174947606399655,0.0014309415856647969,0.9538000000000001,False,15500
0,0,baseline,True,15500,4,268.234779818686,0.11898234602995217,0.009052612649042512,0.923,True,31000
0,0,baseline,True,15262,5,278.61418299155355,0.15519217401742935,0.04325484839614463,0.8726000000000002,True,45296
0,0,baseline,True,15013,6,293.20162148485696,0.29135018796660006,0.1062708338133356,0.806,True,56541
0,0,baseline,True,13865,7,306.2162564123239,0.5476816500304267,0.22579360808240348,0.7637999999999999,True,66115
0,0,baseline,True,13175,8,326.55250157674624,1.064716216060333,0.41756803208355175,0.781,True,72853
0,0,baseline,True,11787,9,344.12557025130036,1.5367833198979497,0.6021751444221608,0.7708,True,76870
0,0,baseline,True,12448,10,361.2493223134002,1.6041641540359706,0.6446295950859517,0.6848,True,84392
0,0,baseline,True,10835,11,366.5264444330358,2.013860701932572,0.6205744624784565,0.7316,True,89613
0,0,baseline,True,9177,12,367.93413378352193,2.253296419978142,0.7091504335566048,0.8046,True,92167
0,0,baseline,True,9594,13,370.51481233283374,2.3056368060642853,0.695927697844591,0.7682,True,94095
0,0,baseline,True,8275,14,370.6554300558049,2.46361000998877,0.623009316524683,0.7764000000000001,True,95208
0,0,baseline,True,7531,15,372.5721219700925,2.3913288180483505,0.6425915847762209,0.7836000000000001,True,96362
0,0,baseline,True,8914,16,373.0356168390113,2.542291249963455,0.6505084328979571,0.7796,True,97773
0,0,baseline,True,8350,17,370.37075092737945,2.4710631440393627,0.6195043044910331,0.7996,True,98693
0,0,baseline,True,8590,18,374.81429060528734,2.618116277968511,0.6744482461186558,0.7984000000000001,True,99893
0,0,baseline,True,8332,19,375.0184558278746,2.6300003899959847,0.6550008773363467,0.7857999999999999,True,100639
0,0,baseline,True,7595,20,374.961053479279,2.6601779100019485,0.611525785413388,0.7692,True,101006
0,0,baseline,True,8699,21,369.7558708317039,2.5922643379308283,0.6326676910614351,0.7862,True,101645
0,0,baseline,True,8415,22,371.0259608412108,2.738307827967219,0.6664426857532646,0.8104000000000001,True,101873
0,0,baseline,True,7736,23,373.43967620649613,2.7035023900680244,0.6540320951614548,0.7866000000000001,True,102003
0,0,baseline,True,7778,24,370.91396010258353,2.674550596042536,0.6319888904930737,0.795,True,102303
0,0,baseline,True,7171,25,368.5246755620981,2.7443778360029683,0.6257849540321301,0.7976,True,102461
0,0,baseline,True,9078,26,372.974395857317,2.824982985970564,0.6176191324491356,0.8092,True,103128
0,0,baseline,True,7613,27,369.5399735784803,2.7896318620769307,0.6455944627174077,0.8066,True,103332
0,0,baseline,True,7423,28,371.5088348764619,2.733988808002323,0.6333723324064017,0.8098000000000001,True,103412
0,0,baseline,True,8824,29,370.7961515841359,2.6918683539843187,0.6185622928660676,0.7864,True,104284
0,0,baseline,True,7898,30,373.98888717407675,2.684941044077277,0.6546585633198294,0.7772,True,104301
0,0,baseline,True,8581,31,373.06316531238843,2.681842969963327,0.6192641070333347,0.7764000000000001,True,104648
0,0,baseline,True,8332,32,374.1044438937247,2.7532885579857975,0.6337369301488969,0.7924,True,104874
0,0,baseline,True,7793,33,372.8098155089207,2.7468526059528813,0.6142539119501742,0.7934000000000001,True,104890
0,0,baseline,True,8545,34,375.44518762646413,2.752943893894553,0.6769483438336708,0.7816000000000002,True,105286
0,0,baseline,True,9248,35,373.30201405765735,2.7559681100538,0.6423823000883211,0.791,True,105980
0,0,baseline,True,7334,36,374.3880990671951,2.8317443560808897,0.6606401921547816,0.8052,True,105997
0,0,baseline,True,7181,37,369.877343693851,2.683515496086329,0.6129502725758207,0.7926,True,105997
0,0,baseline,True,8451,38,369.66590607640404,2.7086697720224038,0.6631112663175166,0.7857999999999999,True,106028
0,0,baseline,True,7859,39,372.0117631156731,2.7071281040553004,0.6301865106647909,0.7878,True,106107
0,0,baseline,True,7569,40,371.79716655763343,2.8356676540570334,0.6446570479882412,0.8092,True,106124
0,0,baseline,True,7337,41,371.6733774442255,2.8037070259451866,0.6641376314037561,0.792,True,106141
0,0,baseline,True,6912,42,368.66164149744736,2.7684680660022423,0.5916989840879274,0.8076,True,106141
0,0,baseline,True,8603,43,374.00516389699817,2.763420542003587,0.6643350231591252,0.789,True,106488
0,0,baseline,True,7515,44,377.3219600615121,2.8475224080029875,0.6364919135931617,0.8108,True,106488
0,0,baseline,True,8211,45,374.04405893726346,2.7224705760600045,0.6393715035131146,0.801,True,106636
0,0,baseline,True,8037,46,370.57470825968556,2.863387582008727,0.6495759284302252,0.8038000000000001,True,106683
0,0,baseline,True,7144,47,376.66729812967475,2.859662584029138,0.6414709720863332,0.7862,True,106683
0,0,baseline,True,7122,48,368.68461040722474,2.788988020038232,0.621535436669236,0.8068,True,106731
0,0,baseline,True,9240,49,370.58352201974765,2.804380711982958,0.6335708051478408,0.8018,True,107318
0,0,baseline,True,8330,50,374.7215717092036,2.806796260061674,0.6179357446889209,0.7942,True,107431
0,0,baseline,True,7875,51,373.56045998140775,2.965737810009159,0.6265767401650293,0.8158000000000001,True,107448
0,0,baseline,True,7804,52,370.64315885400504,2.8151918599614874,0.6480808879205615,0.7974,True,107547
0,0,baseline,True,8778,53,372.5929346074234,2.747322089970112,0.6253938581636563,0.778,True,107626
0,0,baseline,True,7819,54,377.80696935832,2.8479150499915704,0.6135026774920601,0.8046,True,108009
0,0,baseline,True,7062,55,376.78621297446045,2.9348406080389395,0.6465208152117954,0.7908000000000001,True,108040
0,0,baseline,True,8104,56,374.2345119265759,2.7258425899781287,0.6567648792654551,0.7976,True,108119
0,0,baseline,True,7823,57,373.9544609040091,2.784567877999507,0.624303896364073,0.8126,True,108170
0,0,baseline,True,8542,58,381.0889360403485,2.9385516060283408,0.6266788045181328,0.819,True,108218
0,0,baseline,True,7943,59,372.98548142439637,2.8623836979968473,0.638313881058501,0.8144000000000001,True,108218
