csr_drift_detected,csr_mean,csr_mmd_sq,edges_added,eh_drift_detected,eh_mean,eh_mmd_sq,epoch,joint_drift_detected,joint_mmd_sq,n_conjugate_edges,nnd_drift_detected,nnd_mean,nnd_mmd_sq,qrd_drift_detected,qrd_mean,qrd_mmd_sq,recall,repair_happened
True,141.8149461402893,0.001737603935834656,0,True,257.49439562567454,0.001823125736363083,0,False,0.0014220007361769877,0,False,0.5685736694335938,3.3611769193821914e-06,True,213.0538660430908,0.00181089567195117,0.9822000000000001,False
False,138.7801554031372,0.0005601002087735012,0,False,252.52132330277027,0.00031724391092231125,1,False,0.0003021874689941287,0,False,0.0,3.2819113644400243e-06,False,208.64321621704102,0.00022141386856985466,0.984,False
True,138.23557066345214,0.002491116978381948,0,False,252.91389566117573,0.0007105384275595641,2,False,0.0010536097716866135,0,False,0.0,3.2819113644400243e-06,False,208.65241130065917,0.0013283695062204016,0.983,False
False,140.30919902038573,0.0012287659311774476,0,False,254.0705578079571,0.0004716594085745089,3,False,0.0012708641317307127,0,False,0.3850921936035156,3.056371818463206e-06,False,210.4917025604248,0.001195043455335656,0.9832000000000001,False
False,139.5828249130249,0.000745523300277933,0,False,252.06051845874643,0.0003339665724737102,4,False,0.0008651576989435354,0,False,0.9539122619628906,9.342624043613284e-06,False,209.02091442108156,0.000755623439003961,0.988,False
False,139.30547258758546,0.0003029243170881322,0,False,253.13779109022582,0.00026102697622014756,5,False,0.0003914316327270962,0,False,0.0,3.2819113644400243e-06,False,209.29817211914062,0.00036731831043054693,0.9866000000000001,False
True,170.12507055664062,0.2502980721302691,0,False,254.87978279608686,0.0010839715254060182,6,True,0.12303662359071837,0,True,106.15305354309082,1.151820585017794,True,238.34430815124512,0.11947025413679327,0.9816000000000001,False
True,233.51259643554687,1.1686563693498861,15500,True,258.73976142639964,0.003126996242087956,7,True,0.7622218137877477,15500,True,211.0324941711426,1.1065684943387257,True,291.2906484069824,0.7449811996279998,0.9624000000000001,True
True,307.81358801269533,1.2649281872089784,13092,True,266.95848006990497,0.012612590444844935,8,True,0.9197463090719984,28592,True,310.824492980957,1.069258463807121,True,357.44983996582033,1.143984740671347,0.9276000000000001,True
True,379.81393072509763,1.1241756356447636,10441,True,277.1312643265809,0.05450903307295492,9,True,0.7264744362289361,39033,True,401.0851649169922,1.021406396222141,True,424.4546358642578,1.2426498826028114,0.8692000000000001,True
True,380.2041477050781,1.114626925425661,8959,True,278.9905243962754,0.06199633746626962,10,True,0.7218725172522044,47992,True,401.67464373779296,1.0169186809257953,True,425.3769417114258,1.2444529068655097,0.8786000000000002,True
True,379.59536138916013,1.1093187864115786,6092,True,277.93728730184563,0.05952011471139015,11,True,0.7159185384295961,54084,True,400.4506161499023,1.03094210691644,True,424.59795892333983,1.2346257422561264,0.8986000000000001,True
True,378.8624403076172,1.1421399523055988,5716,True,282.86187506877945,0.08444915373945744,12,True,0.7437773366415399,59800,True,401.95062139892576,1.0419464598879564,True,425.2156163330078,1.2507932491346008,0.8898,True
True,379.28819409179687,1.1527207289220105,4633,True,279.4763219850495,0.0647146507190118,13,True,0.7452974355243625,64433,True,401.03806225585936,1.0387070409771366,True,424.6923102416992,1.2840492894750777,0.9002,True
True,380.7419515991211,1.120482848284217,3941,True,278.65193307400415,0.05347811826060892,14,True,0.7311980786211605,68374,True,402.85398822021483,1.0199761040327986,True,425.63846264648436,1.2487158793443505,0.904,True
True,377.0182482299805,1.1165577362673011,3101,True,276.5739297073805,0.045465951465120114,15,True,0.7333048754892447,71475,True,399.40482165527345,1.0388405366695606,True,421.7480296020508,1.2488147631941804,0.9042,True
True,446.14028717041015,1.0957419546914628,1827,True,296.77227673478933,0.182488765004462,16,True,0.7772767129285989,73302,True,477.98039892578123,1.025539615716697,True,489.99341204833985,1.165977700595305,0.8533999999999999,True
True,499.36666058349607,1.0729564997828462,3066,True,317.298616661796,0.36536489926204657,17,True,0.8359940454328364,76368,True,535.4021619873047,1.0373326377366099,True,544.293504699707,1.0861573079065279,0.8166000000000001,True
True,542.0010490112305,1.0431639423235524,3035,True,339.05933365107353,0.6296528783318909,18,True,0.8482967814465854,79403,True,580.6078363037109,1.0306491144367484,True,589.397892211914,1.1438971065626398,0.7812,True
True,577.133894165039,1.0811310222397488,5762,True,357.7132045250606,0.6957845155859079,19,True,0.7518342472803419,85165,True,618.55625,1.023487175720072,True,627.0677780761719,1.207967308096209,0.6668,True
True,571.8478518066406,1.0700602196355167,3898,True,370.2619223092897,0.6582614398062988,20,True,0.6906393420406111,89063,True,617.5542069091797,1.0204318426969954,True,626.0854187011719,1.2037972580531369,0.7328,True
True,569.4024106445313,1.1129907927659874,1886,True,371.722342771513,0.6647618744364183,21,True,0.7022450367457689,90949,True,615.632394165039,1.0139353650074936,True,624.4301274414063,1.2345026730828565,0.777,True
True,568.0280293579101,1.1007194451640232,1465,True,372.6410324905594,0.6958324438350302,22,True,0.713117995765346,92414,True,614.7142052001954,1.0160898577265938,True,623.2538134765625,1.2288828458376866,0.8108000000000001,True
True,569.0802872314454,1.0822347053393342,1366,True,372.79486610421014,0.7009850354948318,23,True,0.70751068468395,93780,True,616.0581331787109,1.009394163840771,True,624.1141317138672,1.1985709187264915,0.7788,True
True,568.5703444824219,1.0803018679342415,756,True,370.2745899839607,0.6615705137596434,24,True,0.6962444556212002,94536,True,614.8788084716797,1.012029139778715,True,623.0897482910157,1.192372112517038,0.7946000000000001,True
