condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,queries_per_second,recall_at_k,repair_happened
mconj_24_cd3,True,32,0,257.49439562567454,0.054152801996679045,0.001823125736363083,0,18466.265144716344,0.9822000000000001,False
mconj_24_cd3,True,64,0,257.49439562567454,0.07241689000511542,0.001823125736363083,0,13808.93324650315,0.9944,False
mconj_24_cd3,True,128,0,257.49439562567454,0.1170252360025188,0.001823125736363083,0,8545.165420375452,0.9992000000000001,False
mconj_24_cd3,False,32,1,252.52132330277027,0.04969513599644415,0.00031724391092231125,0,20122.69369926975,0.984,False
mconj_24_cd3,False,64,1,252.52132330277027,0.07365754200145602,0.00031724391092231125,0,13576.342256713271,0.9972000000000001,False
mconj_24_cd3,False,128,1,252.52132330277027,0.12008901599620003,0.00031724391092231125,0,8327.156249091448,0.999,False
mconj_24_cd3,False,32,2,252.91389566117573,0.04792103999352548,0.0007105384275595641,0,20867.660637897425,0.983,False
mconj_24_cd3,False,64,2,252.91389566117573,0.07153130799997598,0.0007105384275595641,0,13979.892552787316,0.9967999999999999,False
mconj_24_cd3,False,128,2,252.91389566117573,0.11726465000538155,0.0007105384275595641,0,8527.719137473294,0.9994,False
mconj_24_cd3,False,32,3,254.0705578079571,0.04817651800112799,0.0004716594085745089,0,20757.000329010625,0.9832000000000001,False
mconj_24_cd3,False,64,3,254.0705578079571,0.07153214598656632,0.0004716594085745089,0,13979.728780788979,0.9946,False
mconj_24_cd3,False,128,3,254.0705578079571,0.11779725800442975,0.0004716594085745089,0,8489.161946047972,0.9985999999999999,False
mconj_24_cd3,False,32,4,252.06051845874643,0.0477609640074661,0.0003339665724737102,0,20937.600837447037,0.988,False
mconj_24_cd3,False,64,4,252.06051845874643,0.07073931199556682,0.0003339665724737102,0,14136.411166434149,0.9966000000000002,False
mconj_24_cd3,False,128,4,252.06051845874643,0.11664097200264223,0.0003339665724737102,0,8573.316758517301,0.9992000000000001,False
mconj_24_cd3,False,32,5,253.13779109022582,0.049484079994726926,0.00026102697622014756,0,20208.51959067565,0.9866000000000001,False
mconj_24_cd3,False,64,5,253.13779109022582,0.07243881998874713,0.00026102697622014756,0,13804.752757642147,0.9962000000000001,False
mconj_24_cd3,False,128,5,253.13779109022582,0.12048082199180499,0.00026102697622014756,0,8300.076173683636,0.999,False
mconj_24_cd3,False,32,6,254.87978279608686,0.0489323360088747,0.0010839715254060182,0,20436.383822318094,0.9816000000000001,False
mconj_24_cd3,False,64,6,254.87978279608686,0.07171386999834795,0.0010839715254060182,0,13944.303940409809,0.9962000000000001,False
mconj_24_cd3,False,128,6,254.87978279608686,0.11740824399748817,0.0010839715254060182,0,8517.289467521497,0.9987999999999999,False
mconj_24_cd3,True,32,7,258.73976142639964,0.04954358200484421,0.003126996242087956,12000,20184.24909006828,0.9624000000000001,True
mconj_24_cd3,True,64,7,258.73976142639964,0.07327132399950642,0.003126996242087956,12000,13647.904055981524,0.9888000000000001,True
mconj_24_cd3,True,128,7,258.73976142639964,0.12351261598814745,0.003126996242087956,12000,8096.338920519361,0.998,True
mconj_24_cd3,True,32,8,266.9687258458973,0.06436730800487567,0.012655968982556845,12000,15535.836917775907,0.9274000000000001,False
mconj_24_cd3,True,64,8,266.9687258458973,0.08786694999434985,0.012655968982556845,12000,11380.843423657057,0.9728,False
mconj_24_cd3,True,128,8,266.9687258458973,0.13700880600663368,0.012655968982556845,12000,7298.800924895164,0.992,False
mconj_24_cd3,True,32,9,277.0428647445802,0.06568632400012575,0.053513632287815506,12000,15223.869126822892,0.8656000000000001,False
mconj_24_cd3,True,64,9,277.0428647445802,0.0918988619960146,0.053513632287815506,12000,10881.527564980806,0.9390000000000002,False
